EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:02,304	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	You know who you don't meet much anymore
EDL	00:00:02,816	00:00:03,328	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Alchemy
EDL	00:00:04,096	00:00:07,424	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Alchemist people who look for ways to turn random stuff into gold
EDL	00:00:07,936	00:00:10,240	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Rebecca the Middle Ages you met him all the time
EDL	00:00:10,240	00:00:12,032	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Closing those days Alchemist with
EDL	00:00:12,544	00:00:14,848	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Searching for the Philosopher's Stone
EDL	00:00:14,848	00:00:16,896	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	They thought there was this sort of
EDL	00:00:16,896	00:00:17,920	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Mystikal
EDL	00:00:17,920	00:00:20,224	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Compound
EDL	00:00:20,736	00:00:22,784	| 20180126_pmoney_pmpod820-295e6fdb-dc8c-4c2a-8c64-993142e1da61.mp3_654149ca91ad76eedd6fe29834d7765a_19175474 |	Into valuable metals like gold
