EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:04,864	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Hey just a quick note Today Show is a rerun it originally ran in 2004
EDL	00:00:06,144	00:00:10,496	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Robert the couple days ago you and I went to the grocery store in Brooklyn to
EDL	00:00:10,496	00:00:11,264	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Do that thing
EDL	00:00:12,288	00:00:13,056	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Yeah
EDL	00:00:13,056	00:00:17,408	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Do we have a giant pile of watermelons is a classic seen in any grocery store
EDL	00:00:19,712	00:00:20,736	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	What are you looking for the chicken
EDL	00:00:21,760	00:00:22,784	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Yeah we don't know
EDL	00:00:22,784	00:00:23,296	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Sorry
EDL	00:00:24,320	00:00:24,832	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Associate
EDL	00:00:25,600	00:00:26,624	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Pickup on 101
EDL	00:00:28,160	00:00:29,440	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Alright one more time
EDL	00:00:29,440	00:00:30,464	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	So we got
EDL	00:00:30,464	00:00:31,744	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Cardboard box
EDL	00:00:31,744	00:00:35,840	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Full of water. This is a classic summer scene where the watermelons come in
EDL	00:00:35,840	00:00:37,120	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	They will them in
EDL	00:00:37,120	00:00:37,888	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	The middle of the store
EDL	00:00:38,400	00:00:41,216	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	I don't give a s*** about the watermelon
EDL	00:00:41,728	00:00:43,264	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Is the palette that there
EDL	00:00:44,800	00:00:45,568	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Pallet
EDL	00:00:45,568	00:00:48,640	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Those big wooden things that just about everything in the world
EDL	00:00:48,640	00:00:49,408	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Get shipped on
EDL	00:00:49,408	00:00:50,688	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Cutting watermelon
EDL	00:00:50,688	00:00:52,480	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Including everything else you buy it
EDL	00:00:52,480	00:00:53,248	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	At the grocery store
EDL	00:00:53,248	00:00:55,296	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Certain things in this world are hard to
EDL	00:00:56,320	00:00:57,856	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	You know the classic example.
EDL	00:00:58,368	00:01:01,184	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Trap but we're talking about it and we were like the paper
EDL	00:01:01,696	00:01:03,232	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	The paperclip
EDL	00:01:03,232	00:01:04,768	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Is 1 wire
EDL	00:01:04,768	00:01:05,536	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Benton to
EDL	00:01:06,304	00:01:10,144	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Paper clip shape it's so perfect the shape is named after the update
EDL	00:01:10,656	00:01:12,960	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	And the super sized version of this
EDL	00:01:12,960	00:01:13,472	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Perfect object
EDL	00:01:14,240	00:01:15,008	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	The palette
EDL	00:01:15,008	00:01:19,104	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	It's 15 or so pieces of cheap Lumber nailed together
EDL	00:01:19,104	00:01:22,176	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	It's not an extra piece of wood or an extra nail in the whole thing
EDL	00:01:22,688	00:01:25,504	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Keep stuff a few inches off the floor works with a forklift
EDL	00:01:26,016	00:01:26,528	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Amazing
EDL	00:01:27,040	00:01:28,064	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	This perfect
EDL	00:01:28,832	00:01:33,184	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Perfect system of moving stuff around a pallet has been around for a long time
EDL	00:01:33,184	00:01:35,232	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Basically for 50 years
EDL	00:01:35,744	00:01:37,024	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	No one improve.
EDL	00:01:37,792	00:01:38,816	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Until
EDL	00:01:38,816	00:01:44,960	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Until they did hello about the planet money on Robertson
EDL	00:01:45,472	00:01:46,752	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	And I'm taking cold
EDL	00:01:46,752	00:01:47,776	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Today on the show
EDL	00:01:47,776	00:01:49,568	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Yes you can build a better Palace
EDL	00:01:50,080	00:01:51,616	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	It's not high tech
EDL	00:01:51,616	00:01:52,384	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	It's not computerized
EDL	00:01:52,896	00:01:56,480	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	But someone came up with a way to completely rethink an object
EDL	00:01:56,992	00:01:57,504	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	But no one
EDL	00:01:58,016	00:01:58,784	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Even knew needed
EDL	00:02:00,320	00:02:01,856	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Support for this podcast
EDL	00:02:01,856	00:02:02,880	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	In the following message
EDL	00:02:02,880	00:02:05,184	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Which come from the Annie E Casey Foundation
EDL	00:02:05,184	00:02:06,464	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Developing solution
EDL	00:02:06,464	00:02:08,768	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Support strong families and communities
EDL	00:02:08,768	00:02:12,096	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	To help ensure a brighter future for America's children
EDL	00:02:12,096	00:02:15,424	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	More information is available at aecf. Org
EDL	00:02:16,448	00:02:20,800	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	This is not going to come as a surprise to you but we are going to bring you deep inside
EDL	00:02:20,800	00:02:21,824	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	The pallet world
EDL	00:02:21,824	00:02:22,848	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Because of course there's a
EDL	00:02:23,360	00:02:23,872	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Right
EDL	00:02:24,896	00:02:25,408	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Invisible
EDL	00:02:26,688	00:02:28,992	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	We only see the piles of old pallets
EDL	00:02:28,992	00:02:29,504	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Out behind
EDL	00:02:30,272	00:02:31,296	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Supermarket
EDL	00:02:31,296	00:02:32,832	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Under the kitchen watermelon
EDL	00:02:32,832	00:02:34,368	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	But there are billions of
EDL	00:02:34,368	00:02:35,648	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Pallets moving around the world
EDL	00:02:36,416	00:02:37,952	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	And there's old magazines
EDL	00:02:39,232	00:02:41,024	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	It's called modern Material Handling
EDL	00:02:41,536	00:02:44,352	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Unfortunately they changed the original name which was
EDL	00:02:44,352	00:02:44,864	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	The Palatine
EDL	00:02:45,632	00:02:47,936	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	The palletiser I love it it sounds like some sort of
EDL	00:02:47,936	00:02:48,960	| 20180221_pmoney_pmpod545rerunv2-72d0f01d-18aa-440d-9c41-53cd992aff26.mp3_7cc5d1c3f8935e42f8442f75df5a2e39_15901555 |	Logistics Uber
