EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Support for this in
EDL	00:00:01,024	00:00:02,048	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	NPR podcasts
EDL	00:00:02,048	00:00:03,840	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	The following message come from that UPS
EDL	00:00:04,352	00:00:06,144	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Offering services from shredding
EDL	00:00:06,144	00:00:07,168	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	To printing to mailbox
EDL	00:00:07,680	00:00:09,472	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	And instead of closing this Memorial Day we
EDL	00:00:09,984	00:00:11,520	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	May 24th and 25th
EDL	00:00:11,520	00:00:12,544	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	The UPS Store
EDL	00:00:12,544	00:00:13,824	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	He's doing another thing
EDL	00:00:13,824	00:00:14,592	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	All together
EDL	00:00:14,592	00:00:15,360	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Opening
EDL	00:00:15,360	00:00:16,384	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	The UPS Store
EDL	00:00:16,384	00:00:18,432	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Everything for small business
EDL	00:00:18,432	00:00:19,712	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	And of course shipping
EDL	00:00:21,248	00:00:22,272	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	I'm Carter Garcia
EDL	00:00:22,272	00:00:26,112	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	And I'm Stacey Vanek Smith and we are the host of a new podcast
EDL	00:00:26,112	00:00:27,136	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Planet Money is called the
EDL	00:00:27,136	00:00:30,720	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Decatur and you can think of it as Planet Money quick take on the news
EDL	00:00:31,232	00:00:33,792	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	OraQuick Eva cash anyways yes 68 minutes
EDL	00:00:34,304	00:00:39,424	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	In any case we take a number or term in the news and we tell you a story behind it or give you an inside
EDL	00:00:40,448	00:00:43,776	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	And today on Planet Money we are bringing you three indicators
EDL	00:00:43,776	00:00:50,176	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Three numbers that tell you something about the world around first
EDL	00:00:50,176	00:00:56,576	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	The u.s. really sells to World II we're going to tell you how conservative tax policy ended up being
EDL	00:00:56,576	00:01:02,976	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Kinda sorta would a liberal Economist have been helping for and it's causing some mixed feelings
EDL	00:01:02,976	00:01:09,376	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	And finally going to tell you how the craft beer blew up the Hops business the big finish.
EDL	00:01:09,376	00:01:11,680	| 20180228_pmoney_pmpod827v3-934c1109-65af-43b4-9b7d-40ebaff7b638.mp3_1be4e1efd59deadea1fe40243683caa1_18911611 |	Stick around There Will Be Blood
