EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:04,608	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Just a quick note Today Show is a rerun it originally aired back in 2006
EDL	00:00:05,376	00:00:07,936	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Also there is a new update at the end of the show
EDL	00:00:08,448	00:00:09,472	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	It's a good update
EDL	00:00:09,984	00:00:10,752	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Okay so
EDL	00:00:11,776	00:00:13,056	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Can you read me the title of the paper
EDL	00:00:14,592	00:00:15,616	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Feeling the future
EDL	00:00:16,128	00:00:17,664	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Experimental evidence
EDL	00:00:17,664	00:00:20,224	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	For anomalous retroactive influences
EDL	00:00:20,224	00:00:21,504	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	On cognition and Fa
EDL	00:00:22,272	00:00:24,576	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Feeling a future meaning like people can see into
EDL	00:00:25,600	00:00:26,624	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Basically ESP
EDL	00:00:27,648	00:00:28,672	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	ESP
EDL	00:00:28,672	00:00:30,208	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	We're talking to Brian nosek
EDL	00:00:30,208	00:00:31,488	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	He's a psychologist
EDL	00:00:31,488	00:00:32,256	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	City University of Georgia
EDL	00:00:33,024	00:00:34,048	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Missy public where
EDL	00:00:34,560	00:00:37,120	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	In the Journal of Personality and Social Psychology
EDL	00:00:37,888	00:00:38,912	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	I'd like a top turn on the
EDL	00:00:39,680	00:00:40,448	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	That's right
EDL	00:00:40,448	00:00:41,216	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Peer-reviewed
EDL	00:00:41,728	00:00:43,520	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Peer-reviewed extensively
EDL	00:00:43,520	00:00:45,056	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	This paper came out in two thousand eleven
EDL	00:00:45,824	00:00:47,616	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Brian nosek like a lot of psycho
EDL	00:00:48,128	00:00:48,896	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Just thought
EDL	00:00:48,896	00:00:49,920	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	What is going on
EDL	00:00:50,432	00:00:51,456	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Like there's no way that
EDL	00:00:52,736	00:00:53,760	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	But then again
EDL	00:00:53,760	00:00:54,784	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Here is this paper
EDL	00:00:54,784	00:00:56,832	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Describing not just one experiment
EDL	00:00:56,832	00:00:57,856	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	But nine
EDL	00:00:57,856	00:00:58,368	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Different XP
EDL	00:00:58,880	00:01:03,744	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Rhino success some of them are really pretty convincing even today when you flip through the paper
EDL	00:01:04,256	00:01:09,888	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	The main site hypothesis was that participants will be able to identify the position of the hidden pictures significantly more often than
EDL	00:01:10,400	00:01:13,216	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	In one experiment he says people were told to stare at this
EDL	00:01:13,216	00:01:13,728	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Computer screen
EDL	00:01:14,240	00:01:16,032	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	And are told that an image
EDL	00:01:16,032	00:01:18,336	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Was going to appear on either the right side or the left side
EDL	00:01:19,104	00:01:20,128	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	And they were asked to guess
EDL	00:01:20,128	00:01:21,152	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Which side
EDL	00:01:21,152	00:01:22,176	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Like looking to the Future
EDL	00:01:22,688	00:01:24,224	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Which side do you think the image is going to
EDL	00:01:24,992	00:01:29,088	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	And people do okay on this they do better in this study than if
EDL	00:01:29,088	00:01:30,112	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	They just been random chat
EDL	00:01:30,624	00:01:32,928	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	This paper was published by a scientist that
EDL	00:01:32,928	00:01:33,440	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Cornell univ
EDL	00:01:34,208	00:01:35,488	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	A researcher who is really well worth
EDL	00:01:36,256	00:01:38,304	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	And when Brian nosek read the paper
EDL	00:01:38,816	00:01:41,376	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	There did not seem to be any obvious problem with
EDL	00:01:41,376	00:01:42,912	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	The paper is beautiful
EDL	00:01:42,912	00:01:44,960	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	It follows all the rules
EDL	00:01:44,960	00:01:45,984	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Of what one does
EDL	00:01:46,496	00:01:48,032	| 20180307_pmoney_pmpod677rerun-e09aae0d-bcfe-4d91-97b4-b3492d9a94c6.mp3_58c9ed369ed8ad0440454ac1dbe0f505_21083353 |	Doesn't look really beautiful way
