EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:04,608	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Hello I am Karen Duffin and I am new here at Planet Money
EDL	00:00:04,608	00:00:09,728	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Hello and welcome to Planet Money Karen Duffin he really did say that to me to everybody
EDL	00:00:10,240	00:00:13,312	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Karen started with us about what 18 days ago
EDL	00:00:13,312	00:00:15,616	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	And we asked her to look into
EDL	00:00:15,616	00:00:16,896	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Non-disclosure
EDL	00:00:16,896	00:00:18,688	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Something we've been hearing a lot about NDA
EDL	00:00:19,456	00:00:20,224	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	And as if
EDL	00:00:20,224	00:00:22,784	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	To prepare myself for this I had just signed one
EDL	00:00:22,784	00:00:24,832	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	It was part of my NPR Employment contract
EDL	00:00:25,344	00:00:27,392	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Is pretty standard stuff but
EDL	00:00:27,392	00:00:29,696	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Can actually tell you the details because
EDL	00:00:29,696	00:00:30,464	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	It says I can't
EDL	00:00:30,464	00:00:33,792	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Think I probably 5-2 I think you did
EDL	00:00:34,304	00:00:36,864	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	So I start digging into nda's and
EDL	00:00:36,864	00:00:39,168	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	Somewhere deep in this rabbit hole
EDL	00:00:39,168	00:00:40,192	| 20180406_pmoney_pmpod834-735a556b-c8a6-479d-97c9-f21ddd74948b-de922f21-8464-4a36-a976-fad3d90349c1.mp3_5b63c93c2fb5f93be |	I kind of figured into
