EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,280	00:00:03,328	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	Hello Dan trials
EDL	00:00:03,328	00:00:05,376	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	So you have a story for us
EDL	00:00:05,376	00:00:06,400	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	And it starts
EDL	00:00:06,400	00:00:07,936	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	With a guy in Georgia
EDL	00:00:07,936	00:00:09,472	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	His name is Artie Shaw
EDL	00:00:10,240	00:00:13,568	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	He worked for the Georgia Department of Agriculture for many years
EDL	00:00:13,568	00:00:14,848	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	Mercy love garden
EDL	00:00:15,360	00:00:20,736	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	He wrote a column about it called Artis Garden every once in awhile he would star in a video about Georges
EDL	00:00:21,248	00:00:22,016	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	The flowers
EDL	00:00:22,016	00:00:24,832	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	And these videos they look like they were recorded on
EDL	00:00:24,832	00:00:26,880	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	A cell phone standing in a city
EDL	00:00:26,880	00:00:29,440	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	Park parties in his brown suit
EDL	00:00:29,440	00:00:32,000	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	He kind of like reminds me of a guy who'd Maybe
EDL	00:00:32,512	00:00:33,536	| 20180509_pmoney_pmpod840-1c6d2439-4f30-4203-a67c-fcd1393cb8a3-d637250e-cf37-4c31-b36c-abe1a448a812.mp3_583143c85f70be2bf |	Do your taxes
