EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:01,536	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Trade desk
EDL	00:00:02,304	00:00:04,608	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Yes they can start in some pretty
EDL	00:00:04,608	00:00:05,120	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Weird place
EDL	00:00:05,888	00:00:06,656	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Take
EDL	00:00:06,656	00:00:07,680	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Flavored
EDL	00:00:07,680	00:00:08,448	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Tobacco
EDL	00:00:08,448	00:00:12,544	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Flavored tobacco back what I graduated from high school it was a theater kids
EDL	00:00:12,544	00:00:13,312	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	And gosh
EDL	00:00:13,312	00:00:16,896	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Smoking clove cigarettes everything smell like Christmas morning
EDL	00:00:16,896	00:00:19,968	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	I don't think clothes were a thing when I was in high school it was menthol
EDL	00:00:20,736	00:00:23,040	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	You know something I feel like every generation has
EDL	00:00:23,552	00:00:25,600	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Their tobacco flavor that
EDL	00:00:25,600	00:00:28,672	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	Pools that into picking up a filthy filthy habit
EDL	00:00:28,672	00:00:30,208	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	I know I was one of the Phoenix
EDL	00:00:30,720	00:00:35,584	| 20180518_pmoney_pmpod842-92a11ae9-32c9-4b7b-9d39-03020d6aca68.mp3_28a27ec4953c4a61e8eb40110fb9acf0_18929286 |	That's Barack Obama former Jones ER in Chief former president former cigarette addict
