EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:03,072	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	So so you know how to milk a cow by hand
EDL	00:00:03,072	00:00:03,840	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Oh yeah
EDL	00:00:03,840	00:00:05,120	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Oh yeah yeah
EDL	00:00:05,120	00:00:08,192	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Andy novakovic spent his Summers as a kid working on
EDL	00:00:08,192	00:00:08,960	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	His grandparents
EDL	00:00:08,960	00:00:10,240	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Dairy farm in Wisconsin
EDL	00:00:10,752	00:00:15,104	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	And he's still in the dairy world he is now a dairy Economist at Cornell University
EDL	00:00:15,616	00:00:17,408	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	What percentage of
EDL	00:00:17,408	00:00:19,968	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Economist would you say are able to milk a cow by hand
EDL	00:00:20,992	00:00:27,392	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Well probably you know close to 100% or able but 99.9% wouldn't have the fog
EDL	00:00:27,392	00:00:33,792	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	How to get started in the pantheon of milk related economic disasters there is one that rises
EDL	00:00:33,792	00:00:34,304	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	This is about the rat
EDL	00:00:34,816	00:00:36,352	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	And Andy had a ring sights
EDL	00:00:37,376	00:00:38,656	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	This is one of those
EDL	00:00:38,656	00:00:39,680	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Slow-moving
EDL	00:00:39,680	00:00:40,448	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Trainwreck
EDL	00:00:40,448	00:00:42,240	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	That you can see coming from a mile away
EDL	00:00:43,008	00:00:47,104	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	It was 1976 Jimmy Carter was running for president
EDL	00:00:47,104	00:00:49,664	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	And he started floating this idea
EDL	00:00:58,880	00:01:01,184	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	What are the ways Carter proposed giving farmers in
EDL	00:01:02,208	00:01:04,768	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Raise the price of milk by about six sense
EDL	00:01:04,768	00:01:05,280	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Per gallon
EDL	00:01:06,048	00:01:12,448	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	It was kind of a lot of the time now it's really was on the edge of that it was a big enough number that it sounded like one of these campaign price
EDL	00:01:12,448	00:01:15,264	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Promises that you really didn't expect they would actually be
EDL	00:01:15,264	00:01:16,800	| 20180831_pmoney_pmpod862v3-38913f81-a383-4e09-a710-731c18632804.mp3_d89881f1940ab42abf07ba72221d3291_21357133 |	Fulfill still campaign promise
