EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,512	00:00:01,536	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Hey it's Nick.
EDL	00:00:02,304	00:00:04,608	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Today I got up at 4 in the morning
EDL	00:00:05,120	00:00:05,888	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Biking to work
EDL	00:00:06,400	00:00:07,936	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	And pulled up a livestream
EDL	00:00:07,936	00:00:11,520	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Have a news conference in Sweden morning everyone and
EDL	00:00:11,520	00:00:14,080	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Welcome to the Royal Swedish Academy of Sciences
EDL	00:00:14,080	00:00:16,896	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Today is like the Superbowl for economist
EDL	00:00:17,408	00:00:18,432	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Or more accurately
EDL	00:00:18,944	00:00:20,224	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Econ Nobel.
EDL	00:00:20,736	00:00:23,808	| 20181008_pmoney_pmpod534rerun-132ac6e8-91d9-4210-8145-052c0f67c5bf.mp3_6610ce45e5a8bad2e500f2b7d96b9202_20756619 |	Or even more accurately the Ellis medicine expire
