EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,072	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Shear engine is in it and
EDL	00:00:03,840	00:00:05,376	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Is 32 years old
EDL	00:00:05,376	00:00:06,912	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	And he lives in rongcheng China
EDL	00:00:07,424	00:00:09,984	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	It is a city of around 700 thousand people on the E
EDL	00:00:10,752	00:00:12,800	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	And he says it is a really nice
EDL	00:00:13,312	00:00:15,360	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	But like any City it has its
EDL	00:00:15,360	00:00:16,128	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Issues
EDL	00:00:16,128	00:00:17,408	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	The traffic for instance
EDL	00:00:17,408	00:00:18,432	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Has always been totally cray
EDL	00:00:22,016	00:00:24,320	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Would not give way to pedestrians
EDL	00:00:24,320	00:00:27,648	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	And sometimes when they saw people crossing then they will
EDL	00:00:27,648	00:00:33,792	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Break all of a sudden and the cause a lot of accidents exactly for example the car behind what
EDL	00:00:33,792	00:00:35,840	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Bump on to the car in front of
EDL	00:00:36,352	00:00:40,960	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	The show the fender bender we spoke with Ron Jon through our producer ecowatt
EDL	00:00:41,472	00:00:44,032	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Rain chances being a pedestrian was just
EDL	00:00:44,032	00:00:44,544	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Terrifying
EDL	00:00:45,056	00:00:48,384	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	You basically just have to hurl yourself across the street when you saw a break
EDL	00:00:48,384	00:00:49,152	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	In traffic
EDL	00:00:49,152	00:00:50,432	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	You know hope for the best
EDL	00:00:50,432	00:00:56,320	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	But now after the changes have happened to the cars and it will wait for you
EDL	00:00:56,832	00:00:58,368	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	The changes that have happy
EDL	00:00:58,368	00:01:02,976	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Have to do with the implementation of a new policy in China called the social credit score
EDL	00:01:03,744	00:01:06,816	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Cities like wrong turn or testing out a version of this system
EDL	00:01:06,816	00:01:09,376	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	And the planets it'll be in place all across the country
EDL	00:01:09,376	00:01:10,912	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	By the year 2020
EDL	00:01:10,912	00:01:13,728	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	The social credit score is similar to the credit score we happy
EDL	00:01:14,752	00:01:16,032	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	And the idea behind both
EDL	00:01:16,544	00:01:17,312	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Best
EDL	00:01:17,312	00:01:20,128	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	In a big complex economy you have to do business
EDL	00:01:20,128	00:01:20,640	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	With strangers
EDL	00:01:21,152	00:01:23,968	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	And you want some way to know whether or not you can
EDL	00:01:23,968	00:01:28,064	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Can trust them whether they're going to pay back a loan whether they'll be a good tenant if you rent
EDL	00:01:28,064	00:01:28,832	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Apartments
EDL	00:01:28,832	00:01:29,600	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Weather
EDL	00:01:29,600	00:01:31,392	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	The Advil they're selling you is
EDL	00:01:31,392	00:01:32,160	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	You know
EDL	00:01:32,160	00:01:32,928	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Advil
EDL	00:01:32,928	00:01:34,208	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	And not Imodium
EDL	00:01:34,208	00:01:34,720	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	Say
EDL	00:01:37,024	00:01:40,096	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	It does not be super rough
EDL	00:01:40,864	00:01:43,680	| 20181026_pmoney_pmpod871-d57af82c-3b43-460a-9810-26b90f6f5899.mp3_e3ee989ebf801eefbb254a4e4dccae0c_19371633 |	China does not have a traditional credit score
