EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,280	00:00:03,584	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	It's the season of giving thanks
EDL	00:00:03,584	00:00:06,400	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	And sharing embarrassing stories with your fam
EDL	00:00:06,400	00:00:07,936	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	In the spirit of that
EDL	00:00:07,936	00:00:10,752	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	A few days ago I called up my brother Joel
EDL	00:00:10,752	00:00:13,824	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	Now can you explain how in the world this all happened in the
EDL	00:00:16,384	00:00:20,224	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	How I ended up getting arrested
EDL	00:00:21,248	00:00:22,784	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	Was driving
EDL	00:00:22,784	00:00:23,552	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	To your house
EDL	00:00:24,320	00:00:26,880	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	For Thanksgiving and as usual I was on time
EDL	00:00:27,648	00:00:28,928	| 20181123_pmoney_pmpod878v2-69a2089b-1a59-4509-b73a-a9e25e6b7b28.mp3_7cc6679df50250c03525b1c28d6cdcf7_19222727 |	So I was speeding
