EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,768	00:00:03,328	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	The other day I called up next
EDL	00:00:03,328	00:00:05,888	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Hey Michael Michael works at the Mothership
EDL	00:00:05,888	00:00:06,656	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	A fundraiser
EDL	00:00:06,656	00:00:09,216	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Airworthy Association of fundraising
EDL	00:00:09,216	00:00:12,288	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Professionals there truly is an association for every
EDL	00:00:13,056	00:00:14,848	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	They're absolutely yes
EDL	00:00:14,848	00:00:16,640	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	And we were calling Michael
EDL	00:00:16,640	00:00:17,664	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Because there's sort of
EDL	00:00:17,664	00:00:19,200	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Existential crisis
EDL	00:00:19,712	00:00:20,480	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	His world right now
EDL	00:00:20,480	00:00:21,760	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	There's a new tax law
EDL	00:00:22,272	00:00:23,040	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Ann in it
EDL	00:00:23,040	00:00:24,832	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	There's less of an incentive
EDL	00:00:24,832	00:00:27,392	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Turn on rich people to donate to charity
EDL	00:00:27,392	00:00:28,928	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	And then write it off on their taxes
EDL	00:00:29,952	00:00:31,232	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	And told Michael's question is
EDL	00:00:31,744	00:00:34,560	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Will ice not so rich people still donate
EDL	00:00:34,560	00:00:36,864	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	That's basically the $1000000 question
EDL	00:00:36,864	00:00:37,632	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Right now
EDL	00:00:37,632	00:00:40,192	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	It's like we're all part of some giant economic
EDL	00:00:40,960	00:00:43,008	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	And Michael says we won't have the results
EDL	00:00:43,008	00:00:43,776	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Until the new year
EDL	00:00:43,776	00:00:44,800	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	December
EDL	00:00:44,800	00:00:46,080	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Is critical and the last
EDL	00:00:46,080	00:00:46,848	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Suica December
EDL	00:00:46,848	00:00:47,872	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Can actually get crazy
EDL	00:00:48,384	00:00:52,224	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	To look we're in economics show we know there's less of an incentive
EDL	00:00:52,224	00:00:53,504	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Good for you to donate this
EDL	00:00:54,272	00:00:55,296	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	But maybe
EDL	00:00:55,808	00:00:57,088	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	If we ask
EDL	00:00:57,600	00:00:58,624	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	So
EDL	00:00:58,624	00:00:59,904	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	Pretty please
EDL	00:00:59,904	00:01:04,256	| 20181228_pmoney_pmpod884_2-3fac483a-f8ec-42b6-8e9c-9f3344623b63.mp3_152b0fef08136d00df03f984b68796df_22304297 |	You can support us by going to donate the NPR. Org / Planet Money
