EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,280	00:00:02,560	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	He's a big deal now
EDL	00:00:02,560	00:00:06,144	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	The founder of Panera Bread but that's when he was in college he was just
EDL	00:00:06,656	00:00:07,424	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Ron
EDL	00:00:07,424	00:00:10,496	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Shake some team getting kicked out of stores
EDL	00:00:10,496	00:00:16,896	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Twist out of a local convenience store where you got kicked out of a convenience store in college what did you do
EDL	00:00:16,896	00:00:19,200	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	They accused of shoplifting I did nothing
EDL	00:00:19,200	00:00:21,504	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Are you sure I am positive
EDL	00:00:22,016	00:00:23,808	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Okay Ron Shake
EDL	00:00:23,808	00:00:25,856	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Vowed to never go back to this
EDL	00:00:25,856	00:00:26,624	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Play Store
EDL	00:00:27,136	00:00:29,184	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	We open our own non-profit convenience store
EDL	00:00:29,696	00:00:31,232	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	If they don't appreciate our business
EDL	00:00:31,744	00:00:34,816	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Let's let's do our own Ron was 19 years old when he
EDL	00:00:35,328	00:00:36,864	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Restore honest college campus
EDL	00:00:37,376	00:00:38,144	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	What did you sell
EDL	00:00:38,656	00:00:39,168	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	We sold
EDL	00:00:39,680	00:00:42,240	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	Everything you might want on a college campus
EDL	00:00:42,752	00:00:47,360	| 20190118_pmoney_pmpod889-df3e5bc8-8075-40df-bfb5-0f4ba40ca790.mp3_fc9b5ca48533c1fa0184b1685298cf4e_17786579 |	I know crackers and snacks the beverages cleaning supplies
