EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:04,608	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	Recently Gizmodo reporter Kashmir Hill tried some
EDL	00:00:05,120	00:00:05,888	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	Nearly impossible
EDL	00:00:06,656	00:00:07,424	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	Paternalism
EDL	00:00:07,424	00:00:09,984	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	I wanted to see if it was possible to live
EDL	00:00:09,984	00:00:11,520	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	Without the tech Giants
EDL	00:00:11,520	00:00:14,592	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	So Amazon Facebook Microsoft Apple
EDL	00:00:14,592	00:00:15,104	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	And Google
EDL	00:00:15,616	00:00:16,384	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	She tried to cut them all at
EDL	00:00:17,408	00:00:18,688	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	But I mostly wanted to talk
EDL	00:00:18,688	00:00:19,712	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	The cashmere about going off
EDL	00:00:20,736	00:00:22,016	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	Cuz Google is everywhere
EDL	00:00:22,784	00:00:27,648	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	And she was like yeah if you're going to cut them out you got to do way more than just switching search engines and email
EDL	00:00:28,416	00:00:30,464	| 20190208_pmoney_pmpod893-f6cffc4c-69dc-442c-93a0-4748547ceb71.mp3_171f0d3a6a8347746256dabcb48161d3_16359605 |	She actually asked a programmer
