EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,584	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	Today show with part 3 of what I have been
EDL	00:00:03,584	00:00:05,376	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	Been calling me Planet Money antitrust
EDL	00:00:06,144	00:00:07,424	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	The show will be much better if you
EDL	00:00:07,424	00:00:08,192	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	You go back and listen
EDL	00:00:08,192	00:00:09,216	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	The first two episodes
EDL	00:00:09,728	00:00:10,752	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	If you do not
EDL	00:00:10,752	00:00:11,776	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	Here is the
EDL	00:00:11,776	00:00:13,568	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	Text that Scrolls on the screen at
EDL	00:00:19,200	00:00:22,272	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	United States government used to use antitrust law a lot
EDL	00:00:22,272	00:00:25,600	| 20190222_pmoney_pmpod896-7f36cc8d-0321-4061-9918-957df9918e38-fc92d2e5-b322-4876-b6e8-25379e2e084d.mp3_18eb66518b434aaff |	To protect small companies against big companies in the name of competition
