EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,768	00:00:02,048	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	A couple of weeks ago
EDL	00:00:02,048	00:00:02,816	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Something
EDL	00:00:02,816	00:00:08,192	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Very very strange happened in one of the most anticipated college basketball games
EDL	00:00:09,216	00:00:10,752	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	This is North Carolina versus
EDL	00:00:10,752	00:00:11,776	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Duke archrival
EDL	00:00:12,288	00:00:12,800	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Top 10
EDL	00:00:13,568	00:00:16,640	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	And Duke has a player named Zion Williamson who
EDL	00:00:16,640	00:00:20,480	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Is probably the single most amazing college player I have ever seen
EDL	00:00:21,760	00:00:23,040	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	So we're 30 seconds into the game
EDL	00:00:23,808	00:00:25,088	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Williamson has the ball
EDL	00:00:25,088	00:00:31,232	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Driving spinning Zion Williamson
EDL	00:00:31,744	00:00:33,024	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	And as the announcers
EDL	00:00:33,536	00:00:34,816	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Watching the replay of the
EDL	00:00:34,816	00:00:36,096	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	They start to realize
EDL	00:00:36,096	00:00:37,376	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Did Zion Williamson
EDL	00:00:37,376	00:00:38,656	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Fell and got hurt
EDL	00:00:39,168	00:00:40,960	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Because his Nike shoe
EDL	00:00:40,960	00:00:42,240	| 20190306_pmoney_pm785rerun-78956676-5dfe-44ae-b8a9-13d06b832775.mp3_32282a021de8e8f56f56ff3a09df2c2c_23377081 |	Head split open
