EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,024	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Support for this in
EDL	00:00:01,024	00:00:02,048	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	NPR podcasts
EDL	00:00:02,048	00:00:02,816	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	The following message
EDL	00:00:02,816	00:00:03,840	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Come from the UPS
EDL	00:00:04,352	00:00:06,144	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Offering services from shredding
EDL	00:00:06,144	00:00:07,168	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	To printing to mailbox
EDL	00:00:07,680	00:00:09,472	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	And instead of closing this Memorial Day we
EDL	00:00:09,984	00:00:11,008	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	May 24th and 20
EDL	00:00:11,520	00:00:12,544	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	The UPS Store
EDL	00:00:12,544	00:00:13,824	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	He's doing another thing
EDL	00:00:13,824	00:00:14,592	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	All together
EDL	00:00:14,592	00:00:15,360	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Opening
EDL	00:00:15,360	00:00:16,384	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	The UPS Store
EDL	00:00:16,384	00:00:18,432	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Everything for small business
EDL	00:00:18,432	00:00:19,712	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	And of course shipping
EDL	00:00:21,248	00:00:23,040	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Lauren Neuwirth is a junior at
EDL	00:00:23,040	00:00:23,552	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Purdue
EDL	00:00:24,064	00:00:26,368	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	She studies biological engineering and
EDL	00:00:26,368	00:00:27,648	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Food processing sign
EDL	00:00:28,160	00:00:28,928	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Is which means
EDL	00:00:28,928	00:00:31,744	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	She knows a lot about how Food Works
EDL	00:00:31,744	00:00:36,352	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	As a technical expert is there some artificial flavor that's just like where they just nailed it
EDL	00:00:36,352	00:00:42,752	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	I would say like banana bananas actually pretty cool from a chemical standpoint like a volatile account
EDL	00:00:42,752	00:00:44,032	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Beastly is super pint
EDL	00:00:45,056	00:00:47,104	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	And she knew that Purdue was a good place to
EDL	00:00:47,104	00:00:49,152	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Get into the food engineering industry
EDL	00:00:49,664	00:00:51,712	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	But you couldn't figure out how she was going to pay
EDL	00:00:52,736	00:00:53,504	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Yeah it was
EDL	00:00:53,504	00:00:58,880	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Extremely stressful like I was telling you before every time I go into financial aid I just start crying
EDL	00:00:59,392	00:00:59,904	| 20190329_pmoney_pmpod903-e8601a2a-87b2-42ae-9848-3690d5a8531b.mp3_21404a9c468af345b16268088987b42a_18825599 |	Because
