EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,400	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	This message comes from NPR sponsor NCR running a small business is now easier with ncrc
EDL	00:00:06,912	00:00:08,192	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	More than a point of sale
EDL	00:00:08,192	00:00:13,056	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	NCR silver is simple-to-use saves you time and helps you reach your goals faster
EDL	00:00:13,568	00:00:16,128	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Visit ncr.com silver
EDL	00:00:17,920	00:00:23,040	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Today on Planet Money the second part of our story on Marxism and capitalism in Chile
EDL	00:00:23,552	00:00:28,160	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	In part one we told you had she laid democratically elected president Salvador Allende
EDL	00:00:28,160	00:00:28,672	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	The social
EDL	00:00:29,696	00:00:30,976	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Now part 2
EDL	00:00:30,976	00:00:31,488	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	The crew
EDL	00:00:32,000	00:00:34,304	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	And please note there is a lot of violence
EDL	00:00:34,304	00:00:34,816	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Today's episode
EDL	00:00:38,144	00:00:43,264	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	September 11th 1973 I remember clearly the
EDL	00:00:43,264	00:00:45,568	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Airplanes flying
EDL	00:00:45,568	00:00:51,712	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	About our house this is Carrillo Fuentes a documentary filmmaker who was 3 years old the day the crew started
EDL	00:00:52,736	00:00:56,320	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	A little before 7 a.m. president Salvador Allende cancel call
EDL	00:00:57,088	00:01:00,416	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	The Chilean Navy has rebelled in the port city of Valparaiso
EDL	00:01:01,184	00:01:04,256	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	He rushes downtown to La moneda the presidential Palace
EDL	00:01:05,024	00:01:11,168	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Tanks and troops fill the street on the radio and talks to his country
EDL	00:01:17,824	00:01:21,408	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	I have faith in Chile and its desk
EDL	00:01:23,200	00:01:26,528	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	The military tells IND surrender he refuses
EDL	00:01:27,040	00:01:31,904	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Tanks open fire on the couch by ende asked that the women be allowed to leave
EDL	00:01:31,904	00:01:34,208	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	And they are then the bombardment start
EDL	00:01:36,000	00:01:39,584	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	Fighter jets and Rockets into the palace
EDL	00:01:39,584	00:01:41,376	| 20190412_pmoney_pmpod906v2-09db7ada-8646-4ba3-bf4c-8c7e051a298c.mp3_850f3eda7caf4a57261bea218d7c3e1f_26280332 |	And inside fires break out
