EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,024	00:00:03,072	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Sarah Johnston's brother was huh
EDL	00:00:03,840	00:00:05,120	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	That's how all this
EDL	00:00:05,120	00:00:05,632	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Started
EDL	00:00:06,144	00:00:09,984	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Last fall she was driving her brother home after minor leg surgery
EDL	00:00:09,984	00:00:12,288	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	. they pass this strip mall
EDL	00:00:12,288	00:00:13,312	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	And her brother spots
EDL	00:00:13,312	00:00:13,824	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	The Jamba Juice
EDL	00:00:15,104	00:00:17,152	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Can we pull in there and get some Jamba Juice
EDL	00:00:17,152	00:00:18,688	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	That sounds so good
EDL	00:00:18,688	00:00:19,712	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Parking lots
EDL	00:00:19,712	00:00:21,760	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	We park right in front of Jamba Juice
EDL	00:00:21,760	00:00:23,040	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	They get their Jamba
EDL	00:00:23,040	00:00:24,576	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	And then her brothers
EDL	00:00:24,576	00:00:25,600	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Cease a Jimmy John
EDL	00:00:26,112	00:00:26,880	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	And he's like
EDL	00:00:26,880	00:00:28,928	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Can we also get sandwiches
EDL	00:00:28,928	00:00:34,048	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	The Jamba Juice and the Jimmy John's are in the same parking lot but they're owned by different
EDL	00:00:34,048	00:00:34,816	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	People
EDL	00:00:34,816	00:00:38,656	| 20190621_pmoney_pmpod921.mp3_ed05bd1334cf061bd7793aeb2e5e1286_22996078 |	Jimmy John's is in a separate building in the corner of the lot
