EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:06,656	| moreperfect061016_episode2 |	Listener-supported WNYC
EDL	00:00:06,656	00:00:07,168	| moreperfect061016_episode2 |	Be Studios
EDL	00:00:09,728	00:00:13,056	| moreperfect061016_episode2 |	But I think we should start the story on June 25th 1969
EDL	00:00:13,056	00:00:15,360	| moreperfect061016_episode2 |	But first you should say Who You Are
EDL	00:00:15,360	00:00:16,128	| moreperfect061016_episode2 |	I'm jazz
EDL	00:00:16,128	00:00:18,688	| moreperfect061016_episode2 |	Ride this is more perfect okay so why
EDL	00:00:18,688	00:00:20,224	| moreperfect061016_episode2 |	Why 220 when was it
EDL	00:00:20,224	00:00:21,504	| moreperfect061016_episode2 |	June 25th nineteen
EDL	00:00:21,504	00:00:23,296	| moreperfect061016_episode2 |	69
EDL	00:00:23,296	00:00:26,880	| moreperfect061016_episode2 |	Supreme Court chief justice Earl Warren is retiring or a Warren of
EDL	00:00:26,880	00:00:27,904	| moreperfect061016_episode2 |	The Warren Court
EDL	00:00:27,904	00:00:29,184	| moreperfect061016_episode2 |	Isn't that a big word
EDL	00:00:29,952	00:00:34,560	| moreperfect061016_episode2 |	Yeah that's what I think of you think of legendary
EDL	00:00:35,072	00:00:37,376	| moreperfect061016_episode2 |	Supreme Court Justices he's probably in
EDL	00:00:38,400	00:00:40,704	| moreperfect061016_episode2 |	He was one of the mount Olympians he's a big deal
EDL	00:00:41,728	00:00:45,568	| moreperfect061016_episode2 |	Rights that he's retiring he's been on the court for 16 years
EDL	00:00:46,080	00:00:48,128	| moreperfect061016_episode2 |	And he's in an interview and he's asked
EDL	00:00:48,128	00:00:54,272	| moreperfect061016_episode2 |	How would you list Mister Chief Justice of the Supreme Court's most important decision you're 16 years here
EDL	00:00:55,296	00:01:01,696	| moreperfect061016_episode2 |	He's kind of astounding
EDL	00:01:01,696	00:01:02,976	| moreperfect061016_episode2 |	Before you hear the answer
EDL	00:01:04,000	00:01:08,096	| moreperfect061016_episode2 |	Think that you need to know that he could have said all kinds of cases
EDL	00:01:08,096	00:01:09,632	| moreperfect061016_episode2 |	Is he was the chief justice
EDL	00:01:10,144	00:01:10,912	| moreperfect061016_episode2 |	During
EDL	00:01:11,424	00:01:17,568	| moreperfect061016_episode2 |	Miranda
EDL	00:01:17,568	00:01:21,664	| moreperfect061016_episode2 |	Earl Gideon petitioner Gideon versus Wainwright
EDL	00:01:21,664	00:01:22,176	| moreperfect061016_episode2 |	Duty
EDL	00:01:26,016	00:01:29,600	| moreperfect061016_episode2 |	Athens Big Bore
EDL	00:01:29,600	00:01:31,648	| moreperfect061016_episode2 |	Brown versus Board of Education okay
EDL	00:01:32,928	00:01:36,768	| moreperfect061016_episode2 |	Sad when I know that one
EDL	00:01:36,768	00:01:37,792	| moreperfect061016_episode2 |	He doesn't say any of those
EDL	00:01:39,328	00:01:40,352	| moreperfect061016_episode2 |	Was he say
EDL	00:01:40,352	00:01:42,912	| moreperfect061016_episode2 |	He says this little case called
EDL	00:01:42,912	00:01:44,704	| moreperfect061016_episode2 |	The Baker vs. Carr case
EDL	00:01:45,216	00:01:46,752	| moreperfect061016_episode2 |	Baker vs. Carr
EDL	00:01:49,824	00:01:50,848	| moreperfect061016_episode2 |	The back case
EDL	00:01:50,848	00:01:53,408	| moreperfect061016_episode2 |	Is perhaps the most important case that believe that
EDL	00:01:53,920	00:01:55,200	| moreperfect061016_episode2 |	Since I've been on the court
EDL	00:01:55,712	00:02:00,320	| moreperfect061016_episode2 |	He thought that case whatever it is is more important than the case that desegregated schools
EDL	00:02:00,320	00:02:00,832	| moreperfect061016_episode2 |	You did
EDL	00:02:01,344	00:02:02,624	| moreperfect061016_episode2 |	So what the hell is it
EDL	00:02:03,136	00:02:03,648	| moreperfect061016_episode2 |	Exactly
EDL	00:02:04,672	00:02:05,440	| moreperfect061016_episode2 |	No really what is it
EDL	00:02:05,952	00:02:08,768	| moreperfect061016_episode2 |	It's this case that was so dramatic and
EDL	00:02:08,768	00:02:09,792	| moreperfect061016_episode2 |	So traumatic
EDL	00:02:09,792	00:02:12,352	| moreperfect061016_episode2 |	It apparently broke to Justice
EDL	00:02:12,864	00:02:14,656	| moreperfect061016_episode2 |	There was an instance
EDL	00:02:14,656	00:02:15,936	| moreperfect061016_episode2 |	In which my
EDL	00:02:16,448	00:02:19,008	| moreperfect061016_episode2 |	Brother found my father going upstairs
EDL	00:02:19,008	00:02:19,520	| moreperfect061016_episode2 |	To get a shot
EDL	00:02:22,848	00:02:28,736	| moreperfect061016_episode2 |	Supreme Court of the United States
EDL	00:02:36,416	00:02:42,816	| moreperfect061016_episode2 |	United States
EDL	00:02:42,816	00:02:47,168	| moreperfect061016_episode2 |	United States and this honorable Court
EDL	00:03:04,320	00:03:10,720	| moreperfect061016_episode2 |	Is this more perfect miniseries about the Supreme Court just a frame the story we're about to hear for
EDL	00:03:10,720	00:03:11,488	| moreperfect061016_episode2 |	Second
EDL	00:03:11,488	00:03:13,280	| moreperfect061016_episode2 |	As we were putting the show together
EDL	00:03:14,304	00:03:16,096	| moreperfect061016_episode2 |	We hosted a panel discussion
EDL	00:03:16,096	00:03:19,680	| moreperfect061016_episode2 |	Best one stage and a woman in the audience asked the following question
EDL	00:03:19,680	00:03:21,472	| moreperfect061016_episode2 |	Yes could you
EDL	00:03:21,472	00:03:24,032	| moreperfect061016_episode2 |	Address what I see is the
EDL	00:03:24,032	00:03:26,592	| moreperfect061016_episode2 |	Increasing politicization
EDL	00:03:26,592	00:03:29,152	| moreperfect061016_episode2 |	Of the Court the apotheosis of which I guess was
EDL	00:03:30,944	00:03:32,224	| moreperfect061016_episode2 |	You know voting
EDL	00:03:32,224	00:03:35,552	| moreperfect061016_episode2 |	Electing Bush to be a hour
EDL	00:03:35,552	00:03:36,576	| moreperfect061016_episode2 |	President
EDL	00:03:36,576	00:03:42,976	| moreperfect061016_episode2 |	Difficult always been this way is this just my perception that it's becoming more popular size
EDL	00:03:42,976	00:03:46,048	| moreperfect061016_episode2 |	See this turns out to be really interesting question turns out
EDL	00:03:46,048	00:03:50,144	| moreperfect061016_episode2 |	I didn't know this until City started looking into it that there was a moment
EDL	00:03:51,168	00:03:52,704	| moreperfect061016_episode2 |	When the Pandora's Box
EDL	00:03:52,704	00:03:53,984	| moreperfect061016_episode2 |	Just got ripped open
EDL	00:03:53,984	00:03:58,848	| moreperfect061016_episode2 |	So I think they understand that moment and this story you have to get to know 3 characters
EDL	00:03:58,848	00:04:05,248	| moreperfect061016_episode2 |	These aren't necessarily the three most important justices of all time because at that time you had chief justice Earl
EDL	00:04:05,248	00:04:09,088	| moreperfect061016_episode2 |	Warren and William Brennan on the court and he's our kind of giants
EDL	00:04:10,112	00:04:11,904	| moreperfect061016_episode2 |	But for this story
EDL	00:04:12,416	00:04:13,184	| moreperfect061016_episode2 |	These three guys are
EDL	00:04:13,696	00:04:16,000	| moreperfect061016_episode2 |	One of them is on the right one of them is on the left
EDL	00:04:16,768	00:04:17,791	| moreperfect061016_episode2 |	And one of them is
EDL	00:04:17,791	00:04:19,071	| moreperfect061016_episode2 |	Stuck right in the middle
EDL	00:04:19,583	00:04:20,863	| moreperfect061016_episode2 |	Tragically in the middle
EDL	00:04:20,863	00:04:22,655	| moreperfect061016_episode2 |	Air on the conservative side
EDL	00:04:22,655	00:04:25,471	| moreperfect061016_episode2 |	What difference does it make when it's in the Constitution
EDL	00:04:25,471	00:04:28,543	| moreperfect061016_episode2 |	Any other expression or action by the state
EDL	00:04:28,543	00:04:30,591	| moreperfect061016_episode2 |	You had a guy named Felix Frankfurter
EDL	00:04:30,591	00:04:32,639	| moreperfect061016_episode2 |	Did Justice Frankfurter was one of the most
EDL	00:04:32,639	00:04:34,943	| moreperfect061016_episode2 |	Latest really it name is really Frankfurter
EDL	00:04:34,943	00:04:35,967	| moreperfect061016_episode2 |	One of the most
EDL	00:04:35,967	00:04:37,503	| moreperfect061016_episode2 |	Influential Justice
EDL	00:04:37,503	00:04:42,367	| moreperfect061016_episode2 |	Of all time I bet taragrove she teaches constitutional law at William and Mary Law School
EDL	00:04:42,367	00:04:43,135	| moreperfect061016_episode2 |	I'm here
EDL	00:04:43,135	00:04:46,719	| moreperfect061016_episode2 |	A very influential scholar at Harvard Law School before
EDL	00:04:46,719	00:04:47,231	| moreperfect061016_episode2 |	He became address
EDL	00:04:47,743	00:04:52,095	| moreperfect061016_episode2 |	With a close adviser to Franklin Delano Roosevelt he was extremely smart
EDL	00:04:52,095	00:04:53,119	| moreperfect061016_episode2 |	Towering figure
EDL	00:04:53,119	00:04:54,655	| moreperfect061016_episode2 |	But as a person
EDL	00:04:55,167	00:04:55,935	| moreperfect061016_episode2 |	Justice
EDL	00:04:56,703	00:04:57,727	| moreperfect061016_episode2 |	Justice Frankfurter
EDL	00:04:59,263	00:05:01,055	| moreperfect061016_episode2 |	He wasn't necessarily
EDL	00:05:01,055	00:05:02,591	| moreperfect061016_episode2 |	The nicest person
EDL	00:05:02,591	00:05:03,615	| moreperfect061016_episode2 |	I heard that from everyone
EDL	00:05:04,127	00:05:06,175	| moreperfect061016_episode2 |	I always call him a Bantam rooster
