EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:04,864	| moreperfect091818_themostperfectalbumepisode1 |	Listener-supported
EDL	00:00:05,376	00:00:06,912	| moreperfect091818_themostperfectalbumepisode1 |	WNYC Studio
EDL	00:00:08,704	00:00:11,264	| moreperfect091818_themostperfectalbumepisode1 |	Small perfect on jad aboumrad season 3
EDL	00:00:12,032	00:00:12,800	| moreperfect091818_themostperfectalbumepisode1 |	Season 3
EDL	00:00:14,080	00:00:16,640	| moreperfect091818_themostperfectalbumepisode1 |	This season we're going to do something a little different than what was done in the past
EDL	00:00:20,736	00:00:24,832	| moreperfect091818_themostperfectalbumepisode1 |	Can you tell me how many amendments
EDL	00:00:24,832	00:00:30,720	| moreperfect091818_themostperfectalbumepisode1 |	No ma'am not gay
EDL	00:00:31,232	00:00:34,816	| moreperfect091818_themostperfectalbumepisode1 |	Coffee and I don't know I have no idea I'm guessing somewhere around 10
EDL	00:00:35,328	00:00:36,608	| moreperfect091818_themostperfectalbumepisode1 |	I would guess somewhere around
EDL	00:00:37,120	00:00:43,520	| moreperfect091818_themostperfectalbumepisode1 |	20 21 or 23 24 25
EDL	00:00:43,520	00:00:46,592	| moreperfect091818_themostperfectalbumepisode1 |	26
EDL	00:00:46,592	00:00:47,360	| moreperfect091818_themostperfectalbumepisode1 |	27
EDL	00:00:47,872	00:00:49,920	| moreperfect091818_themostperfectalbumepisode1 |	27
EDL	00:00:51,968	00:00:53,760	| moreperfect091818_themostperfectalbumepisode1 |	There are 27 Amendments
EDL	00:00:54,784	00:00:55,808	| moreperfect091818_themostperfectalbumepisode1 |	Did the United States Consul
EDL	00:00:59,648	00:01:01,184	| moreperfect091818_themostperfectalbumepisode1 |	This season we're going to focus
EDL	00:01:01,184	00:01:02,464	| moreperfect091818_themostperfectalbumepisode1 |	On those words
EDL	00:01:05,024	00:01:05,792	| moreperfect091818_themostperfectalbumepisode1 |	Explain why
EDL	00:01:11,936	00:01:14,496	| moreperfect091818_themostperfectalbumepisode1 |	First of all the name Moore
EDL	00:01:14,496	00:01:15,264	| moreperfect091818_themostperfectalbumepisode1 |	The name of this podcast
EDL	00:01:15,776	00:01:16,544	| moreperfect091818_themostperfectalbumepisode1 |	Comes of course
EDL	00:01:17,568	00:01:19,872	| moreperfect091818_themostperfectalbumepisode1 |	From the preamble to the Constitution
EDL	00:01:20,384	00:01:21,920	| moreperfect091818_themostperfectalbumepisode1 |	In the reason we chose that name
EDL	00:01:24,736	00:01:27,296	| moreperfect091818_themostperfectalbumepisode1 |	A couple reasons me first of all it's a weird phrase
EDL	00:01:27,296	00:01:29,344	| moreperfect091818_themostperfectalbumepisode1 |	Can't really have something be more
EDL	00:01:29,344	00:01:30,112	| moreperfect091818_themostperfectalbumepisode1 |	Perfect
EDL	00:01:30,112	00:01:31,648	| moreperfect091818_themostperfectalbumepisode1 |	Because Perfect Isn't absolute
EDL	00:01:31,648	00:01:32,672	| moreperfect091818_themostperfectalbumepisode1 |	But beyond that
EDL	00:01:34,720	00:01:37,536	| moreperfect091818_themostperfectalbumepisode1 |	The phrase sort of gesture that this idea that America is
EDL	00:01:37,536	00:01:38,560	| moreperfect091818_themostperfectalbumepisode1 |	Constantly evolving
EDL	00:01:40,608	00:01:41,376	| moreperfect091818_themostperfectalbumepisode1 |	It's never done
EDL	00:01:42,656	00:01:45,728	| moreperfect091818_themostperfectalbumepisode1 |	They were always in the process of trying to drag ourselves out of the mud
EDL	00:01:46,240	00:01:48,288	| moreperfect091818_themostperfectalbumepisode1 |	And get to those higher ideals
EDL	00:01:48,288	00:01:49,056	| moreperfect091818_themostperfectalbumepisode1 |	Make ourselves
EDL	00:01:49,568	00:01:50,080	| moreperfect091818_themostperfectalbumepisode1 |	Moorpark
EDL	00:01:51,104	00:01:51,872	| moreperfect091818_themostperfectalbumepisode1 |	Be more perfect
EDL	00:01:52,640	00:01:53,664	| moreperfect091818_themostperfectalbumepisode1 |	Very often we don't make
EDL	00:01:55,456	00:01:55,968	| moreperfect091818_themostperfectalbumepisode1 |	Marriott
EDL	00:01:57,760	00:01:58,272	| moreperfect091818_themostperfectalbumepisode1 |	We're always
EDL	00:01:58,784	00:02:01,088	| moreperfect091818_themostperfectalbumepisode1 |	Trying and that is embodied in our founding
EDL	00:02:01,600	00:02:03,648	| moreperfect091818_themostperfectalbumepisode1 |	I mean we wrote this thing called the Constitution
EDL	00:02:04,672	00:02:05,440	| moreperfect091818_themostperfectalbumepisode1 |	And then we kept changing
EDL	00:02:07,488	00:02:10,816	| moreperfect091818_themostperfectalbumepisode1 |	Mending it adding a new rights filling in Holes
EDL	00:02:10,816	00:02:12,608	| moreperfect091818_themostperfectalbumepisode1 |	Where we fail so that we don't fail again
EDL	00:02:13,376	00:02:15,424	| moreperfect091818_themostperfectalbumepisode1 |	So far we've done that 27 times
EDL	00:02:16,448	00:02:20,032	| moreperfect091818_themostperfectalbumepisode1 |	The season were going to look at all 27 what do they mean why are they important
EDL	00:02:20,032	00:02:21,824	| moreperfect091818_themostperfectalbumepisode1 |	How do they hold us together
EDL	00:02:22,592	00:02:23,872	| moreperfect091818_themostperfectalbumepisode1 |	In these turbulent
EDL	00:02:23,872	00:02:26,432	| moreperfect091818_themostperfectalbumepisode1 |	* but the thing is when you read these amendments
EDL	00:02:26,944	00:02:31,296	| moreperfect091818_themostperfectalbumepisode1 |	The words themselves can feel very abstract very musty very far away
EDL	00:02:33,600	00:02:34,112	| moreperfect091818_themostperfectalbumepisode1 |	So
EDL	00:02:35,136	00:02:36,160	| moreperfect091818_themostperfectalbumepisode1 |	We decided to make an album
EDL	00:02:37,696	00:02:43,840	| moreperfect091818_themostperfectalbumepisode1 |	Actual album
EDL	00:02:50,496	00:02:56,896	| moreperfect091818_themostperfectalbumepisode1 |	In the spirit of Schoolhouse Rock
EDL	00:02:56,896	00:03:03,296	| moreperfect091818_themostperfectalbumepisode1 |	We reached out some the best
EDL	00:03:03,296	00:03:06,880	| moreperfect091818_themostperfectalbumepisode1 |	Best artist musicians around the world we asked them to make a song
