EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,120	| moreperfect102417_enemyofmankind |	Listener-supported
EDL	00:00:05,120	00:00:06,912	| moreperfect102417_enemyofmankind |	WNYC Studio
EDL	00:00:09,216	00:00:11,008	| moreperfect102417_enemyofmankind |	Leadership support for more perfect
EDL	00:00:11,008	00:00:12,032	| moreperfect102417_enemyofmankind |	/ the joist found
EDL	00:00:15,360	00:00:17,920	| moreperfect102417_enemyofmankind |	Cake on jeroboam Rod this is more perfect
EDL	00:00:17,920	00:00:24,320	| moreperfect102417_enemyofmankind |	United States we gave the Supreme Court the power to find Justice for people
EDL	00:00:24,320	00:00:30,720	| moreperfect102417_enemyofmankind |	Wii Sports people who've been abused and manipulated
EDL	00:00:30,720	00:00:37,120	| moreperfect102417_enemyofmankind |	I mean baby knock on the door that power extends Beyond state borders both ends
EDL	00:00:37,120	00:00:43,520	| moreperfect102417_enemyofmankind |	Sometimes even be on national board with Swiss
EDL	00:00:43,520	00:00:45,312	| moreperfect102417_enemyofmankind |	Question is how far we want to go
EDL	00:00:48,384	00:00:49,408	| moreperfect102417_enemyofmankind |	Should our Supreme Court
EDL	00:00:49,920	00:00:51,200	| moreperfect102417_enemyofmankind |	Did the Supreme Court of the world
EDL	00:00:56,832	00:00:58,624	| moreperfect102417_enemyofmankind |	Supreme Court of the United States
EDL	00:01:06,304	00:01:12,704	| moreperfect102417_enemyofmankind |	Supreme Court of the United States
EDL	00:01:12,704	00:01:16,800	| moreperfect102417_enemyofmankind |	United States
EDL	00:01:39,072	00:01:40,864	| moreperfect102417_enemyofmankind |	Okay so I grew up at a time
EDL	00:01:40,864	00:01:45,472	| moreperfect102417_enemyofmankind |	When a lot of people genuinely saw America differently than they do now
EDL	00:01:45,472	00:01:48,544	| moreperfect102417_enemyofmankind |	This is the 70s and 80s Carter Reagan years
EDL	00:01:49,056	00:01:49,824	| moreperfect102417_enemyofmankind |	There's a sense
EDL	00:01:50,848	00:01:52,384	| moreperfect102417_enemyofmankind |	If you are new arrivals
EDL	00:01:52,896	00:01:53,920	| moreperfect102417_enemyofmankind |	America was special
EDL	00:01:54,944	00:01:55,456	| moreperfect102417_enemyofmankind |	Exceptional
EDL	00:01:55,968	00:01:58,016	| moreperfect102417_enemyofmankind |	We held the world to a higher standard
EDL	00:02:00,576	00:02:02,624	| moreperfect102417_enemyofmankind |	Certainly brought my family to America
EDL	00:02:04,160	00:02:09,280	| moreperfect102417_enemyofmankind |	Okay so it's not that way anymore so much and it seems like everyday at least in my lifetime we're asking the question
EDL	00:02:10,048	00:02:11,328	| moreperfect102417_enemyofmankind |	How should we feel
EDL	00:02:12,352	00:02:13,376	| moreperfect102417_enemyofmankind |	About that
EDL	00:02:14,144	00:02:20,544	| moreperfect102417_enemyofmankind |	What was that is that higher calling that's somehow For Better or Worse embedded in the idea of being American is
EDL	00:02:20,544	00:02:26,944	| moreperfect102417_enemyofmankind |	That stupidly wrongheaded and arrogant or is there something in that that we still
EDL	00:02:26,944	00:02:28,224	| moreperfect102417_enemyofmankind |	Still should embrace
EDL	00:02:29,760	00:02:33,600	| moreperfect102417_enemyofmankind |	That argument is happening has been happening and
EDL	00:02:33,600	00:02:35,648	| moreperfect102417_enemyofmankind |	Totally fascinating way at the Supreme Court
EDL	00:02:36,160	00:02:37,184	| moreperfect102417_enemyofmankind |	Centered around this
EDL	00:02:37,184	00:02:38,464	| moreperfect102417_enemyofmankind |	Teeny peeny Wallie
EDL	00:02:39,744	00:02:41,280	| moreperfect102417_enemyofmankind |	It seems to have some pretty big question
EDL	00:02:41,280	00:02:42,048	| moreperfect102417_enemyofmankind |	About Who We Are
EDL	00:02:42,560	00:02:43,328	| moreperfect102417_enemyofmankind |	We want to be
EDL	00:02:44,608	00:02:45,632	| moreperfect102417_enemyofmankind |	Story comes from
EDL	00:02:46,144	00:02:48,704	| moreperfect102417_enemyofmankind |	2K peas Kelsey Padgett
EDL	00:02:48,704	00:02:50,752	| moreperfect102417_enemyofmankind |	And I
EDL	00:02:50,752	00:02:52,288	| moreperfect102417_enemyofmankind |	Kp-1
EDL	00:02:52,288	00:02:56,640	| moreperfect102417_enemyofmankind |	I believe you are now kp-1 okay I am now
EDL	00:02:56,640	00:03:01,504	| moreperfect102417_enemyofmankind |	If you want to stop it
EDL	00:03:02,016	00:03:04,320	| moreperfect102417_enemyofmankind |	Del Sol
EDL	00:03:05,088	00:03:11,232	| moreperfect102417_enemyofmankind |	The Story begins appropriately enough not in America but it starts in 1976 with
EDL	00:03:11,744	00:03:13,280	| moreperfect102417_enemyofmankind |	This woman I have to
EDL	00:03:14,304	00:03:15,840	| moreperfect102417_enemyofmankind |	Get used to
EDL	00:03:15,840	00:03:17,632	| moreperfect102417_enemyofmankind |	Yeah
EDL	00:03:18,400	00:03:22,496	| moreperfect102417_enemyofmankind |	Okay so I guess the first thing if you could just introduce yourself why
EDL	00:03:22,496	00:03:24,800	| moreperfect102417_enemyofmankind |	My name is Dolly filartiga
EDL	00:03:26,080	00:03:30,944	| moreperfect102417_enemyofmankind |	I am from Hawaii
EDL	00:03:30,944	00:03:33,760	| moreperfect102417_enemyofmankind |	Paraguay it's a small country right on top of Argentina
EDL	00:03:34,272	00:03:35,808	| moreperfect102417_enemyofmankind |	Andales family the Florida coast
EDL	00:03:38,880	00:03:41,696	| moreperfect102417_enemyofmankind |	Pretty big deal over there
EDL	00:03:41,696	00:03:44,768	| moreperfect102417_enemyofmankind |	You my family was that my grandfather was
EDL	00:03:44,768	00:03:45,280	| moreperfect102417_enemyofmankind |	Very
EDL	00:03:46,048	00:03:46,560	| moreperfect102417_enemyofmankind |	Fridge
EDL	00:03:48,352	00:03:53,216	| moreperfect102417_enemyofmankind |	The Florida keys made their money exporting tobacco to Europe for big cigarette companies like
EDL	00:03:53,216	00:03:55,520	| moreperfect102417_enemyofmankind |	Datong
EDL	00:03:56,032	00:03:57,824	| moreperfect102417_enemyofmankind |	Lost a family that owns it
EDL	00:03:58,336	00:04:00,384	| moreperfect102417_enemyofmankind |	Beautiful flower in the countryside
EDL	00:04:01,664	00:04:02,688	| moreperfect102417_enemyofmankind |	Lots of land
EDL	00:04:02,688	00:04:03,712	| moreperfect102417_enemyofmankind |	Do airplanes
EDL	00:04:06,784	00:04:08,320	| moreperfect102417_enemyofmankind |	Now this could have been dollies
EDL	00:04:10,368	00:04:12,160	| moreperfect102417_enemyofmankind |	But you will say I'm going to win
EDL	00:04:12,928	00:04:13,952	| moreperfect102417_enemyofmankind |	And it wasn't
EDL	00:04:13,952	00:04:14,976	| moreperfect102417_enemyofmankind |	Because of her father
EDL	00:04:15,744	00:04:17,536	| moreperfect102417_enemyofmankind |	Your father what's his name
EDL	00:04:17,536	00:04:22,399	| moreperfect102417_enemyofmankind |	I want coin coin and what what did your dad do for a living
EDL	00:04:22,399	00:04:25,983	| moreperfect102417_enemyofmankind |	Her dad very famously turned his back on his fancy upbringing
EDL	00:04:26,495	00:04:30,335	| moreperfect102417_enemyofmankind |	The entire family to the countryside
EDL	00:04:30,335	00:04:33,919	| moreperfect102417_enemyofmankind |	And there he set up a clinic to give Medical Care to the poor indigenous
EDL	00:04:33,919	00:04:38,271	| moreperfect102417_enemyofmankind |	Farmers in that area 47000 people
EDL	00:04:38,271	00:04:44,415	| moreperfect102417_enemyofmankind |	He was the only doctor in a lot of cities that became kind of like a patron saint of the countryside
EDL	00:04:45,183	00:04:51,327	| moreperfect102417_enemyofmankind |	Not only would give the medical treatment but when they came in he would tell them go vote rise above your station
EDL	00:04:51,327	00:04:53,887	| moreperfect102417_enemyofmankind |	And as you can imagine as word got out
EDL	00:04:55,167	00:04:56,703	| moreperfect102417_enemyofmankind |	This really pissed off
EDL	00:04:56,703	00:04:57,983	| moreperfect102417_enemyofmankind |	Paraguay's ruler at the time
EDL	00:04:59,775	00:05:01,567	| moreperfect102417_enemyofmankind |	A guy named alfredo stroessner
EDL	00:05:02,335	00:05:07,967	| moreperfect102417_enemyofmankind |	He was called the pulpo the octopus because it said he had arms and tentacles that reach into everybody's
EDL	00:05:08,479	00:05:10,015	| moreperfect102417_enemyofmankind |	Live there in the country
EDL	00:05:10,015	00:05:14,367	| moreperfect102417_enemyofmankind |	Hatsune Horst American history here at Appalachian State University
EDL	00:05:15,135	00:05:17,183	| moreperfect102417_enemyofmankind |	Wadali was growing up Renee live
EDL	00:05:17,183	00:05:23,583	| moreperfect102417_enemyofmankind |	Next door in Formosa Argentina
EDL	00:05:23,583	00:05:24,351	| moreperfect102417_enemyofmankind |	Paraguay
EDL	00:05:24,351	00:05:27,167	| moreperfect102417_enemyofmankind |	What part of this like big network of dictators
EDL	00:05:27,167	00:05:31,007	| moreperfect102417_enemyofmankind |	All across Latin America and it was called Operation Condor
EDL	00:05:31,007	00:05:32,543	| moreperfect102417_enemyofmankind |	Operation Condor
EDL	00:05:32,543	00:05:37,663	| moreperfect102417_enemyofmankind |	Was a network that link together military dictatorships of Latin America so
EDL	00:05:37,663	00:05:39,711	| moreperfect102417_enemyofmankind |	Brazil Argentina Chile
EDL	00:05:39,711	00:05:43,807	| moreperfect102417_enemyofmankind |	Bolivia Uruguay Paraguay
EDL	00:05:43,807	00:05:46,623	| moreperfect102417_enemyofmankind |	Renee said the Operation Condor was a lot like a spider web
EDL	00:05:47,647	00:05:49,951	| moreperfect102417_enemyofmankind |	With Pinochet at the master Weavers
EDL	00:05:49,951	00:05:50,463	| moreperfect102417_enemyofmankind |	Spider
EDL	00:05:51,487	00:05:55,071	| moreperfect102417_enemyofmankind |	The Communist Revolution in Cuba had just happened and so these six
EDL	00:05:55,071	00:05:57,119	| moreperfect102417_enemyofmankind |	Super militaristic dictatorships
EDL	00:05:57,119	00:06:02,495	| moreperfect102417_enemyofmankind |	They banded together to pretty much trap communism in Cuba out of South America
EDL	00:06:02,495	00:06:07,359	| moreperfect102417_enemyofmankind |	Remember this is a cold war in America really wanted to keep communism out of the continent to
EDL	00:06:07,871	00:06:09,407	| moreperfect102417_enemyofmankind |	So it's really likely that the
EDL	00:06:09,407	00:06:10,175	| moreperfect102417_enemyofmankind |	The CIA was involved
EDL	00:06:11,455	00:06:14,527	| moreperfect102417_enemyofmankind |	The result was a network of state-sponsored Terror
EDL	00:06:14,527	00:06:15,807	| moreperfect102417_enemyofmankind |	In the Darkness
EDL	00:06:15,807	00:06:18,111	| moreperfect102417_enemyofmankind |	Part of the night they will come to your apartment and
EDL	00:06:18,623	00:06:22,207	| moreperfect102417_enemyofmankind |	Dragon stuff you in the trunk of a Ford Falcon car
EDL	00:06:22,719	00:06:24,255	| moreperfect102417_enemyofmankind |	And you disappear forever
EDL	00:06:27,839	00:06:31,679	| moreperfect102417_enemyofmankind |	My father used to tell depressed
EDL	00:06:31,679	00:06:33,215	| moreperfect102417_enemyofmankind |	Vote for the strut nut
EDL	00:06:34,751	00:06:38,079	| moreperfect102417_enemyofmankind |	Contacts behind Dr filart against Rebellion
EDL	00:06:38,079	00:06:43,199	| moreperfect102417_enemyofmankind |	Kelly said he travel all over the world giving talks trying to show everything what is drawing a rose
EDL	00:06:43,199	00:06:43,967	| moreperfect102417_enemyofmankind |	Doing in the car
EDL	00:06:44,479	00:06:47,295	| moreperfect102417_enemyofmankind |	Who tells patients when the government comes to buy your crops
EDL	00:06:47,295	00:06:48,575	| moreperfect102417_enemyofmankind |	14 day weather on sale
EDL	00:06:49,087	00:06:49,855	| moreperfect102417_enemyofmankind |	Don't give him a thing
EDL	00:06:56,255	00:06:58,303	| moreperfect102417_enemyofmankind |	Sally tried her best to ignore all this
EDL	00:06:58,303	00:07:01,375	| moreperfect102417_enemyofmankind |	We didn't get that long with my father I have to say that
EDL	00:07:02,911	00:07:03,679	| moreperfect102417_enemyofmankind |	So
EDL	00:07:03,679	00:07:08,287	| moreperfect102417_enemyofmankind |	When I get older she moved away from the country
EDL	00:07:08,287	00:07:09,311	| moreperfect102417_enemyofmankind |	I came to the city
EDL	00:07:10,079	00:07:10,847	| moreperfect102417_enemyofmankind |	To live
EDL	00:07:10,847	00:07:11,615	| moreperfect102417_enemyofmankind |	What city was
EDL	00:07:12,127	00:07:12,639	| moreperfect102417_enemyofmankind |	Asuncion
EDL	00:07:13,151	00:07:14,943	| moreperfect102417_enemyofmankind |	She worked to put herself through school
EDL	00:07:14,943	00:07:17,247	| moreperfect102417_enemyofmankind |	And then what are Ethan and Alex
EDL	00:07:17,247	00:07:18,015	| moreperfect102417_enemyofmankind |	Follow me
EDL	00:07:18,527	00:07:21,343	| moreperfect102417_enemyofmankind |	And then Dolly says she work to put her two siblings do school
EDL	00:07:21,855	00:07:27,487	| moreperfect102417_enemyofmankind |	Her sister Anna Lee at the time was 14 and her brother julito was 17
EDL	00:07:27,999	00:07:28,511	| moreperfect102417_enemyofmankind |	Dockweiler
EDL	00:07:30,303	00:07:31,327	| moreperfect102417_enemyofmankind |	He was her favorite
EDL	00:07:31,327	00:07:33,375	| moreperfect102417_enemyofmankind |	Polito look like my mother
EDL	00:07:33,375	00:07:34,399	| moreperfect102417_enemyofmankind |	Green eyes
EDL	00:07:34,399	00:07:37,983	| moreperfect102417_enemyofmankind |	Daniel hair like her I know that he had
EDL	00:07:37,983	00:07:39,775	| moreperfect102417_enemyofmankind |	A lot of girls that
EDL	00:07:39,775	00:07:40,799	| moreperfect102417_enemyofmankind |	Crust on him
EDL	00:07:40,799	00:07:42,591	| moreperfect102417_enemyofmankind |	This is Dolly's daughter Paloma
EDL	00:07:42,591	00:07:43,615	| moreperfect102417_enemyofmankind |	Very handsome
EDL	00:07:43,615	00:07:45,663	| moreperfect102417_enemyofmankind |	Yes but he wasn't a player
EDL	00:07:46,431	00:07:48,991	| moreperfect102417_enemyofmankind |	And what was what was hoagitos personality like
EDL	00:07:48,991	00:07:49,759	| moreperfect102417_enemyofmankind |	Was he loud
EDL	00:07:49,759	00:07:50,527	| moreperfect102417_enemyofmankind |	Was he quiet
EDL	00:07:50,527	00:07:52,063	| moreperfect102417_enemyofmankind |	You see those people that
EDL	00:07:52,063	00:07:55,135	| moreperfect102417_enemyofmankind |	See things and you left because you
EDL	00:07:55,135	00:07:56,927	| moreperfect102417_enemyofmankind |	So funny all the time
EDL	00:07:56,927	00:08:01,791	| moreperfect102417_enemyofmankind |	Just people that a joke comedian comedian with always so that he would
EDL	00:08:01,791	00:08:04,095	| moreperfect102417_enemyofmankind |	Become a comedian he was very funny
EDL	00:08:04,095	00:08:05,375	| moreperfect102417_enemyofmankind |	Types of YouTube
EDL	00:08:05,375	00:08:05,887	| moreperfect102417_enemyofmankind |	Redis
EDL	00:08:07,423	00:08:09,471	| moreperfect102417_enemyofmankind |	That's the backdrop 1976
EDL	00:08:09,471	00:08:11,519	| moreperfect102417_enemyofmankind |	Sally's in the city with her two siblings
EDL	00:08:11,519	00:08:14,847	| moreperfect102417_enemyofmankind |	Why Dad's on the country drumming up opposition to the regime
EDL	00:08:14,847	00:08:16,383	| moreperfect102417_enemyofmankind |	At that time
EDL	00:08:16,383	00:08:17,407	| moreperfect102417_enemyofmankind |	Accordingly.
EDL	00:08:18,175	00:08:21,759	| moreperfect102417_enemyofmankind |	She said many friends that he feel like he was being followed
EDL	00:08:22,271	00:08:24,575	| moreperfect102417_enemyofmankind |	He didn't want to tell ask because
EDL	00:08:24,575	00:08:26,623	| moreperfect102417_enemyofmankind |	We are we still teaching to be careful
EDL	00:08:27,135	00:08:30,975	| moreperfect102417_enemyofmankind |	Even my father who are you to tell him be careful because you are
EDL	00:08:30,975	00:08:33,023	| moreperfect102417_enemyofmankind |	Why my son is
EDL	00:08:33,023	00:08:36,607	| moreperfect102417_enemyofmankind |	And at that time in Paraguay it was well known that there was spies
