EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,888	| moreperfect120617_thearchitect |	WNYC Studios
EDL	00:00:45,568	00:00:50,944	| moreperfect120617_thearchitect |	Is more perfect time Chatham rod cell
EDL	00:00:50,944	00:00:54,016	| moreperfect120617_thearchitect |	Last season we profiled a guy named Edward bloom
EDL	00:00:55,040	00:00:56,576	| moreperfect120617_thearchitect |	This is a guy who
EDL	00:00:57,856	00:00:58,624	| moreperfect120617_thearchitect |	According to his critics
EDL	00:00:59,136	00:01:04,000	| moreperfect120617_thearchitect |	Had almost single-handedly roll back Decades of civil rights law
EDL	00:01:06,048	00:01:09,888	| moreperfect120617_thearchitect |	Wasn't a lawyer wasn't politician but somehow he sort of found this way
EDL	00:01:10,400	00:01:11,936	| moreperfect120617_thearchitect |	To play the courts
EDL	00:01:12,960	00:01:13,984	| moreperfect120617_thearchitect |	2
EDL	00:01:13,984	00:01:16,544	| moreperfect120617_thearchitect |	Hook up just the right case find just the right plaintiff
EDL	00:01:17,056	00:01:21,920	| moreperfect120617_thearchitect |	Target voting rights affirmative action all kinds of different laws that take race into account
EDL	00:01:22,688	00:01:26,784	| moreperfect120617_thearchitect |	Same to us the time that he was sort of the Hidden architect not too much was known about him
EDL	00:01:28,064	00:01:30,112	| moreperfect120617_thearchitect |	In fact at the time that we did the story
EDL	00:01:30,624	00:01:35,232	| moreperfect120617_thearchitect |	There is a big case of his targeting affirmative action that was coming before The Supreme Court
EDL	00:01:35,232	00:01:37,536	| moreperfect120617_thearchitect |	And there was he this moment or his plaintiff
EDL	00:01:37,536	00:01:38,560	| moreperfect120617_thearchitect |	Play two feet found
EDL	00:01:38,560	00:01:40,864	| moreperfect120617_thearchitect |	Young white woman Abby Fisher was on the steps
EDL	00:01:40,864	00:01:41,632	| moreperfect120617_thearchitect |	Supreme Court
EDL	00:01:42,144	00:01:43,424	| moreperfect120617_thearchitect |	Giving an interview and
EDL	00:01:43,936	00:01:46,752	| moreperfect120617_thearchitect |	He would literally be behind her in the shadows
