EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| radiolab061016_moreperfect_episode2 |	Hey this is Dad so
EDL	00:00:02,048	00:00:04,352	| radiolab061016_moreperfect_episode2 |	A couple of us here have been working really hard for
EDL	00:00:04,864	00:00:05,888	| radiolab061016_moreperfect_episode2 |	Last few months on a
EDL	00:00:05,888	00:00:06,912	| radiolab061016_moreperfect_episode2 |	On a new spin-off
EDL	00:00:07,424	00:00:08,704	| radiolab061016_moreperfect_episode2 |	Radio apps for spinoff
EDL	00:00:09,472	00:00:10,240	| radiolab061016_moreperfect_episode2 |	Called more perfect
EDL	00:00:11,008	00:00:13,824	| radiolab061016_moreperfect_episode2 |	It is a miniseries about the Supreme Court
EDL	00:00:13,824	00:00:14,848	| radiolab061016_moreperfect_episode2 |	Working on it for months and months
EDL	00:00:15,616	00:00:17,408	| radiolab061016_moreperfect_episode2 |	We just released our first episode last
EDL	00:00:17,408	00:00:18,688	| radiolab061016_moreperfect_episode2 |	Next week we're super proud of it
EDL	00:00:19,712	00:00:21,248	| radiolab061016_moreperfect_episode2 |	And I'm talking to you now
EDL	00:00:22,784	00:00:23,808	| radiolab061016_moreperfect_episode2 |	Cuz I want you to see
EDL	00:00:23,808	00:00:24,320	| radiolab061016_moreperfect_episode2 |	Describe the Spy
EDL	00:00:24,832	00:00:25,856	| radiolab061016_moreperfect_episode2 |	I think you will really like
EDL	00:00:26,624	00:00:28,160	| radiolab061016_moreperfect_episode2 |	If you like Radiolab you will like this
EDL	00:00:29,440	00:00:33,536	| radiolab061016_moreperfect_episode2 |	So I'm asking to do one better I don't know where she going to feature a couple of
EDL	00:00:34,048	00:00:35,072	| radiolab061016_moreperfect_episode2 |	Episodes of Maury
EDL	00:00:35,072	00:00:35,840	| radiolab061016_moreperfect_episode2 |	Perfect on this pot
EDL	00:00:36,608	00:00:37,888	| radiolab061016_moreperfect_episode2 |	On Radiolab
EDL	00:00:38,400	00:00:39,936	| radiolab061016_moreperfect_episode2 |	Cuz we know if we really
EDL	00:00:39,936	00:00:40,704	| radiolab061016_moreperfect_episode2 |	I think you'll like it
EDL	00:00:40,704	00:00:46,080	| radiolab061016_moreperfect_episode2 |	And that we hope you'll go to iTunes or Google or whatever it is you get your podcast and you subscribe
EDL	00:00:46,080	00:00:47,360	| radiolab061016_moreperfect_episode2 |	And you'll spread the word
EDL	00:00:48,128	00:00:49,408	| radiolab061016_moreperfect_episode2 |	The people listen to this thing
EDL	00:00:49,920	00:00:50,688	| radiolab061016_moreperfect_episode2 |	Maybe we'll keep doing it
EDL	00:00:51,968	00:00:52,736	| radiolab061016_moreperfect_episode2 |	Alright so
EDL	00:00:53,248	00:00:55,808	| radiolab061016_moreperfect_episode2 |	What you're about to hear is episode
EDL	00:00:55,808	00:00:56,832	| radiolab061016_moreperfect_episode2 |	2 of March
EDL	00:00:56,832	00:00:57,600	| radiolab061016_moreperfect_episode2 |	Perfect
EDL	00:00:57,600	00:00:58,624	| radiolab061016_moreperfect_episode2 |	Are you spending
EDL	00:00:59,136	00:01:00,160	| radiolab061016_moreperfect_episode2 |	Supreme Court
EDL	00:01:00,160	00:01:01,696	| radiolab061016_moreperfect_episode2 |	Episode one is already out
EDL	00:01:01,696	00:01:04,256	| radiolab061016_moreperfect_episode2 |	The Voice you're going to hear is Suzie lechtenberg
EDL	00:01:04,256	00:01:05,792	| radiolab061016_moreperfect_episode2 |	Who is my main
EDL	00:01:05,792	00:01:07,072	| radiolab061016_moreperfect_episode2 |	Collaborator on the project
EDL	00:01:07,072	00:01:08,608	| radiolab061016_moreperfect_episode2 |	Choose long-time executive producer
EDL	00:01:08,608	00:01:09,376	| radiolab061016_moreperfect_episode2 |	Freakonomics
EDL	00:01:10,144	00:01:10,656	| radiolab061016_moreperfect_episode2 |	Shinar
EDL	00:01:12,192	00:01:12,960	| radiolab061016_moreperfect_episode2 |	Cooking up this project
EDL	00:01:13,984	00:01:14,752	| radiolab061016_moreperfect_episode2 |	So
EDL	00:01:14,752	00:01:15,776	| radiolab061016_moreperfect_episode2 |	Here it is episode 2
EDL	00:01:19,872	00:01:24,224	| radiolab061016_moreperfect_episode2 |	I think we should start the story on June 25th 1969
EDL	00:01:24,224	00:01:25,504	| radiolab061016_moreperfect_episode2 |	Urmc
EDL	00:01:25,504	00:01:26,272	| radiolab061016_moreperfect_episode2 |	I'm jazz
EDL	00:01:26,272	00:01:28,832	| radiolab061016_moreperfect_episode2 |	I'm ride this is more perfect okay so why
EDL	00:01:28,832	00:01:30,368	| radiolab061016_moreperfect_episode2 |	Why 220 when was it
EDL	00:01:30,368	00:01:32,416	| radiolab061016_moreperfect_episode2 |	June 25th 1969
EDL	00:01:33,440	00:01:38,048	| radiolab061016_moreperfect_episode2 |	Supreme Court chief justice Earl Warren is retiring or a Warren of the Warren Court
EDL	00:01:38,048	00:01:39,328	| radiolab061016_moreperfect_episode2 |	Isn't that a big Court
EDL	00:01:39,840	00:01:44,960	| radiolab061016_moreperfect_episode2 |	Yeah that's what I think of you think of legendary
EDL	00:01:44,960	00:01:45,984	| radiolab061016_moreperfect_episode2 |	Supreme Court judge
EDL	00:01:45,984	00:01:47,776	| radiolab061016_moreperfect_episode2 |	Says he's probably in
EDL	00:01:47,776	00:01:48,544	| radiolab061016_moreperfect_episode2 |	Top five
EDL	00:01:48,544	00:01:50,592	| radiolab061016_moreperfect_episode2 |	So he was one of the mount Olympians he's a big deal
EDL	00:01:51,872	00:01:55,456	| radiolab061016_moreperfect_episode2 |	Right now he's retiring so he's retiring he's been on the court for 16 years
EDL	00:01:56,224	00:01:58,016	| radiolab061016_moreperfect_episode2 |	And he's in an interview in his ass
EDL	00:01:58,016	00:02:04,160	| radiolab061016_moreperfect_episode2 |	Would you list Master Chief Justice of the Supreme Court's most important decision you're 16 years here
EDL	00:02:05,184	00:02:09,024	| radiolab061016_moreperfect_episode2 |	Is kind of astounding
EDL	00:02:09,024	00:02:13,376	| radiolab061016_moreperfect_episode2 |	Not only of state legislatures by Porsche before you hear the answer
EDL	00:02:13,376	00:02:19,520	| radiolab061016_moreperfect_episode2 |	I think that you need to know that he could have said all kinds of cases he was the chief justice
EDL	00:02:20,288	00:02:21,056	| radiolab061016_moreperfect_episode2 |	During
EDL	00:02:21,568	00:02:23,104	| radiolab061016_moreperfect_episode2 |	Miranda
EDL	00:02:23,104	00:02:29,504	| radiolab061016_moreperfect_episode2 |	Remain silent
EDL	00:02:29,504	00:02:31,808	| radiolab061016_moreperfect_episode2 |	Or Gideon versus Wainwright
EDL	00:02:31,808	00:02:32,576	| radiolab061016_moreperfect_episode2 |	Beauty
EDL	00:02:32,576	00:02:36,160	| radiolab061016_moreperfect_episode2 |	Harvey Specter
EDL	00:02:36,160	00:02:41,792	| radiolab061016_moreperfect_episode2 |	Athens Big Bore Brown versus Board of Education
EDL	00:02:43,072	00:02:46,912	| radiolab061016_moreperfect_episode2 |	Mad when I know that one
EDL	00:02:46,912	00:02:47,936	| radiolab061016_moreperfect_episode2 |	He doesn't say any of those
EDL	00:02:49,472	00:02:50,496	| radiolab061016_moreperfect_episode2 |	What is issei
EDL	00:02:50,496	00:02:54,080	| radiolab061016_moreperfect_episode2 |	He says this little case called
EDL	00:02:54,080	00:02:54,848	| radiolab061016_moreperfect_episode2 |	Scarface
EDL	00:02:55,360	00:02:56,640	| radiolab061016_moreperfect_episode2 |	Baker vs. Carr
EDL	00:02:59,968	00:03:00,480	| radiolab061016_moreperfect_episode2 |	The Batcave
EDL	00:03:00,992	00:03:03,552	| radiolab061016_moreperfect_episode2 |	Is perhaps the most important case that who that
EDL	00:03:04,064	00:03:05,344	| radiolab061016_moreperfect_episode2 |	Since I've been on the court
EDL	00:03:05,856	00:03:09,952	| radiolab061016_moreperfect_episode2 |	He thought that case whatever it is is more important than the case that desegregated the school
EDL	00:03:10,464	00:03:10,976	| radiolab061016_moreperfect_episode2 |	He did
EDL	00:03:11,488	00:03:13,024	| radiolab061016_moreperfect_episode2 |	So what the hell is it
EDL	00:03:13,024	00:03:13,792	| radiolab061016_moreperfect_episode2 |	Exactly
EDL	00:03:14,560	00:03:15,584	| radiolab061016_moreperfect_episode2 |	No really what is it
EDL	00:03:16,096	00:03:19,936	| radiolab061016_moreperfect_episode2 |	It's this case that was so dramatic and so dramatic
