EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:06,912	| radiolab_membership19americanish |	Hate Radiolab it is Molly Webster before we start the show I want to say two things
EDL	00:00:07,424	00:00:08,192	| radiolab_membership19americanish |	One of which
EDL	00:00:08,960	00:00:09,728	| radiolab_membership19americanish |	Thank you
EDL	00:00:10,240	00:00:15,104	| radiolab_membership19americanish |	Couple of weeks ago we asked you to donate to support the show and you did
EDL	00:00:15,104	00:00:16,640	| radiolab_membership19americanish |	And we are so so grateful
EDL	00:00:17,152	00:00:19,456	| radiolab_membership19americanish |	Which brings me to the second thing
EDL	00:00:19,456	00:00:21,504	| radiolab_membership19americanish |	We still need more of you
EDL	00:00:21,504	00:00:23,552	| radiolab_membership19americanish |	This is a stat that I was handed today
EDL	00:00:24,064	00:00:27,136	| radiolab_membership19americanish |	Most people listen to Radiolab for about
EDL	00:00:27,136	00:00:29,952	| radiolab_membership19americanish |	Two and a half years before they become a member
EDL	00:00:30,464	00:00:32,768	| radiolab_membership19americanish |	Can you imagine that that's like
EDL	00:00:32,768	00:00:35,072	| radiolab_membership19americanish |	What's a going to a potluck dinner
EDL	00:00:35,072	00:00:36,864	| radiolab_membership19americanish |	For two-and-a-half years
EDL	00:00:36,864	00:00:37,888	| radiolab_membership19americanish |	Every week
EDL	00:00:37,888	00:00:39,936	| radiolab_membership19americanish |	And never bringing a dish
EDL	00:00:39,936	00:00:41,216	| radiolab_membership19americanish |	Or going to
EDL	00:00:41,216	00:00:44,032	| radiolab_membership19americanish |	Two-and-a-half years of weddings and never bringing a gift
EDL	00:00:44,544	00:00:47,872	| radiolab_membership19americanish |	Or asking people to follow you never following them
EDL	00:00:48,384	00:00:54,016	| radiolab_membership19americanish |	You wouldn't want to do any of those things until I know that you want to become a member today
EDL	00:00:54,784	00:00:57,088	| radiolab_membership19americanish |	Go to radiolab.org
EDL	00:00:57,088	00:00:57,856	| radiolab_membership19americanish |	Donate
EDL	00:00:57,856	00:01:03,232	| radiolab_membership19americanish |	The average donation is $75 but we're happy with whatever you can give
EDL	00:01:03,232	00:01:04,000	| radiolab_membership19americanish |	And
EDL	00:01:04,000	00:01:10,144	| radiolab_membership19americanish |	If you donate before April 30th you and a friend could win an all-expenses-paid trip to New York City
EDL	00:01:10,656	00:01:11,424	| radiolab_membership19americanish |	We
EDL	00:01:11,424	00:01:13,216	| radiolab_membership19americanish |	Will take you bowling once you get here
EDL	00:01:13,728	00:01:16,544	| radiolab_membership19americanish |	So go to radiolab.org donate
EDL	00:01:16,544	00:01:17,312	| radiolab_membership19americanish |	And thank you
EDL	00:01:34,976	00:01:35,744	| radiolab_membership19americanish |	Are you awake
EDL	00:01:39,328	00:01:43,936	| radiolab_membership19americanish |	Listening to Radiolab
EDL	00:01:44,448	00:01:48,800	| radiolab_membership19americanish |	Radiolab WNYC
EDL	00:01:52,384	00:01:58,784	| radiolab_membership19americanish |	I'm Jedi been wrought iron Robert Froehlich is Radiolab and this is reporter Julia Longoria
EDL	00:01:58,784	00:02:00,320	| radiolab_membership19americanish |	Nothing. Let's do it so where do we start
EDL	00:02:00,832	00:02:01,600	| radiolab_membership19americanish |	You took a trip
EDL	00:02:01,600	00:02:02,880	| radiolab_membership19americanish |	Site of two trips
EDL	00:02:02,880	00:02:05,952	| radiolab_membership19americanish |	The first trip inspired another trip
EDL	00:02:06,464	00:02:12,864	| radiolab_membership19americanish |	Let's start in Denver Colorado
EDL	00:02:12,864	00:02:14,144	| radiolab_membership19americanish |	Where
EDL	00:02:14,144	00:02:15,680	| radiolab_membership19americanish |	I wanted to speak to this
EDL	00:02:16,448	00:02:17,984	| radiolab_membership19americanish |	Young man
EDL	00:02:18,752	00:02:23,104	| radiolab_membership19americanish |	Giancarlo very young man
EDL	00:02:23,104	00:02:24,640	| radiolab_membership19americanish |	Giancarlo Mari
EDL	00:02:24,640	00:02:26,944	| radiolab_membership19americanish |	He's 9 years old what are you doing today
EDL	00:02:27,456	00:02:29,504	| radiolab_membership19americanish |	Well I'm from eating lunch
EDL	00:02:29,504	00:02:33,600	| radiolab_membership19americanish |	So currently I'm not asking my grandmother hug so yeah
EDL	00:02:33,600	00:02:34,624	| radiolab_membership19americanish |	So currently that
EDL	00:02:35,392	00:02:36,416	| radiolab_membership19americanish |	Trying to turn me on
