EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:04,864	| radiolab_membership19relativegenius_intelligence-series |	Hi there this is Rachel Cusick I'm a producer here at the
EDL	00:00:04,864	00:00:05,632	| radiolab_membership19relativegenius_intelligence-series |	Show
EDL	00:00:05,632	00:00:07,680	| radiolab_membership19relativegenius_intelligence-series |	We're going to go back to G in just a second
EDL	00:00:08,448	00:00:09,216	| radiolab_membership19relativegenius_intelligence-series |	But first
EDL	00:00:09,216	00:00:09,728	| radiolab_membership19relativegenius_intelligence-series |	EverQuest
EDL	00:00:10,752	00:00:12,800	| radiolab_membership19relativegenius_intelligence-series |	Requests that only you can help me with
EDL	00:00:13,312	00:00:19,712	| radiolab_membership19relativegenius_intelligence-series |	Did you know what it is and guys asking for money is hard I can only compare this feeling to bumping into an ex
EDL	00:00:19,712	00:00:25,088	| radiolab_membership19relativegenius_intelligence-series |	Text with their new ridiculously good-looking partner while you're eating spaghetti you have your retainer in
EDL	00:00:25,600	00:00:29,440	| radiolab_membership19relativegenius_intelligence-series |	And then someone asked you to recite Sally sells seashells by the seashore
EDL	00:00:29,952	00:00:31,744	| radiolab_membership19relativegenius_intelligence-series |	It is awkward for everybody
EDL	00:00:32,256	00:00:34,304	| radiolab_membership19relativegenius_intelligence-series |	But I am here
EDL	00:00:34,304	00:00:38,400	| radiolab_membership19relativegenius_intelligence-series |	In your ears your listener asking for your hard-earned money
EDL	00:00:38,400	00:00:43,264	| radiolab_membership19relativegenius_intelligence-series |	Guacamole as if I am the British guy in the magic bullet infomercial
EDL	00:00:43,264	00:00:44,032	| radiolab_membership19relativegenius_intelligence-series |	Standing
EDL	00:00:44,032	00:00:46,336	| radiolab_membership19relativegenius_intelligence-series |	Because I believe in what we do
EDL	00:00:46,336	00:00:46,848	| radiolab_membership19relativegenius_intelligence-series |	So much
EDL	00:00:47,360	00:00:48,896	| radiolab_membership19relativegenius_intelligence-series |	And I know you do too
EDL	00:00:49,408	00:00:52,224	| radiolab_membership19relativegenius_intelligence-series |	Over the last nine months and I have been diving deep
EDL	00:00:52,224	00:00:54,016	| radiolab_membership19relativegenius_intelligence-series |	Into the world of intelligence
EDL	00:00:54,016	00:00:55,040	| radiolab_membership19relativegenius_intelligence-series |	IRS
EDL	00:00:55,040	00:00:59,648	| radiolab_membership19relativegenius_intelligence-series |	Oh you got me did nearly a hundred hours of interviews
EDL	00:01:03,232	00:01:06,560	| radiolab_membership19relativegenius_intelligence-series |	Old-school original IQ test kit
EDL	00:01:06,560	00:01:12,960	| radiolab_membership19relativegenius_intelligence-series |	This is never been used we can put ourselves through IQ test if I were a kid I would walk away from that crying and wanting for
EDL	00:01:12,960	00:01:13,984	| radiolab_membership19relativegenius_intelligence-series |	Burger King
EDL	00:01:13,984	00:01:15,008	| radiolab_membership19relativegenius_intelligence-series |	Terrifying
EDL	00:01:15,008	00:01:16,544	| radiolab_membership19relativegenius_intelligence-series |	I'm a full grown adult
EDL	00:01:17,056	00:01:17,824	| radiolab_membership19relativegenius_intelligence-series |	And yet
EDL	00:01:17,824	00:01:18,336	| radiolab_membership19relativegenius_intelligence-series |	Stilts
EDL	00:01:19,360	00:01:25,760	| radiolab_membership19relativegenius_intelligence-series |	We went inside Einstein's brain across the country to share their olestra story with you and we
EDL	00:01:25,760	00:01:29,344	| radiolab_membership19relativegenius_intelligence-series |	We have more great stories coming your way that I won't spoil for you here
EDL	00:01:29,344	00:01:32,672	| radiolab_membership19relativegenius_intelligence-series |	And we can do any of this kind of work without the help
EDL	00:01:32,672	00:01:33,696	| radiolab_membership19relativegenius_intelligence-series |	Listeners like you
EDL	00:01:34,208	00:01:39,840	| radiolab_membership19relativegenius_intelligence-series |	Radiolab is listener-supported which means you make this weird wonderful show possible
EDL	00:01:40,352	00:01:42,400	| radiolab_membership19relativegenius_intelligence-series |	And now we need your help
