EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:01,536	00:00:02,304	| radiolab_podcast14_kg |	Are you awake
EDL	00:00:06,656	00:00:10,240	| radiolab_podcast14_kg |	Listening to Radiolab
EDL	00:00:11,008	00:00:12,288	| radiolab_podcast14_kg |	Radiolab
EDL	00:00:12,800	00:00:17,152	| radiolab_podcast14_kg |	From WNYC
EDL	00:00:17,920	00:00:19,456	| radiolab_podcast14_kg |	And NPR
EDL	00:00:20,736	00:00:25,600	| radiolab_podcast14_kg |	Hey I'm Jared I'm running Robert Radiolab the podcast
EDL	00:00:25,600	00:00:28,672	| radiolab_podcast14_kg |	Actually brought a list okay let what it was 22
EDL	00:00:28,672	00:00:29,952	| radiolab_podcast14_kg |	Share with me your list
EDL	00:00:31,232	00:00:32,768	| radiolab_podcast14_kg |	This is Andrew Moran
EDL	00:00:33,280	00:00:35,584	| radiolab_podcast14_kg |	He's a writer and editor at the New Yorker magazine
EDL	00:00:36,096	00:00:38,912	| radiolab_podcast14_kg |	I might have gotten lost to occasionally pops on do I show
EDL	00:00:38,912	00:00:40,448	| radiolab_podcast14_kg |	Maybe you were mugged
EDL	00:00:40,448	00:00:41,984	| radiolab_podcast14_kg |	Here it is
EDL	00:00:42,496	00:00:46,336	| radiolab_podcast14_kg |	And he recently got obsessed with a the list of measure
EDL	00:00:46,848	00:00:48,128	| radiolab_podcast14_kg |	Base units are called
EDL	00:00:48,128	00:00:49,152	| radiolab_podcast14_kg |	Ver SI basic
EDL	00:00:50,176	00:00:51,968	| radiolab_podcast14_kg |	System international
EDL	00:00:52,992	00:00:55,296	| radiolab_podcast14_kg |	Who did this way you ever wondered
EDL	00:00:55,808	00:00:57,600	| radiolab_podcast14_kg |	How long an inch
EDL	00:00:58,368	00:00:59,136	| radiolab_podcast14_kg |	I'm exactly
EDL	00:01:00,672	00:01:04,256	| radiolab_podcast14_kg |	I know I took a ruler but how do you know that your ruler in my ruler do I have the
EDL	00:01:04,256	00:01:05,024	| radiolab_podcast14_kg |	The same amount of each
EDL	00:01:05,536	00:01:08,864	| radiolab_podcast14_kg |	He's worried that someone in China that their inches are inches your engine is
EDL	00:01:10,656	00:01:12,960	| radiolab_podcast14_kg |	I haven't really thought about it but I'm just a
EDL	00:01:12,960	00:01:14,240	| radiolab_podcast14_kg |	Assume that there's like a master
EDL	00:01:14,240	00:01:16,032	| radiolab_podcast14_kg |	Strange somewhere
EDL	00:01:16,032	00:01:18,592	| radiolab_podcast14_kg |	How do I say in French
EDL	00:01:18,592	00:01:22,688	| radiolab_podcast14_kg |	That is what was on this listing and you was looking at its a list of standard measures
EDL	00:01:23,200	00:01:26,528	| radiolab_podcast14_kg |	For everything we have around how big something is
EDL	00:01:26,528	00:01:28,320	| radiolab_podcast14_kg |	Bar something in hot something
EDL	00:01:28,320	00:01:29,088	| radiolab_podcast14_kg |	It's all in the
EDL	00:01:29,088	00:01:29,856	| radiolab_podcast14_kg |	Okay
EDL	00:01:29,856	00:01:31,904	| radiolab_podcast14_kg |	So when you go down the list of the
EDL	00:01:32,672	00:01:34,976	| radiolab_podcast14_kg |	Sistema Internacional do you need
EDL	00:01:34,976	00:01:36,768	| radiolab_podcast14_kg |	Here's what you got a meter
EDL	00:01:38,304	00:01:39,072	| radiolab_podcast14_kg |	A meter is
EDL	00:01:39,072	00:01:44,448	| radiolab_podcast14_kg |	A fraction of a second of the distance traveled by light in a vacuum okay
EDL	00:01:44,448	00:01:45,216	| radiolab_podcast14_kg |	Is
EDL	00:01:45,216	00:01:51,616	| radiolab_podcast14_kg |	How much radiation corresponds to the transition between two hyperfine levels of the ground
EDL	00:01:51,616	00:01:58,016	| radiolab_podcast14_kg |	State of the cesium 133 atom that's the definition of a second is a particular atom jiggle yeah
EDL	00:01:58,016	00:02:02,368	| radiolab_podcast14_kg |	An ampere which measures electric current you know
EDL	00:02:02,368	00:02:03,136	| radiolab_podcast14_kg |	Is
EDL	00:02:03,136	00:02:09,536	| radiolab_podcast14_kg |	Constant current which has maintained in two straight parallel conductors of infinite length would produce between these conductors
EDL	00:02:09,536	00:02:13,376	| radiolab_podcast14_kg |	The force is equal to 2 x 10 to the negative 7th Newtons per meter of length
EDL	00:02:13,376	00:02:14,400	| radiolab_podcast14_kg |	I have no idea what that
EDL	00:02:14,400	00:02:20,800	| radiolab_podcast14_kg |	See that's the thing if you look at the actual definition
EDL	00:02:20,800	00:02:22,336	| radiolab_podcast14_kg |	There is one
EDL	00:02:22,336	00:02:23,104	| radiolab_podcast14_kg |	Standard on the list
EDL	00:02:23,872	00:02:24,640	| radiolab_podcast14_kg |	It is unique
EDL	00:02:25,152	00:02:26,432	| radiolab_podcast14_kg |	Fritz simplicity
EDL	00:02:26,432	00:02:29,504	| radiolab_podcast14_kg |	The definition of the standard unit of measurement that is a kilogram
EDL	00:02:29,504	00:02:32,832	| radiolab_podcast14_kg |	Is no man no numbers it is a
EDL	00:02:33,600	00:02:35,136	| radiolab_podcast14_kg |	Sing
EDL	00:02:36,160	00:02:37,952	| radiolab_podcast14_kg |	A particular thing
EDL	00:02:37,952	00:02:38,976	| radiolab_podcast14_kg |	Plum-sized
EDL	00:02:40,256	00:02:41,536	| radiolab_podcast14_kg |	Sing
EDL	00:02:42,816	00:02:44,096	| radiolab_podcast14_kg |	It is the only
EDL	00:02:44,096	00:02:46,656	| radiolab_podcast14_kg |	We used to measure things
EDL	00:02:46,656	00:02:49,216	| radiolab_podcast14_kg |	Six the last one standing you'll
EDL	00:02:49,216	00:02:51,776	| radiolab_podcast14_kg |	Physical standard lab why is it the last
EDL	00:02:51,776	00:02:53,824	| radiolab_podcast14_kg |	Hawaii weather is it what wait what
EDL	00:02:55,104	00:02:56,896	| radiolab_podcast14_kg |	Let me just take you back to the beginning of the story
EDL	00:02:58,688	00:03:02,016	| radiolab_podcast14_kg |	Like I must admit that I I expected this
EDL	00:03:02,016	00:03:03,296	| radiolab_podcast14_kg |	Story to be
EDL	00:03:03,296	00:03:06,624	| radiolab_podcast14_kg |	A lot more boring that I found it's like an epic
EDL	00:03:06,624	00:03:07,392	| radiolab_podcast14_kg |	Story
EDL	00:03:07,392	00:03:13,536	| radiolab_podcast14_kg |	That is Latif Nasser science historian regular on our show he says if you go all the way back to the very first farmers back in
EDL	00:03:14,048	00:03:17,632	| radiolab_podcast14_kg |	All of the earliest measurements were super intuitive
EDL	00:03:17,632	00:03:19,680	| radiolab_podcast14_kg |	And he says a lot of them came from the body
EDL	00:03:19,680	00:03:23,264	| radiolab_podcast14_kg |	As in that bunny is coming close to the net
EDL	00:03:23,264	00:03:25,312	| radiolab_podcast14_kg |	How close dad two hands
EDL	00:03:25,312	00:03:28,640	| radiolab_podcast14_kg |	But it's not just like hands and feet but it was also
EDL	00:03:28,640	00:03:35,040	| radiolab_podcast14_kg |	So many other kinds of measurements like you would say oh something is as far as you know my voice
EDL	00:03:35,040	00:03:35,552	| radiolab_podcast14_kg |	Skin care
EDL	00:03:36,576	00:03:38,112	| radiolab_podcast14_kg |	Something is as far as
EDL	00:03:38,112	00:03:39,392	| radiolab_podcast14_kg |	I can see
EDL	00:03:39,392	00:03:41,440	| radiolab_podcast14_kg |	Sitting on the top of a camel
EDL	00:03:41,440	00:03:43,488	| radiolab_podcast14_kg |	Or something is as far as
EDL	00:03:43,488	00:03:46,304	| radiolab_podcast14_kg |	I can throw a stone
EDL	00:03:48,608	00:03:51,168	| radiolab_podcast14_kg |	That would be like saying okay I'm going to build
EDL	00:03:51,168	00:03:51,936	| radiolab_podcast14_kg |	A
EDL	00:03:51,936	00:03:53,216	| radiolab_podcast14_kg |	Farm here
EDL	00:03:53,216	00:03:53,984	| radiolab_podcast14_kg |	And I'm going to do it
EDL	00:03:53,984	00:03:55,264	| radiolab_podcast14_kg |	Three throw rocks
EDL	00:03:55,264	00:04:01,664	| radiolab_podcast14_kg |	Across the way I read about it was like Travelers like if you're a Saharan traveler you know
EDL	00:04:01,664	00:04:03,456	| radiolab_podcast14_kg |	Junior you need to know where the next
EDL	00:04:03,456	00:04:04,480	| radiolab_podcast14_kg |	Watering Hole is
EDL	00:04:07,296	00:04:09,088	| radiolab_podcast14_kg |	Measurement yeah they would say it
EDL	00:04:09,088	00:04:11,648	| radiolab_podcast14_kg |	Cinema 3 throw rocks away or it's time for a Rockaway
