EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast15maumau |	Are you awake
EDL	00:00:06,400	00:00:10,752	| radiolab_podcast15maumau |	Listening to Radiolab
EDL	00:00:11,264	00:00:15,616	| radiolab_podcast15maumau |	Radio WNYC
EDL	00:00:19,456	00:00:25,600	| radiolab_podcast15maumau |	Hey I'm Jared I'm Robert krulwich Radiolab today we're going to start off with a building
EDL	00:00:25,600	00:00:28,160	| radiolab_podcast15maumau |	Not just any building but a building that is
EDL	00:00:29,696	00:00:30,464	| radiolab_podcast15maumau |	Heavy
EDL	00:00:30,464	00:00:30,976	| radiolab_podcast15maumau |	With secret
EDL	00:00:31,488	00:00:36,096	| radiolab_podcast15maumau |	Yeah it's building we first really learned about got a picture of
EDL	00:00:36,096	00:00:36,864	| radiolab_podcast15maumau |	From the Seoul
EDL	00:00:36,864	00:00:39,680	| radiolab_podcast15maumau |	Katie Engelhart I'm a reporter of Vice news in London
EDL	00:00:40,192	00:00:42,240	| radiolab_podcast15maumau |	And Katie like now all of us
EDL	00:00:43,008	00:00:43,776	| radiolab_podcast15maumau |	Is
EDL	00:00:43,776	00:00:44,288	| radiolab_podcast15maumau |	Obsessed
EDL	00:00:44,800	00:00:46,336	| radiolab_podcast15maumau |	Devastatingly obsessed
EDL	00:00:46,336	00:00:48,128	| radiolab_podcast15maumau |	With this place called hanslope Park
EDL	00:00:48,640	00:00:49,920	| radiolab_podcast15maumau |	Central Park is this
EDL	00:00:49,920	00:00:50,432	| radiolab_podcast15maumau |	Huge
EDL	00:00:50,944	00:00:54,016	| radiolab_podcast15maumau |	Sprawling complex in buckinghamshire near us
EDL	00:00:54,016	00:00:55,552	| radiolab_podcast15maumau |	Hong Kong Milton Keynes
EDL	00:00:55,552	00:00:56,064	| radiolab_podcast15maumau |	Which
EDL	00:00:56,832	00:00:59,904	| radiolab_podcast15maumau |	Isn't too far from London and I'm pretty sure Jamie York
EDL	00:00:59,904	00:01:04,768	| radiolab_podcast15maumau |	Happened to be in London on vacation so we asked him we'll watch describe your tape recorder
EDL	00:01:04,768	00:01:05,280	| radiolab_podcast15maumau |	Go down there
EDL	00:01:06,560	00:01:08,352	| radiolab_podcast15maumau |	Check it out
EDL	00:01:08,352	00:01:10,400	| radiolab_podcast15maumau |	It's a bit of a drive from London
EDL	00:01:10,400	00:01:12,192	| radiolab_podcast15maumau |	About an hour and a half on the M1
EDL	00:01:12,192	00:01:13,728	| radiolab_podcast15maumau |	And do you approach this
EDL	00:01:14,496	00:01:15,520	| radiolab_podcast15maumau |	Assertive beautiful
EDL	00:01:15,520	00:01:17,568	| radiolab_podcast15maumau |	Town with adorable little
EDL	00:01:17,568	00:01:19,104	| radiolab_podcast15maumau |	Posh Cottages in
EDL	00:01:19,104	00:01:20,896	| radiolab_podcast15maumau |	Little Pub
EDL	00:01:20,896	00:01:23,456	| radiolab_podcast15maumau |	Not from around here I'm looking for Antelope Park
EDL	00:01:23,456	00:01:27,040	| radiolab_podcast15maumau |	I mean it's your sort of typical you old a British
EDL	00:01:27,040	00:01:29,088	| radiolab_podcast15maumau |	Village
EDL	00:01:29,088	00:01:31,392	| radiolab_podcast15maumau |	Security lights
EDL	00:01:31,392	00:01:35,744	| radiolab_podcast15maumau |	Metaphor minute drive past that you'll the town you go to
EDL	00:01:35,744	00:01:42,144	| radiolab_podcast15maumau |	Fieldcrest Overhill and there it is
EDL	00:01:42,144	00:01:44,704	| radiolab_podcast15maumau |	This massive massive building surrounded by razor
EDL	00:01:46,752	00:01:48,032	| radiolab_podcast15maumau |	To the archives
EDL	00:01:49,056	00:01:55,456	| radiolab_podcast15maumau |	Are held in a purpose-built building from the 90s archives by the way from the largest Empire
EDL	00:01:55,456	00:01:56,224	| radiolab_podcast15maumau |	Evernote
EDL	00:01:56,224	00:01:58,528	| radiolab_podcast15maumau |	It's like if you were creating a movie set
EDL	00:01:58,528	00:01:59,296	| radiolab_podcast15maumau |	For like
EDL	00:01:59,296	00:02:00,832	| radiolab_podcast15maumau |	Secretive government compound where they
EDL	00:02:01,600	00:02:02,624	| radiolab_podcast15maumau |	Keep secret files
EDL	00:02:02,624	00:02:04,160	| radiolab_podcast15maumau |	You would literally just make this
EDL	00:02:05,952	00:02:06,720	| radiolab_podcast15maumau |	Jamie Parker
EDL	00:02:06,720	00:02:07,744	| radiolab_podcast15maumau |	Quarter mile away
EDL	00:02:07,744	00:02:08,768	| radiolab_podcast15maumau |	Walk up to the gate
EDL	00:02:09,280	00:02:09,792	| radiolab_podcast15maumau |	Big
EDL	00:02:10,816	00:02:11,584	| radiolab_podcast15maumau |	Electrified
EDL	00:02:12,352	00:02:13,120	| radiolab_podcast15maumau |	Through the gate
EDL	00:02:14,656	00:02:15,936	| radiolab_podcast15maumau |	Pasties traffic spikes
EDL	00:02:15,936	00:02:18,240	| radiolab_podcast15maumau |	Just as he barely stepped inside
EDL	00:02:18,240	00:02:19,520	| radiolab_podcast15maumau |	Are you going to call
EDL	00:02:21,312	00:02:23,104	| radiolab_podcast15maumau |	Call
EDL	00:02:24,384	00:02:25,920	| radiolab_podcast15maumau |	Activity
EDL	00:02:25,920	00:02:29,248	| radiolab_podcast15maumau |	I got grabbed them taken to a guard house
EDL	00:02:29,248	00:02:32,320	| radiolab_podcast15maumau |	It's a microphone
EDL	00:02:34,624	00:02:35,904	| radiolab_podcast15maumau |	And then
EDL	00:02:40,000	00:02:41,280	| radiolab_podcast15maumau |	They walk him
EDL	00:02:41,280	00:02:43,328	| radiolab_podcast15maumau |	Are you going to escort me all the way back to my car
EDL	00:02:43,328	00:02:45,632	| radiolab_podcast15maumau |	The entire quarter-mile back to his car
EDL	00:02:47,424	00:02:53,824	| radiolab_podcast15maumau |	Now we've heard it said that the files in that building if they were ever released could we write to
EDL	00:02:53,824	00:03:00,224	| radiolab_podcast15maumau |	200 years of history no idea if that's true we just don't know
EDL	00:03:00,224	00:03:06,368	| radiolab_podcast15maumau |	The one story that has so far away
EDL	00:03:11,488	00:03:12,768	| radiolab_podcast15maumau |	The refined kind of startling
EDL	00:03:13,792	00:03:16,096	| radiolab_podcast15maumau |	We shall see that there's some stuff coming up days
EDL	00:03:16,096	00:03:17,376	| radiolab_podcast15maumau |	Graphic and disturbing
EDL	00:03:17,888	00:03:19,168	| radiolab_podcast15maumau |	So if you're listening with kids
EDL	00:03:19,936	00:03:20,448	| radiolab_podcast15maumau |	You might want to see
EDL	00:03:22,240	00:03:24,032	| radiolab_podcast15maumau |	Although if you're not listening with kids don't skip it
EDL	00:03:25,312	00:03:25,824	| radiolab_podcast15maumau |	Okay
EDL	00:03:32,480	00:03:34,528	| radiolab_podcast15maumau |	Asturias of Kenya
EDL	00:03:35,040	00:03:41,184	| radiolab_podcast15maumau |	Kenya was always that scene is historian David Anderson and it kind of sepia-tinted hey
EDL	00:03:41,696	00:03:44,768	| radiolab_podcast15maumau |	Many years ago can wife end of Adventure
EDL	00:03:45,536	00:03:47,328	| radiolab_podcast15maumau |	Who found the country beautiful
EDL	00:03:47,328	00:03:49,888	| radiolab_podcast15maumau |	The climate kind of soil for tile
EDL	00:03:49,888	00:03:53,472	| radiolab_podcast15maumau |	Bougainvillea Sunshine smiling happy seven
EDL	00:03:53,472	00:03:57,056	| radiolab_podcast15maumau |	David says in the 1910s 20s 30s the British public
EDL	00:03:57,568	00:04:03,968	| radiolab_podcast15maumau |	Was obsessed with Ken yet books eventually television programs was one of the crown jewels of the Empire and so yeah
EDL	00:04:03,968	00:04:04,992	| radiolab_podcast15maumau |	You had all of these Brits
