EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast16playinggod |	Are you awake
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast16playinggod |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast16playinggod |	Radio WNYC
EDL	00:00:19,968	00:00:20,992	| radiolab_podcast16playinggod |	List of starting
EDL	00:00:20,992	00:00:23,296	| radiolab_podcast16playinggod |	Can you ready
EDL	00:00:23,296	00:00:27,136	| radiolab_podcast16playinggod |	Sheri Fink who works New York Times and is author of the book five days at Memorial
EDL	00:00:27,904	00:00:29,440	| radiolab_podcast16playinggod |	You can say it all began with
EDL	00:00:29,440	00:00:29,952	| radiolab_podcast16playinggod |	210
EDL	00:00:30,464	00:00:31,232	| radiolab_podcast16playinggod |	So this was back
EDL	00:00:32,256	00:00:38,656	| radiolab_podcast16playinggod |	1999
EDL	00:00:38,656	00:00:43,520	| radiolab_podcast16playinggod |	Us and other I think NATO allies were involved in a bombing campaign
EDL	00:00:44,032	00:00:50,432	| radiolab_podcast16playinggod |	In Serbia last gasps of war in the Forum
EDL	00:00:50,432	00:00:52,736	| radiolab_podcast16playinggod |	Yugoslavia you had Serbia attacking
EDL	00:00:52,736	00:00:54,528	| radiolab_podcast16playinggod |	Ethnic albanians in Kosovo
EDL	00:00:54,528	00:00:57,344	| radiolab_podcast16playinggod |	NATO was trying to protect them bombing Serbia
EDL	00:00:57,344	00:00:59,648	| radiolab_podcast16playinggod |	Which is creating a huge Exodus refugee
EDL	00:01:00,672	00:01:01,952	| radiolab_podcast16playinggod |	Now Sherry
EDL	00:01:01,952	00:01:03,488	| radiolab_podcast16playinggod |	At the time was not yet
EDL	00:01:03,488	00:01:04,512	| radiolab_podcast16playinggod |	Fully a reporter
EDL	00:01:04,512	00:01:05,024	| radiolab_podcast16playinggod |	She was
EDL	00:01:05,536	00:01:06,816	| radiolab_podcast16playinggod |	Fresh out of med school
EDL	00:01:06,816	00:01:09,120	| radiolab_podcast16playinggod |	Volunteering at a human rights organization
EDL	00:01:09,120	00:01:09,888	| radiolab_podcast16playinggod |	Working on a book
EDL	00:01:10,400	00:01:12,192	| radiolab_podcast16playinggod |	About a war Hospital in Bosnia
EDL	00:01:12,192	00:01:13,728	| radiolab_podcast16playinggod |	And said she knew the landscape
EDL	00:01:14,240	00:01:17,568	| radiolab_podcast16playinggod |	She was able to convince this organization to let her go to Macedonia
EDL	00:01:18,336	00:01:19,360	| radiolab_podcast16playinggod |	The document what was happening
EDL	00:01:20,384	00:01:21,920	| radiolab_podcast16playinggod |	The document potential War crime
EDL	00:01:22,432	00:01:26,784	| radiolab_podcast16playinggod |	So I remember I went to the border of Kosovo Macedonia and
EDL	00:01:27,808	00:01:28,832	| radiolab_podcast16playinggod |	100000
EDL	00:01:28,832	00:01:30,368	| radiolab_podcast16playinggod |	Refugees had shown up
EDL	00:01:33,696	00:01:34,464	| radiolab_podcast16playinggod |	They were
EDL	00:01:34,464	00:01:37,024	| radiolab_podcast16playinggod |	Trying to cross the border into Macedonia
EDL	00:01:37,024	00:01:39,328	| radiolab_podcast16playinggod |	But the Macedonian government had
EDL	00:01:39,328	00:01:42,144	| radiolab_podcast16playinggod |	Closed its border with Kosovo so people who were
EDL	00:01:42,144	00:01:43,424	| radiolab_podcast16playinggod |	Fling got trap
EDL	00:01:43,424	00:01:44,704	| radiolab_podcast16playinggod |	They got stuck in this
EDL	00:01:44,704	00:01:47,520	| radiolab_podcast16playinggod |	Muddy no man's land between the two borders
EDL	00:01:48,288	00:01:52,128	| radiolab_podcast16playinggod |	Said police in riot gear were basically in lining the Macedonian side
EDL	00:01:52,128	00:01:53,920	| radiolab_podcast16playinggod |	She had all of these people
EDL	00:01:54,432	00:01:56,736	| radiolab_podcast16playinggod |	Crammed into this muddy Channel
EDL	00:01:56,736	00:01:57,504	| radiolab_podcast16playinggod |	And
EDL	00:01:57,504	00:01:59,296	| radiolab_podcast16playinggod |	The Macedonian Red Cross
EDL	00:01:59,296	00:02:01,088	| radiolab_podcast16playinggod |	And this one charity
EDL	00:02:01,600	00:02:03,392	| radiolab_podcast16playinggod |	Had gotten permission to
EDL	00:02:03,392	00:02:03,904	| radiolab_podcast16playinggod |	Set up
EDL	00:02:04,416	00:02:06,720	| radiolab_podcast16playinggod |	Mix of medical station
EDL	00:02:06,720	00:02:08,000	| radiolab_podcast16playinggod |	In that border area
EDL	00:02:09,536	00:02:10,304	| radiolab_podcast16playinggod |	Between
EDL	00:02:10,304	00:02:11,584	| radiolab_podcast16playinggod |	These two countries
EDL	00:02:11,584	00:02:13,888	| radiolab_podcast16playinggod |	This is sort of grumpy Brown Medical.
EDL	00:02:14,656	00:02:15,936	| radiolab_podcast16playinggod |	Now Sherry was there
EDL	00:02:16,448	00:02:17,216	| radiolab_podcast16playinggod |	To conduct interview
EDL	00:02:17,728	00:02:19,008	| radiolab_podcast16playinggod |	Nothing to do with medicine
EDL	00:02:19,008	00:02:19,776	| radiolab_podcast16playinggod |	I was there
EDL	00:02:20,288	00:02:23,104	| radiolab_podcast16playinggod |	To collect information but when I got there
EDL	00:02:24,128	00:02:27,200	| radiolab_podcast16playinggod |	I literally remember walking up to this border
