EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast17funkyhandjive |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast17funkyhandjive |	Radio WNYC
EDL	00:00:19,200	00:00:20,224	| radiolab_podcast17funkyhandjive |	Can I tell you a story
EDL	00:00:20,736	00:00:27,136	| radiolab_podcast17funkyhandjive |	I don't have a choice do I have
EDL	00:00:27,136	00:00:30,208	| radiolab_podcast17funkyhandjive |	Jack Kennedy John F Kennedy was the president
EDL	00:00:30,208	00:00:31,232	| radiolab_podcast17funkyhandjive |	Penny Annie's
EDL	00:00:31,232	00:00:31,744	| radiolab_podcast17funkyhandjive |	Very good
EDL	00:00:32,256	00:00:38,656	| radiolab_podcast17funkyhandjive |	You really use on television was fun to watch and he would he would he would go to mass in my neighborhood in New York when you come
EDL	00:00:38,656	00:00:39,168	| radiolab_podcast17funkyhandjive |	Anthony York
EDL	00:00:39,680	00:00:40,192	| radiolab_podcast17funkyhandjive |	Kygo
EDL	00:00:40,960	00:00:47,360	| radiolab_podcast17funkyhandjive |	Do a particular Church all the time and just out of enthusiasm some of my friends and I would go and stand there and watch him just walk up the staff so you can
EDL	00:00:47,360	00:00:48,640	| radiolab_podcast17funkyhandjive |	Can you see the president
EDL	00:00:48,640	00:00:49,664	| radiolab_podcast17funkyhandjive |	Of the United States in
EDL	00:00:49,664	00:00:52,480	| radiolab_podcast17funkyhandjive |	Wife has multiple too many times yes
EDL	00:00:52,480	00:00:53,760	| radiolab_podcast17funkyhandjive |	Because he we were big fans
EDL	00:00:53,760	00:00:54,784	| radiolab_podcast17funkyhandjive |	And then
EDL	00:00:54,784	00:00:55,808	| radiolab_podcast17funkyhandjive |	One day
EDL	00:00:55,808	00:00:57,088	| radiolab_podcast17funkyhandjive |	We went to do that
EDL	00:00:57,088	00:01:00,928	| radiolab_podcast17funkyhandjive |	And I can't remember whether he's Zip by or zipped in but anyway we missed it
EDL	00:01:00,928	00:01:03,232	| radiolab_podcast17funkyhandjive |	I and my friend John.
EDL	00:01:03,232	00:01:08,352	| radiolab_podcast17funkyhandjive |	But he was a New York ID so he thought they would be interested he knew that the place where presently was damaged
EDL	00:01:08,352	00:01:09,888	| radiolab_podcast17funkyhandjive |	Famous hotel on Madison Avenue
EDL	00:01:10,400	00:01:13,472	| radiolab_podcast17funkyhandjive |	He came up with this crazy plan that he was going to ask for his aunt
EDL	00:01:13,472	00:01:16,032	| radiolab_podcast17funkyhandjive |	We walk in the lobby for the Secret Service wouldn't have to worry about us
EDL	00:01:17,056	00:01:18,080	| radiolab_podcast17funkyhandjive |	So we go to the hotel
EDL	00:01:18,080	00:01:20,128	| radiolab_podcast17funkyhandjive |	Cow he does the thing where in the law
EDL	00:01:20,128	00:01:20,896	| radiolab_podcast17funkyhandjive |	Bobby
EDL	00:01:20,896	00:01:24,224	| radiolab_podcast17funkyhandjive |	And then crazily the elevator door opens and there is
EDL	00:01:24,736	00:01:31,136	| radiolab_podcast17funkyhandjive |	President Kennedy steps out of the oven with Jackie well she's immediately grabbed by these reporters in there asking her something and he's
EDL	00:01:31,136	00:01:33,696	| radiolab_podcast17funkyhandjive |	Nothing to do so he's a politician he glances around
EDL	00:01:33,696	00:01:35,232	| radiolab_podcast17funkyhandjive |	And I am standing behind
EDL	00:01:35,744	00:01:36,768	| radiolab_podcast17funkyhandjive |	Potted plant
EDL	00:01:36,768	00:01:37,536	| radiolab_podcast17funkyhandjive |	Staring at him
EDL	00:01:38,304	00:01:42,400	| radiolab_podcast17funkyhandjive |	Anthony steps towards the bush and he reaches over the bridge of hello young man or something like that
EDL	00:01:42,400	00:01:48,800	| radiolab_podcast17funkyhandjive |	And I couldn't speak because there was so much phlegm coming flooding into my throat that I thought I might drown standing up but
EDL	00:01:48,800	00:01:49,824	| radiolab_podcast17funkyhandjive |	I took his hand
EDL	00:01:49,824	00:01:50,336	| radiolab_podcast17funkyhandjive |	And I shook
EDL	00:01:53,152	00:01:53,664	| radiolab_podcast17funkyhandjive |	And then
EDL	00:01:54,176	00:01:56,480	| radiolab_podcast17funkyhandjive |	He believed he went off to something else and I was just
EDL	00:01:56,480	00:01:57,248	| radiolab_podcast17funkyhandjive |	Staring at my hands
EDL	00:01:58,784	00:02:00,064	| radiolab_podcast17funkyhandjive |	Completed that day I said
EDL	00:02:00,064	00:02:00,576	| radiolab_podcast17funkyhandjive |	My sister
EDL	00:02:01,088	00:02:02,112	| radiolab_podcast17funkyhandjive |	I shook
EDL	00:02:02,112	00:02:03,648	| radiolab_podcast17funkyhandjive |	President Kennedy's hand
EDL	00:02:03,648	00:02:04,160	| radiolab_podcast17funkyhandjive |	And
EDL	00:02:04,672	00:02:06,208	| radiolab_podcast17funkyhandjive |	I guess I'm not going to wash it
EDL	00:02:06,208	00:02:07,232	| radiolab_podcast17funkyhandjive |	Like two days
EDL	00:02:07,744	00:02:08,512	| radiolab_podcast17funkyhandjive |	Two weeks maybe
EDL	00:02:09,024	00:02:10,048	| radiolab_podcast17funkyhandjive |	What did she say to you
EDL	00:02:10,048	00:02:11,840	| radiolab_podcast17funkyhandjive |	I don't remember what she said but
EDL	00:02:11,840	00:02:13,120	| radiolab_podcast17funkyhandjive |	But that's a funny
EDL	00:02:13,120	00:02:19,520	| radiolab_podcast17funkyhandjive |	Thing to say when 50 years later your science reporter
EDL	00:02:19,520	00:02:21,312	| radiolab_podcast17funkyhandjive |	Google
EDL	00:02:21,312	00:02:22,080	| radiolab_podcast17funkyhandjive |	Huh
EDL	00:02:22,848	00:02:24,896	| radiolab_podcast17funkyhandjive |	Because at the moment I thought
EDL	00:02:26,176	00:02:32,576	| radiolab_podcast17funkyhandjive |	Kennedy Honors Robert I didn't I didn't know that was true it was like a dream
EDL	00:02:32,576	00:02:34,112	| radiolab_podcast17funkyhandjive |	I think of celebrities I do
EDL	00:02:35,392	00:02:36,928	| radiolab_podcast17funkyhandjive |	But now
EDL	00:02:36,928	00:02:40,000	| radiolab_podcast17funkyhandjive |	It turns out we can examine the question
EDL	00:02:40,000	00:02:42,048	| radiolab_podcast17funkyhandjive |	Scientifically there's no science
EDL	00:02:42,816	00:02:43,584	| radiolab_podcast17funkyhandjive |	That can do that
EDL	00:02:44,608	00:02:45,632	| radiolab_podcast17funkyhandjive |	What do you mean
EDL	00:02:45,632	00:02:46,400	| radiolab_podcast17funkyhandjive |	Well
EDL	00:02:46,400	00:02:48,448	| radiolab_podcast17funkyhandjive |	First of all we all know this was covered with germs
EDL	00:02:49,472	00:02:52,544	| radiolab_podcast17funkyhandjive |	But what I did realize that there are
EDL	00:02:52,544	00:02:53,824	| radiolab_podcast17funkyhandjive |	Scientist who say
EDL	00:02:53,824	00:02:57,152	| radiolab_podcast17funkyhandjive |	The bacteria honest they claimed was almost like for life
EDL	00:02:57,152	00:02:58,944	| radiolab_podcast17funkyhandjive |	So you can be identified
EDL	00:02:58,944	00:03:00,736	| radiolab_podcast17funkyhandjive |	By your microbes
EDL	00:03:00,736	00:03:03,808	| radiolab_podcast17funkyhandjive |	And these are now making the Bold claim
EDL	00:03:03,808	00:03:09,184	| radiolab_podcast17funkyhandjive |	Did they can check those Mike up to solve crimes to detect diseases
EDL	00:03:09,184	00:03:13,536	| radiolab_podcast17funkyhandjive |	Do Public Health kind of things
EDL	00:03:13,536	00:03:15,328	| radiolab_podcast17funkyhandjive |	Put them to the test
EDL	00:03:15,328	00:03:16,864	| radiolab_podcast17funkyhandjive |	Serious
EDL	00:03:18,656	00:03:20,960	| radiolab_podcast17funkyhandjive |	I know after this small little up
EDL	00:03:20,960	00:03:22,240	| radiolab_podcast17funkyhandjive |	Personal history
EDL	00:03:23,008	00:03:28,384	| radiolab_podcast17funkyhandjive |	So I decided to to reproduce the John F Kennedy Robert krulwich handshake
EDL	00:03:32,992	00:03:39,392	| radiolab_podcast17funkyhandjive |	We could have I could find somebody who would be President Kennedy who would shake my hand and we would measure
EDL	00:03:39,392	00:03:40,672	| radiolab_podcast17funkyhandjive |	In calculating C
EDL	00:03:41,184	00:03:45,536	| radiolab_podcast17funkyhandjive |	So I got a team of producers on a WNYC show only human
EDL	00:03:45,536	00:03:47,840	| radiolab_podcast17funkyhandjive |	To help me doing this and we found
EDL	00:03:47,840	00:03:51,168	| radiolab_podcast17funkyhandjive |	A scientist
EDL	00:03:51,168	00:03:55,264	| radiolab_podcast17funkyhandjive |	Is director of the microbiome Center the University of
EDL	00:03:55,264	00:03:55,776	| radiolab_podcast17funkyhandjive |	Taco
EDL	00:03:56,288	00:04:00,384	| radiolab_podcast17funkyhandjive |	I don't have President Kennedy around anymore so I got myself you going to be president
EDL	00:04:01,664	00:04:03,200	| radiolab_podcast17funkyhandjive |	Substitute President Kennedy
EDL	00:04:03,200	00:04:05,760	| radiolab_podcast17funkyhandjive |	Can you do JFK by Nation
EDL	00:04:06,272	00:04:08,576	| radiolab_podcast17funkyhandjive |	Good for the man on the moon
EDL	00:04:08,576	00:04:10,624	| radiolab_podcast17funkyhandjive |	SafeLink
EDL	00:04:10,624	00:04:17,024	| radiolab_podcast17funkyhandjive |	This is Neil deGrasse Tyson director of the Hayden planetarium with the American Museum of Natural History here in New York
EDL	00:04:17,024	00:04:19,327	| radiolab_podcast17funkyhandjive |	You ever been have you ever had your hand shaking by a person who you
EDL	00:04:19,839	00:04:21,119	| radiolab_podcast17funkyhandjive |	Let that you feel
EDL	00:04:21,119	00:04:22,655	| radiolab_podcast17funkyhandjive |	Like you'd like to have his or her
EDL	00:04:23,679	00:04:24,703	| radiolab_podcast17funkyhandjive |	Steps to stain
EDL	00:04:24,703	00:04:26,495	| radiolab_podcast17funkyhandjive |	Yeah I'm not that
EDL	00:04:27,519	00:04:33,151	| radiolab_podcast17funkyhandjive |	Weird or creepy
EDL	00:04:33,663	00:04:37,759	| radiolab_podcast17funkyhandjive |	I just want to know if you got Carl Sagan
EDL	00:04:37,759	00:04:39,807	| radiolab_podcast17funkyhandjive |	Underwear would you keep called phagans underwear
EDL	00:04:41,087	00:04:42,879	| radiolab_podcast17funkyhandjive |	No
EDL	00:04:43,903	00:04:44,927	| radiolab_podcast17funkyhandjive |	But I have
EDL	00:04:44,927	00:04:46,207	| radiolab_podcast17funkyhandjive |	I have come to
EDL	00:04:46,975	00:04:48,255	| radiolab_podcast17funkyhandjive |	Love and embrace
EDL	00:04:48,255	00:04:50,047	| radiolab_podcast17funkyhandjive |	All bacteria that want a part of my body
EDL	00:04:50,559	00:04:52,607	| radiolab_podcast17funkyhandjive |	You are you are awesome
EDL	00:04:52,607	00:04:53,887	| radiolab_podcast17funkyhandjive |	Am I your man for this
EDL	00:05:02,335	00:05:05,663	| radiolab_podcast17funkyhandjive |	Pick up food that fell on the floor and need me to
EDL	00:05:05,663	00:05:06,943	| radiolab_podcast17funkyhandjive |	I don't even wait five seconds
EDL	00:05:14,367	00:05:16,415	| radiolab_podcast17funkyhandjive |	No one exactly knows the answer was
EDL	00:05:17,183	00:05:19,743	| radiolab_podcast17funkyhandjive |	But if a person shakes another person's hand
EDL	00:05:19,743	00:05:21,279	| radiolab_podcast17funkyhandjive |	N4a ordinary injury
EDL	00:05:22,303	00:05:23,839	| radiolab_podcast17funkyhandjive |	Then the question is
EDL	00:05:23,839	00:05:25,375	| radiolab_podcast17funkyhandjive |	How much a person a
EDL	00:05:25,375	00:05:27,935	| radiolab_podcast17funkyhandjive |	Lands on person be and how much a person
EDL	00:05:27,935	00:05:29,727	| radiolab_podcast17funkyhandjive |	Can a stays on person be
EDL	00:05:29,727	00:05:31,519	| radiolab_podcast17funkyhandjive |	But most crucially for how long
EDL	00:05:32,031	00:05:32,543	| radiolab_podcast17funkyhandjive |	Presumably
EDL	00:05:33,311	00:05:33,823	| radiolab_podcast17funkyhandjive |	Exchange
EDL	00:05:34,335	00:05:35,871	| radiolab_podcast17funkyhandjive |	Yes so we're nicking off
EDL	00:05:35,871	00:05:38,175	| radiolab_podcast17funkyhandjive |	You Dragonborn or Miss hands on that I'm looking
