EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast18infectiveheredity |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast18infectiveheredity |	Radio WNYC
EDL	00:00:19,200	00:00:23,040	| radiolab_podcast18infectiveheredity |	That incredibly talented young boy was soon a talented young man
EDL	00:00:23,040	00:00:25,344	| radiolab_podcast18infectiveheredity |	Opposing symphonies cocello
EDL	00:00:25,344	00:00:26,112	| radiolab_podcast18infectiveheredity |	Hello
EDL	00:00:26,112	00:00:32,512	| radiolab_podcast18infectiveheredity |	Robert hi mist of classical music
EDL	00:00:32,512	00:00:35,840	| radiolab_podcast18infectiveheredity |	Play the public radio interrupted by
EDL	00:00:35,840	00:00:42,240	| radiolab_podcast18infectiveheredity |	Science journalist and author David, are we all here now now we're all here and you are Jennifer
EDL	00:00:42,240	00:00:43,008	| radiolab_podcast18infectiveheredity |	Radiolab
EDL	00:00:43,008	00:00:46,848	| radiolab_podcast18infectiveheredity |	Actually what happened here so I called David because he has just published a book
EDL	00:00:47,360	00:00:48,128	| radiolab_podcast18infectiveheredity |	Which
EDL	00:00:48,128	00:00:52,224	| radiolab_podcast18infectiveheredity |	Contains an idea that I found so surprised I had not
EDL	00:00:52,224	00:00:52,736	| radiolab_podcast18infectiveheredity |	No no
EDL	00:00:53,760	00:00:55,296	| radiolab_podcast18infectiveheredity |	It's kind of a
EDL	00:00:55,296	00:00:57,088	| radiolab_podcast18infectiveheredity |	Smack in the face
EDL	00:00:57,088	00:00:59,392	| radiolab_podcast18infectiveheredity |	To Charles Darwin's theory of evolution
EDL	00:00:59,904	00:01:03,488	| radiolab_podcast18infectiveheredity |	Yes there have been a number of excellent at Google that have been
EDL	00:01:03,488	00:01:04,768	| radiolab_podcast18infectiveheredity |	Added to Darwin
EDL	00:01:04,768	00:01:06,304	| radiolab_podcast18infectiveheredity |	Theory over the last
EDL	00:01:06,304	00:01:06,816	| radiolab_podcast18infectiveheredity |	100
EDL	00:01:07,328	00:01:09,376	| radiolab_podcast18infectiveheredity |	50 years or so since he published it but
EDL	00:01:09,888	00:01:12,960	| radiolab_podcast18infectiveheredity |	This is this is more than that this is a big freaking asterisk
EDL	00:01:13,472	00:01:17,568	| radiolab_podcast18infectiveheredity |	And that means David told me a story
EDL	00:01:17,568	00:01:18,336	| radiolab_podcast18infectiveheredity |	About a moth
EDL	00:01:21,408	00:01:23,968	| radiolab_podcast18infectiveheredity |	Yes the peppered moth
EDL	00:01:23,968	00:01:26,016	| radiolab_podcast18infectiveheredity |	It lives in forest
EDL	00:01:26,016	00:01:30,368	| radiolab_podcast18infectiveheredity |	SubCentral England among other places in during the 19th century
EDL	00:01:30,368	00:01:33,952	| radiolab_podcast18infectiveheredity |	This moth was white with little flecks of black on it
EDL	00:01:33,952	00:01:35,488	| radiolab_podcast18infectiveheredity |	And please moths
EDL	00:01:35,488	00:01:38,048	| radiolab_podcast18infectiveheredity |	Sometimes rooster on the trunks of trees
EDL	00:01:38,560	00:01:42,144	| radiolab_podcast18infectiveheredity |	In the trunks of trees surrounding Manchester England restorative light color
EDL	00:01:43,680	00:01:46,240	| radiolab_podcast18infectiveheredity |	Roosted on the trees they were pretty well camouflage
EDL	00:01:46,752	00:01:47,520	| radiolab_podcast18infectiveheredity |	Alight
EDL	00:01:47,520	00:01:50,848	| radiolab_podcast18infectiveheredity |	Slightly peppered moth on a light slightly pepper tree trunk
EDL	00:01:51,872	00:01:52,896	| radiolab_podcast18infectiveheredity |	So they were protected against
EDL	00:01:53,408	00:01:54,432	| radiolab_podcast18infectiveheredity |	Predation by birds
EDL	00:01:55,200	00:01:55,968	| radiolab_podcast18infectiveheredity |	And then
EDL	00:01:58,016	00:01:58,784	| radiolab_podcast18infectiveheredity |	The tree trunk
EDL	00:01:58,784	00:02:00,576	| radiolab_podcast18infectiveheredity |	Changed why do the tree trunks chain
EDL	00:02:02,624	00:02:04,928	| radiolab_podcast18infectiveheredity |	Because of the Industrial Revolution
EDL	00:02:05,440	00:02:06,464	| radiolab_podcast18infectiveheredity |	Because of smoke stacks
EDL	00:02:06,976	00:02:08,000	| radiolab_podcast18infectiveheredity |	Of Manchester
EDL	00:02:08,512	00:02:10,048	| radiolab_podcast18infectiveheredity |	Returning out a lot of
EDL	00:02:10,048	00:02:13,888	| radiolab_podcast18infectiveheredity |	Cool smoke they were burning cold for all their industrial processes
EDL	00:02:13,888	00:02:15,424	| radiolab_podcast18infectiveheredity |	And there was a
EDL	00:02:15,424	00:02:21,568	| radiolab_podcast18infectiveheredity |	Good coaster that coming out and it was blanketing the trees in the nearby Forest so the tree trunk
EDL	00:02:22,080	00:02:22,592	| radiolab_podcast18infectiveheredity |	Turn
EDL	00:02:23,616	00:02:24,128	| radiolab_podcast18infectiveheredity |	Black
EDL	00:02:25,664	00:02:26,688	| radiolab_podcast18infectiveheredity |	And
EDL	00:02:26,688	00:02:27,712	| radiolab_podcast18infectiveheredity |	The mall
