EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:03,328	| radiolab_podcast18unerasedsmid4 |	Are you weightless
EDL	00:00:10,752	00:00:15,872	| radiolab_podcast18unerasedsmid4 |	Radio WNYC
EDL	00:00:19,456	00:00:20,224	| radiolab_podcast18unerasedsmid4 |	Okay
EDL	00:00:20,736	00:00:21,248	| radiolab_podcast18unerasedsmid4 |	Either
EDL	00:00:24,064	00:00:24,576	| radiolab_podcast18unerasedsmid4 |	Bobert
EDL	00:00:25,088	00:00:26,624	| radiolab_podcast18unerasedsmid4 |	Hello okay there you are
EDL	00:00:27,136	00:00:33,536	| radiolab_podcast18unerasedsmid4 |	I'm jabbing Rod I'm rubber Coches is Radiolab yes sir and so okay we're going to continue with one more episode
EDL	00:00:33,536	00:00:35,584	| radiolab_podcast18unerasedsmid4 |	Load from from the series on race
EDL	00:00:35,584	00:00:37,120	| radiolab_podcast18unerasedsmid4 |	What you did for somebody else
EDL	00:00:37,120	00:00:41,728	| radiolab_podcast18unerasedsmid4 |	I was kind of for somebody else but also for us at the same time
EDL	00:00:41,728	00:00:44,032	| radiolab_podcast18unerasedsmid4 |	It always kind of squishy
EDL	00:00:44,032	00:00:44,800	| radiolab_podcast18unerasedsmid4 |	To be honest
EDL	00:00:44,800	00:00:51,200	| radiolab_podcast18unerasedsmid4 |	I've produced a four-part series along with Focus Features Stitcher eliminate house that was
EDL	00:00:51,200	00:00:54,016	| radiolab_podcast18unerasedsmid4 |	About the history of conversion therapy in America
EDL	00:00:54,016	00:01:00,416	| radiolab_podcast18unerasedsmid4 |	That's people who are gay who are being pushed to our ass to I want to be straight yes and sometimes it's a therapy
EDL	00:01:00,416	00:01:03,744	| radiolab_podcast18unerasedsmid4 |	Type situation sciency sometimes it's a church type situation
EDL	00:01:03,744	00:01:05,792	| radiolab_podcast18unerasedsmid4 |	Here's a few the funny thing Robert
EDL	00:01:06,304	00:01:07,328	| radiolab_podcast18unerasedsmid4 |	You would think it's kind of
EDL	00:01:08,352	00:01:10,656	| radiolab_podcast18unerasedsmid4 |	You think it doesn't happen a lot right
EDL	00:01:11,424	00:01:13,728	| radiolab_podcast18unerasedsmid4 |	These days I would think certainly less
EDL	00:01:13,728	00:01:14,752	| radiolab_podcast18unerasedsmid4 |	Certainly less than
EDL	00:01:14,752	00:01:15,776	| radiolab_podcast18unerasedsmid4 |	Before well
EDL	00:01:15,776	00:01:17,824	| radiolab_podcast18unerasedsmid4 |	There was a survey done recently
EDL	00:01:17,824	00:01:18,592	| radiolab_podcast18unerasedsmid4 |	Bye
EDL	00:01:18,592	00:01:24,224	| radiolab_podcast18unerasedsmid4 |	Buy a group of UCLA at the Williams Institute in conjunction with Gallup Gallup polling
EDL	00:01:24,224	00:01:26,016	| radiolab_podcast18unerasedsmid4 |	They did a survey that looked at
EDL	00:01:26,528	00:01:29,344	| radiolab_podcast18unerasedsmid4 |	Of the people in America who identify as LGBT
EDL	00:01:29,344	00:01:30,368	| radiolab_podcast18unerasedsmid4 |	Kill which is about
EDL	00:01:30,368	00:01:32,160	| radiolab_podcast18unerasedsmid4 |	4.5% broccoli
EDL	00:01:32,160	00:01:33,440	| radiolab_podcast18unerasedsmid4 |	13 million people
EDL	00:01:33,440	00:01:36,768	| radiolab_podcast18unerasedsmid4 |	How many of those people have gone through something like conversion therapy
EDL	00:01:37,536	00:01:38,304	| radiolab_podcast18unerasedsmid4 |	And the number
EDL	00:01:39,328	00:01:40,608	| radiolab_podcast18unerasedsmid4 |	Completely shocking
EDL	00:01:42,656	00:01:44,704	| radiolab_podcast18unerasedsmid4 |	Shockingly small so I can
EDL	00:01:44,704	00:01:47,264	| radiolab_podcast18unerasedsmid4 |	Well, almost 700,000 people
EDL	00:01:47,776	00:01:52,384	| radiolab_podcast18unerasedsmid4 |	In the 1970's and 80's in Swan or also recently
EDL	00:01:52,384	00:01:55,456	| radiolab_podcast18unerasedsmid4 |	Recently this is a survey is done in 2012
EDL	00:01:55,456	00:01:56,736	| radiolab_podcast18unerasedsmid4 |	Actually give you a sense of scale
EDL	00:01:57,504	00:01:58,272	| radiolab_podcast18unerasedsmid4 |	Okay
EDL	00:01:58,272	00:01:59,296	| radiolab_podcast18unerasedsmid4 |	700000 people
EDL	00:02:00,320	00:02:01,088	| radiolab_podcast18unerasedsmid4 |	That is the
EDL	00:02:01,600	00:02:02,880	| radiolab_podcast18unerasedsmid4 |	Equivalent of the city of Boston
EDL	00:02:04,160	00:02:08,000	| radiolab_podcast18unerasedsmid4 |	That's the number of people were talking about that's a lot of freaking adorable
EDL	00:02:08,512	00:02:09,792	| radiolab_podcast18unerasedsmid4 |	No to your question
EDL	00:02:10,816	00:02:13,376	| radiolab_podcast18unerasedsmid4 |	You would think it would be mostly older folks yes
EDL	00:02:14,144	00:02:15,680	| radiolab_podcast18unerasedsmid4 |	From the days when it was
EDL	00:02:15,680	00:02:20,800	| radiolab_podcast18unerasedsmid4 |	An Abomination and dial no longer really for many family it was actually
EDL	00:02:21,824	00:02:24,640	| radiolab_podcast18unerasedsmid4 |	Equally prevalent in all age groups in the survey found that
EDL	00:02:25,152	00:02:26,432	| radiolab_podcast18unerasedsmid4 |	Just as many young people
EDL	00:02:27,456	00:02:28,224	| radiolab_podcast18unerasedsmid4 |	Champions
EDL	00:02:28,736	00:02:31,296	| radiolab_podcast18unerasedsmid4 |	We're being put through these kind of programs
EDL	00:02:32,064	00:02:34,624	| radiolab_podcast18unerasedsmid4 |	As people of older Generations
