EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,304	00:00:05,632	| radiolab_podcast18unravelingbolero |	Hi I'm Robert krulwich Radiolab is supported by Audible
EDL	00:00:05,632	00:00:09,728	| radiolab_podcast18unravelingbolero |	As we explore this story of obsession creativity and symmetry
EDL	00:00:09,728	00:00:15,872	| radiolab_podcast18unravelingbolero |	Check out this is your brain on music both a cutting-edge study and a tribute to the beauty of music
EDL	00:00:15,872	00:00:18,688	| radiolab_podcast18unravelingbolero |	Go to audible.com radio or text
EDL	00:00:18,688	00:00:24,320	| radiolab_podcast18unravelingbolero |	Radiolab to 500 500 for a free 30-day trial and a free
EDL	00:00:24,320	00:00:24,832	| radiolab_podcast18unravelingbolero |	Audiobook
EDL	00:00:27,136	00:00:30,976	| radiolab_podcast18unravelingbolero |	Hi I'm Robert krulwich Radiolab is supported by Casper
EDL	00:00:30,976	00:00:37,376	| radiolab_podcast18unravelingbolero |	As we continue this episode on creativity and symmetry check out the Casper or the wave mattress
EDL	00:00:37,376	00:00:38,400	| radiolab_podcast18unravelingbolero |	Support system
EDL	00:00:38,400	00:00:44,544	| radiolab_podcast18unravelingbolero |	That mirrors your body shape to get $50 towards select mattresses by visiting casper.com Radiolab
EDL	00:00:44,544	00:00:46,848	| radiolab_podcast18unravelingbolero |	How do using Code Radiolab at checkout
EDL	00:00:46,848	00:00:48,128	| radiolab_podcast18unravelingbolero |	Terms and conditions apply
EDL	00:00:50,176	00:00:51,200	| radiolab_podcast18unravelingbolero |	This is Dad
EDL	00:00:51,200	00:00:54,016	| radiolab_podcast18unravelingbolero |	Before we start I would like to let you know about a new podcast
EDL	00:00:54,528	00:00:57,088	| radiolab_podcast18unravelingbolero |	Is out there in the world that is aimed at
EDL	00:00:58,112	00:00:58,880	| radiolab_podcast18unravelingbolero |	Drum roll please
EDL	00:01:00,416	00:01:02,464	| radiolab_podcast18unravelingbolero |	Kids
EDL	00:01:02,464	00:01:07,584	| radiolab_podcast18unravelingbolero |	MSM protocol excited about this cuz my kids just discovered podcasting it's the things we can do together
EDL	00:01:07,584	00:01:10,656	| radiolab_podcast18unravelingbolero |	This particular one just called this podcast has fleas
EDL	00:01:11,168	00:01:13,216	| radiolab_podcast18unravelingbolero |	Tells the story of a dog
EDL	00:01:13,728	00:01:14,496	| radiolab_podcast18unravelingbolero |	In a cat
EDL	00:01:15,264	00:01:18,592	| radiolab_podcast18unravelingbolero |	Who live in the same house and have competing podcast
EDL	00:01:18,592	00:01:24,992	| radiolab_podcast18unravelingbolero |	Hi everybody I'm waffles this is a dog talk a podcast by a dog we both are podcast
EDL	00:01:24,992	00:01:25,760	| radiolab_podcast18unravelingbolero |	Everybody else podcast
EDL	00:01:25,760	00:01:27,808	| radiolab_podcast18unravelingbolero |	These days why would Patsy different
EDL	00:01:27,808	00:01:28,832	| radiolab_podcast18unravelingbolero |	Lili Ortiz
EDL	00:01:28,832	00:01:31,392	| radiolab_podcast18unravelingbolero |	A small soups all of what you can expect from the series
EDL	00:01:32,160	00:01:37,536	| radiolab_podcast18unravelingbolero |	This is my weapon waffles the dog walks into the mud room discovers that
EDL	00:01:38,048	00:01:39,072	| radiolab_podcast18unravelingbolero |	She is not
EDL	00:01:39,072	00:01:40,608	| radiolab_podcast18unravelingbolero |	The only pet in the house
EDL	00:01:40,608	00:01:41,376	| radiolab_podcast18unravelingbolero |	Podcast
EDL	00:01:41,376	00:01:47,776	| radiolab_podcast18unravelingbolero |	The cat is sitting in his litter box
EDL	00:01:47,776	00:01:52,384	| radiolab_podcast18unravelingbolero |	Big electronic beanie with a lot but podcast
EDL	00:01:53,920	00:01:54,432	| radiolab_podcast18unravelingbolero |	I don't care
EDL	00:02:02,368	00:02:02,880	| radiolab_podcast18unravelingbolero |	Schlitterbahn
EDL	00:02:03,392	00:02:04,160	| radiolab_podcast18unravelingbolero |	Cat lovers
EDL	00:02:04,160	00:02:09,024	| radiolab_podcast18unravelingbolero |	This is laughing a little box name Jones the cat
EDL	00:02:09,024	00:02:15,424	| radiolab_podcast18unravelingbolero |	Downloading my hip new single featuring in last week
EDL	00:02:15,424	00:02:16,192	| radiolab_podcast18unravelingbolero |	Episode
EDL	00:02:16,192	00:02:22,336	| radiolab_podcast18unravelingbolero |	Let's hear a little bit of it now
EDL	00:02:28,736	00:02:35,136	| radiolab_podcast18unravelingbolero |	Who invented the napkin who sometimes has on his toes
EDL	00:02:35,136	00:02:35,648	| radiolab_podcast18unravelingbolero |	Jay Pharoah
EDL	00:02:36,160	00:02:38,208	| radiolab_podcast18unravelingbolero |	Saturday Night Live Alum played The Cat
EDL	00:02:38,208	00:02:40,256	| radiolab_podcast18unravelingbolero |	Emilylynne Place dog
EDL	00:02:40,256	00:02:41,792	| radiolab_podcast18unravelingbolero |	Baldwin plays a goldfish
EDL	00:02:41,792	00:02:48,192	| radiolab_podcast18unravelingbolero |	If you have kids if you don't check it out it's called this podcast has fleas from WNYC Studios
EDL	00:02:48,192	00:02:54,592	| radiolab_podcast18unravelingbolero |	Whenever you get your podcast you're pretty good at that Daddy and I just love your show
EDL	00:02:54,592	00:02:56,896	| radiolab_podcast18unravelingbolero |	It's an inspiration you show your not a cat
EDL	00:02:57,920	00:02:58,432	| radiolab_podcast18unravelingbolero |	Yeah
EDL	00:03:00,224	00:03:01,760	| radiolab_podcast18unravelingbolero |	Are you awake
EDL	00:03:09,696	00:03:14,048	| radiolab_podcast18unravelingbolero |	Radio WNYC
EDL	00:03:17,888	00:03:20,960	| radiolab_podcast18unravelingbolero |	Anjana barad I'm Robert Goulet Radiolab
EDL	00:03:20,960	00:03:22,240	| radiolab_podcast18unravelingbolero |	So okay so this one
EDL	00:03:23,520	00:03:28,896	| radiolab_podcast18unravelingbolero |	This one I think you weren't around for the first time I wasn't I was going for Blackberry that I listened after
EDL	00:03:28,896	00:03:29,920	| radiolab_podcast18unravelingbolero |	Which you had listened
EDL	00:03:29,920	00:03:30,432	| radiolab_podcast18unravelingbolero |	I hate liars
EDL	00:03:31,456	00:03:32,480	| radiolab_podcast18unravelingbolero |	I hate that something then
EDL	00:03:33,248	00:03:34,272	| radiolab_podcast18unravelingbolero |	As is often the case
EDL	00:03:36,064	00:03:37,600	| radiolab_podcast18unravelingbolero |	Reluctantly became Eli course
EDL	00:03:38,112	00:03:44,000	| radiolab_podcast18unravelingbolero |	This one is a its
EDL	00:03:44,000	00:03:46,304	| radiolab_podcast18unravelingbolero |	You know me then I'm a music nerd
EDL	00:03:46,816	00:03:47,840	| radiolab_podcast18unravelingbolero |	Right you are
EDL	00:03:47,840	00:03:49,120	| radiolab_podcast18unravelingbolero |	This is story about
EDL	00:03:49,632	00:03:50,400	| radiolab_podcast18unravelingbolero |	The weirdest
EDL	00:03:50,400	00:03:51,936	| radiolab_podcast18unravelingbolero |	Creativity in a piece of music
EDL	00:03:51,936	00:03:53,472	| radiolab_podcast18unravelingbolero |	Did Frankie add study in school
EDL	00:03:53,984	00:03:54,752	| radiolab_podcast18unravelingbolero |	But which
EDL	00:03:55,264	00:03:56,032	| radiolab_podcast18unravelingbolero |	Unites
EDL	00:03:56,032	00:03:58,848	| radiolab_podcast18unravelingbolero |	Two people across space and time in a really bizarre way
EDL	00:04:00,896	00:04:01,920	| radiolab_podcast18unravelingbolero |	Kind of rhyme
EDL	00:04:05,504	00:04:10,368	| radiolab_podcast18unravelingbolero |	First Story begins in the 1980s in Vancouver British Columbia with a woman named and Adams
EDL	00:04:10,880	00:04:13,696	| radiolab_podcast18unravelingbolero |	Who by all accounts was a brilliant cell biology
EDL	00:04:13,696	00:04:16,512	| radiolab_podcast18unravelingbolero |	Oh yes and was highly articulate
EDL	00:04:16,512	00:04:20,863	| radiolab_podcast18unravelingbolero |	That's her husband Robert Adams you know extremely capable with language
EDL	00:04:20,863	00:04:24,447	| radiolab_podcast18unravelingbolero |	She did cancer research he actually develop the cell line
EDL	00:04:24,959	00:04:26,495	| radiolab_podcast18unravelingbolero |	That I believe still exist
EDL	00:04:27,007	00:04:28,543	| radiolab_podcast18unravelingbolero |	So she was very sharp
EDL	00:04:29,055	00:04:32,127	| radiolab_podcast18unravelingbolero |	He says that as a scientist she was a natural but then
EDL	00:04:32,639	00:04:34,431	| radiolab_podcast18unravelingbolero |	Rather Suddenly at the age of 46
EDL	00:04:35,967	00:04:37,759	| radiolab_podcast18unravelingbolero |	And kind of did a 180
EDL	00:04:37,759	00:04:41,599	| radiolab_podcast18unravelingbolero |	Something happened in 86 which change the course of her life
EDL	00:04:41,599	00:04:45,439	| radiolab_podcast18unravelingbolero |	It all started when their third son Alex gets into a really bad car accident
EDL	00:04:45,439	00:04:49,535	| radiolab_podcast18unravelingbolero |	We were told that he would probably never ever walk again
EDL	00:04:49,535	00:04:53,887	| radiolab_podcast18unravelingbolero |	And decided she's going to take some time off to help him recover and he does he does learn to walk again
EDL	00:04:54,399	00:04:55,423	| radiolab_podcast18unravelingbolero |	The wild home
EDL	00:04:55,935	00:04:56,959	| radiolab_podcast18unravelingbolero |	She just decides to quit
EDL	00:04:57,983	00:04:58,751	| radiolab_podcast18unravelingbolero |	Quit science
EDL	00:04:59,519	00:05:01,055	| radiolab_podcast18unravelingbolero |	And become a painter
EDL	00:05:01,055	00:05:01,823	| radiolab_podcast18unravelingbolero |	Dan
EDL	00:05:01,823	00:05:03,871	| radiolab_podcast18unravelingbolero |	Made up her mind then and there
EDL	00:05:03,871	00:05:04,895	| radiolab_podcast18unravelingbolero |	That she was going to
EDL	00:05:04,895	00:05:05,919	| radiolab_podcast18unravelingbolero |	Take apart
EDL	00:05:05,919	00:05:06,687	| radiolab_podcast18unravelingbolero |	Full-time
EDL	00:05:06,687	00:05:12,063	| radiolab_podcast18unravelingbolero |	Had she ever painted for well she did a fair amount of it when she was in high school
EDL	00:05:12,575	00:05:18,975	| radiolab_podcast18unravelingbolero |	Which is a very long time ago so the whole thing struck him is kind of out of the blue but he rolled with it and
EDL	00:05:18,975	00:05:22,559	| radiolab_podcast18unravelingbolero |	Within a short. Of time she converted a room in their house into a studio and she
EDL	00:05:22,559	00:05:23,839	| radiolab_podcast18unravelingbolero |	Painting houses
EDL	00:05:23,839	00:05:25,119	| radiolab_podcast18unravelingbolero |	And buildings
EDL	00:05:25,119	00:05:25,887	| radiolab_podcast18unravelingbolero |	Little churches
EDL	00:05:26,399	00:05:32,799	| radiolab_podcast18unravelingbolero |	Simple at first but after that brightly colored versions of what you see when you look down the barrel
EDL	00:05:32,799	00:05:36,639	| radiolab_podcast18unravelingbolero |	A microscope Neo cells bacteria after that strawberries
EDL	00:05:37,151	00:05:41,503	| radiolab_podcast18unravelingbolero |	A series of paintings involving these Blazing Red strawberries
EDL	00:05:41,503	00:05:42,527	| radiolab_podcast18unravelingbolero |	A water faucet
EDL	00:05:43,039	00:05:46,111	| radiolab_podcast18unravelingbolero |	A note of what would becoming a stream of strawberries
EDL	00:05:46,111	00:05:52,511	| radiolab_podcast18unravelingbolero |	Play there was things called strawberry Universe where the strawberries have rings around them like Saturn and I don't
EDL	00:05:52,511	00:05:55,071	| radiolab_podcast18unravelingbolero |	I think there was something like 35 or 36
EDL	00:05:55,583	00:05:56,351	| radiolab_podcast18unravelingbolero |	Strawberry painting
EDL	00:05:56,863	00:06:03,263	| radiolab_podcast18unravelingbolero |	But then she would switch to something else even after their son had fully recovered even through Waze crutches
EDL	00:06:03,263	00:06:04,287	| radiolab_podcast18unravelingbolero |	Went back to school
EDL	00:06:04,287	00:06:06,847	| radiolab_podcast18unravelingbolero |	And kept on painting and she would work
EDL	00:06:06,847	00:06:07,871	| radiolab_podcast18unravelingbolero |	All day long
EDL	00:06:07,871	00:06:13,503	| radiolab_podcast18unravelingbolero |	10 hours a day making these paintings that got bigger and bigger and more abstract and there were times he says
EDL	00:06:13,503	00:06:14,271	| radiolab_podcast18unravelingbolero |	When he was like
EDL	00:06:14,271	00:06:16,063	| radiolab_podcast18unravelingbolero |	Wow
EDL	00:06:16,575	00:06:18,879	| radiolab_podcast18unravelingbolero |	Because for someone who hadn't painted since high school
EDL	00:06:18,879	00:06:21,439	| radiolab_podcast18unravelingbolero |	She was suddenly so prolific
EDL	00:06:25,023	00:06:27,839	| radiolab_podcast18unravelingbolero |	And it's entirely possible
EDL	00:06:27,839	00:06:30,399	| radiolab_podcast18unravelingbolero |	There's something was happening to her even then
EDL	00:06:30,399	00:06:34,751	| radiolab_podcast18unravelingbolero |	Way below the surface I mean on the surface she was painting it was working
EDL	00:06:34,751	00:06:39,103	| radiolab_podcast18unravelingbolero |	People buying the painting she's having solo shows she was becoming a successful artist
EDL	00:06:40,127	00:06:41,919	| radiolab_podcast18unravelingbolero |	Then in 1994
EDL	00:06:41,919	00:06:45,247	| radiolab_podcast18unravelingbolero |	She decided I don't know what gave her this idea
EDL	00:06:45,247	00:06:47,295	| radiolab_podcast18unravelingbolero |	I never knew what gave her any of her ideas
EDL	00:06:47,807	00:06:51,135	| radiolab_podcast18unravelingbolero |	But time she decided she was going to do a painting
EDL	00:06:51,903	00:06:52,415	| radiolab_podcast18unravelingbolero |	Well
EDL	00:06:52,927	00:06:53,439	| radiolab_podcast18unravelingbolero |	Best
EDL	00:06:57,535	00:06:58,303	| radiolab_podcast18unravelingbolero |	Valero
EDL	00:06:58,303	00:06:59,327	| radiolab_podcast18unravelingbolero |	Bolero
EDL	00:06:59,327	00:07:00,607	| radiolab_podcast18unravelingbolero |	Yeah bowlero
EDL	00:07:01,119	00:07:03,167	| radiolab_podcast18unravelingbolero |	Robert says he's not quite sure how it happened but it's
EDL	00:07:03,167	00:07:06,751	| radiolab_podcast18unravelingbolero |	Some point that year and heard this famous piece by Maurice Ravel
EDL	00:07:06,751	00:07:07,263	| radiolab_podcast18unravelingbolero |	Became
EDL	00:07:07,775	00:07:08,287	| radiolab_podcast18unravelingbolero |	Set
EDL	00:07:08,799	00:07:09,823	| radiolab_podcast18unravelingbolero |	Couldn't stop listening to it
EDL	00:07:10,335	00:07:11,615	| radiolab_podcast18unravelingbolero |	Then playing it on the piano
EDL	00:07:12,383	00:07:15,967	| radiolab_podcast18unravelingbolero |	Deconstructing it mapping every pitch in the melody in the bass
EDL	00:07:15,967	00:07:17,759	| radiolab_podcast18unravelingbolero |	To color yours
EDL	00:07:17,759	00:07:19,551	| radiolab_podcast18unravelingbolero |	Here's one page
EDL	00:07:19,551	00:07:24,927	| radiolab_podcast18unravelingbolero |	It's just very long just have her notes she's got a silver a flat copper
EDL	00:07:24,927	00:07:25,695	| radiolab_podcast18unravelingbolero |	B
EDL	00:07:25,695	00:07:26,975	| radiolab_podcast18unravelingbolero |	Leaf Green
EDL	00:07:26,975	00:07:27,743	| radiolab_podcast18unravelingbolero |	B flat
EDL	00:07:27,743	00:07:28,511	| radiolab_podcast18unravelingbolero |	Metallic
EDL	00:07:28,511	00:07:30,303	| radiolab_podcast18unravelingbolero |	Green eventually the paintings
EDL	00:07:30,303	00:07:33,119	| radiolab_podcast18unravelingbolero |	Quite a large work to panel side by side
EDL	00:07:33,119	00:07:36,447	| radiolab_podcast18unravelingbolero |	Barry Electric colors a blizzard
EDL	00:07:36,447	00:07:37,215	| radiolab_podcast18unravelingbolero |	Symbols
EDL	00:07:37,215	00:07:38,239	| radiolab_podcast18unravelingbolero |	Triangles
EDL	00:07:38,239	00:07:44,639	| radiolab_podcast18unravelingbolero |	Tooth type things with marks on the middle mean something and rectangles marching back and forth across the first pen
EDL	00:07:44,639	00:07:49,247	| radiolab_podcast18unravelingbolero |	There was a triangle in the bottom of each one of the rectangle and the
EDL	00:07:49,247	00:07:51,039	| radiolab_podcast18unravelingbolero |	Height of the rectangle
EDL	00:07:51,039	00:07:53,087	| radiolab_podcast18unravelingbolero |	Represented the loudness
EDL	00:07:53,087	00:07:56,927	| radiolab_podcast18unravelingbolero |	It's an incredibly obsessive translation of the music into
EDL	00:07:56,927	00:07:59,743	| radiolab_podcast18unravelingbolero |	Visual language and just like the melody in Bolero
EDL	00:07:59,743	00:08:00,767	| radiolab_podcast18unravelingbolero |	The symbols repeat
EDL	00:08:00,767	00:08:01,535	| radiolab_podcast18unravelingbolero |	And repeat
EDL	00:08:01,535	00:08:02,303	| radiolab_podcast18unravelingbolero |	Repeat
EDL	00:08:02,303	00:08:08,703	| radiolab_podcast18unravelingbolero |	Obsessively getting bigger and bigger and bigger until at the very end of the second panel
EDL	00:08:08,703	00:08:14,335	| radiolab_podcast18unravelingbolero |	Things unravel
