EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast18x_y_ |	Are you awake
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast18x_y_ |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast18x_y_ |	Radio WNYC
EDL	00:00:19,712	00:00:21,248	| radiolab_podcast18x_y_ |	Gonads episode 3
EDL	00:00:22,528	00:00:23,552	| radiolab_podcast18x_y_ |	Emily Webster
EDL	00:00:24,064	00:00:29,440	| radiolab_podcast18x_y_ |	Hello hello are you still there I'm still here and this is my mother Mary Webster
EDL	00:00:29,440	00:00:35,840	| radiolab_podcast18x_y_ |	But but it's another bedbugs are such a freaking pain vacuum
EDL	00:00:35,840	00:00:42,240	| radiolab_podcast18x_y_ |	All the baseboards at the vacuum the floor is yet to vacuum the door jambs cuz they crawl up the walls and they're trying to get away
EDL	00:00:42,240	00:00:47,360	| radiolab_podcast18x_y_ |	That sounds awful so I recently called my mom for
EDL	00:00:47,872	00:00:54,016	| radiolab_podcast18x_y_ |	I guess the ketchup but also I had to work question
EDL	00:00:56,832	00:01:03,232	| radiolab_podcast18x_y_ |	That's been bugging me
EDL	00:01:03,232	00:01:06,048	| radiolab_podcast18x_y_ |	What's on my mind
EDL	00:01:06,560	00:01:11,936	| radiolab_podcast18x_y_ |	So I asked her mom working on the story and it made me wonder what you would have named me if I was
EDL	00:01:11,936	00:01:12,704	| radiolab_podcast18x_y_ |	Boy
EDL	00:01:12,704	00:01:14,240	| radiolab_podcast18x_y_ |	You would have been named Daniel
EDL	00:01:14,752	00:01:16,288	| radiolab_podcast18x_y_ |	Dad always like
EDL	00:01:16,288	00:01:17,056	| radiolab_podcast18x_y_ |	Name
EDL	00:01:17,056	00:01:21,408	| radiolab_podcast18x_y_ |	And if we ever had a boy
EDL	00:01:21,408	00:01:23,456	| radiolab_podcast18x_y_ |	That's what you want
EDL	00:01:23,968	00:01:26,272	| radiolab_podcast18x_y_ |	Yeah cuz he didn't want to Junior
EDL	00:01:26,272	00:01:29,088	| radiolab_podcast18x_y_ |	He wanted to Daniel he wanted a little Danny
EDL	00:01:29,088	00:01:32,160	| radiolab_podcast18x_y_ |	Instead he got a Judy Chrissy Peggy and Molly
EDL	00:01:32,672	00:01:36,000	| radiolab_podcast18x_y_ |	Father Mike lucky father
EDL	00:01:36,000	00:01:38,304	| radiolab_podcast18x_y_ |	If you had come out boy you would have been
EDL	00:01:40,352	00:01:42,400	| radiolab_podcast18x_y_ |	All of us
EDL	00:01:42,400	00:01:47,520	| radiolab_podcast18x_y_ |	Now we wait Daniel for a boy that's for everybody ready
EDL	00:01:47,520	00:01:50,080	| radiolab_podcast18x_y_ |	Yeah well we didn't know when a boy came out as we could have
EDL	00:01:50,592	00:01:51,104	| radiolab_podcast18x_y_ |	Gaming
EDL	00:01:59,040	00:02:02,880	| radiolab_podcast18x_y_ |	So this is just going to sound ridiculous but I called my mom because
EDL	00:02:02,880	00:02:04,928	| radiolab_podcast18x_y_ |	All the stories that we've been doing in the series
EDL	00:02:06,464	00:02:08,000	| radiolab_podcast18x_y_ |	They do make you think about fate
EDL	00:02:09,280	00:02:13,888	| radiolab_podcast18x_y_ |	But even if you think about the first one where they're the primordial germ cells
EDL	00:02:14,400	00:02:17,472	| radiolab_podcast18x_y_ |	And they're holding on to all sorts of
EDL	00:02:18,240	00:02:20,032	| radiolab_podcast18x_y_ |	Possibilities in futures
EDL	00:02:20,032	00:02:21,056	| radiolab_podcast18x_y_ |	And then
EDL	00:02:23,616	00:02:25,152	| radiolab_podcast18x_y_ |	Chromosome step in
EDL	00:02:26,944	00:02:28,224	| radiolab_podcast18x_y_ |	No more Infinity
EDL	00:02:28,224	00:02:30,528	| radiolab_podcast18x_y_ |	You're just like shunted onto
EDL	00:02:31,040	00:02:31,552	| radiolab_podcast18x_y_ |	Appass
EDL	00:02:32,832	00:02:38,976	| radiolab_podcast18x_y_ |	I guess I I guess it I guess asking my mom about Daniel was just like a clumsy way
EDL	00:02:39,488	00:02:43,840	| radiolab_podcast18x_y_ |	Of getting back to what feels like a really pristine Moment Like a moment where
EDL	00:02:44,352	00:02:45,632	| radiolab_podcast18x_y_ |	No decision
EDL	00:02:46,144	00:02:47,168	| radiolab_podcast18x_y_ |	Heaven
EDL	00:02:47,168	00:02:51,008	| radiolab_podcast18x_y_ |	Where you exist totally unblemish by life and choice in fate
EDL	00:02:52,800	00:02:53,824	| radiolab_podcast18x_y_ |	Unless
EDL	00:02:56,128	00:02:57,408	| radiolab_podcast18x_y_ |	Maybe life isn't so faithful
EDL	00:02:59,968	00:03:00,736	| radiolab_podcast18x_y_ |	Case in point
EDL	00:03:01,248	00:03:02,272	| radiolab_podcast18x_y_ |	David zarkower
EDL	00:03:02,272	00:03:07,648	| radiolab_podcast18x_y_ |	Hello hi. I'm just going to make sure I don't like cracking people but I'll just correct you my name is is pronounce Hazard cover
EDL	00:03:07,648	00:03:14,048	| radiolab_podcast18x_y_ |	Is there coover W right on my head
EDL	00:03:14,048	00:03:16,352	| radiolab_podcast18x_y_ |	I pronounce it with that I like a V it's it's
EDL	00:03:16,864	00:03:17,632	| radiolab_podcast18x_y_ |	Ascension polish
EDL	00:03:18,400	00:03:19,168	| radiolab_podcast18x_y_ |	That's good
EDL	00:03:19,168	00:03:22,240	| radiolab_podcast18x_y_ |	And you work at the University of Minnesota
EDL	00:03:22,752	00:03:24,288	| radiolab_podcast18x_y_ |	What do you do there
EDL	00:03:24,288	00:03:26,080	| radiolab_podcast18x_y_ |	Genetics cell biology and development
EDL	00:03:26,080	00:03:28,128	| radiolab_podcast18x_y_ |	That's that seem scary
EDL	00:03:28,640	00:03:29,152	| radiolab_podcast18x_y_ |	This Broad
EDL	00:03:30,176	00:03:32,224	| radiolab_podcast18x_y_ |	Anyways the reason I called is Arc
EDL	00:03:32,224	00:03:37,088	| radiolab_podcast18x_y_ |	Culver was because I came across the series of experiments that he did that
EDL	00:03:37,088	00:03:38,880	| radiolab_podcast18x_y_ |	Just straight-up kicked me in the gonads
EDL	00:03:39,392	00:03:42,208	| radiolab_podcast18x_y_ |	Okay so to begin this was
EDL	00:03:42,208	00:03:43,488	| radiolab_podcast18x_y_ |	Back in the
EDL	00:03:43,488	00:03:49,376	| radiolab_podcast18x_y_ |	Early 1990s is that cover was working a lab doing genetic stuff in worms and flies and
EDL	00:03:49,376	00:03:50,144	| radiolab_podcast18x_y_ |	And my something
EDL	00:03:50,144	00:03:53,472	| radiolab_podcast18x_y_ |	And Presto we got lucky
EDL	00:03:53,472	00:03:59,616	| radiolab_podcast18x_y_ |	He and his team discovered a brand-new Gene
EDL	00:04:00,640	00:04:05,248	| radiolab_podcast18x_y_ |	Dmrt1 dmrt1
EDL	00:04:05,248	00:04:09,088	| radiolab_podcast18x_y_ |	I keep trying to say DRM.
EDL	00:04:09,088	00:04:10,368	| radiolab_podcast18x_y_ |	Very sorry for that
EDL	00:04:10,880	00:04:12,160	| radiolab_podcast18x_y_ |	Interesting
EDL	00:04:12,672	00:04:14,976	| radiolab_podcast18x_y_ |	Was at the gym with in mice but also
EDL	00:04:14,976	00:04:15,488	| radiolab_podcast18x_y_ |	Humans
EDL	00:04:17,280	00:04:18,303	| radiolab_podcast18x_y_ |	And
EDL	00:04:18,303	00:04:19,071	| radiolab_podcast18x_y_ |	In the mailman
EDL	00:04:19,583	00:04:21,631	| radiolab_podcast18x_y_ |	It was expressing itself in the
EDL	00:04:23,679	00:04:24,191	| radiolab_podcast18x_y_ |	Testis
EDL	00:04:27,519	00:04:30,335	| radiolab_podcast18x_y_ |	Can I say it
EDL	00:04:30,335	00:04:31,615	| radiolab_podcast18x_y_ |	Testicle Festival
EDL	00:04:31,615	00:04:32,895	| radiolab_podcast18x_y_ |	Is that a single
EDL	00:04:32,895	00:04:36,479	| radiolab_podcast18x_y_ |	Okay so yes we found this Gene and humans had it
EDL	00:04:36,479	00:04:36,991	| radiolab_podcast18x_y_ |	In the testis
EDL	00:04:37,759	00:04:40,063	| radiolab_podcast18x_y_ |	And the question we had was
EDL	00:04:40,063	00:04:45,183	| radiolab_podcast18x_y_ |	Weather was doing something or not like you got jeans in your eyes that are making chemicals that are making your eyes
EDL	00:04:45,183	00:04:45,951	| radiolab_podcast18x_y_ |	The color they are
EDL	00:04:45,951	00:04:49,023	| radiolab_podcast18x_y_ |	This Gene dmrt1 is it doing
