EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:08,448	| radiolab_podcast19loops |	Hey Radiolab producer Simon Adler here and before we get to the show
EDL	00:00:08,448	00:00:10,240	| radiolab_podcast19loops |	A quick word from
EDL	00:00:10,240	00:00:16,640	| radiolab_podcast19loops |	A mccuen Harris's Kelly Prime this is Pat Walters
EDL	00:00:16,640	00:00:23,040	| radiolab_podcast19loops |	Am the technical producer production manager associate producer.
EDL	00:00:23,040	00:00:25,856	| radiolab_podcast19loops |	Self-conscious embarrassed by the fact that I'm speaking to my phone
EDL	00:00:25,856	00:00:26,880	| radiolab_podcast19loops |	Okay
EDL	00:00:26,880	00:00:33,280	| radiolab_podcast19loops |	So we reached out to you guys for listeners do we have that four
EDL	00:00:33,280	00:00:39,680	| radiolab_podcast19loops |	End of u-thor Radiolab 4000 review
EDL	00:00:39,680	00:00:46,080	| radiolab_podcast19loops |	In fact what is 5000 you gave people who hate
EDL	00:00:46,080	00:00:52,480	| radiolab_podcast19loops |	Are we want to thank every one of you became a member during that drive so thank you so much
EDL	00:00:52,480	00:00:58,880	| radiolab_podcast19loops |	Thank you thank you thank you so much thank you thank you
EDL	00:00:58,880	00:01:01,952	| radiolab_podcast19loops |	Thank you thank you thank you thank you thank you thank you
EDL	00:01:01,952	00:01:08,352	| radiolab_podcast19loops |	Thank you thank you thank you so much
EDL	00:01:08,352	00:01:14,752	| radiolab_podcast19loops |	Too late for welcome your support year-round at radiolab.org. Org Radiolab
EDL	00:01:14,752	00:01:18,080	| radiolab_podcast19loops |	. org thanks
EDL	00:01:20,640	00:01:21,664	| radiolab_podcast19loops |	Okay under the show
EDL	00:01:22,688	00:01:23,712	| radiolab_podcast19loops |	Weight units
EDL	00:01:25,248	00:01:31,392	| radiolab_podcast19loops |	Listening to Radiolab
EDL	00:01:32,160	00:01:36,512	| radiolab_podcast19loops |	Radio WNYC
EDL	00:01:39,840	00:01:41,888	| radiolab_podcast19loops |	I guess our prescriptions like
EDL	00:01:41,888	00:01:43,168	| radiolab_podcast19loops |	What what
EDL	00:01:43,168	00:01:45,216	| radiolab_podcast19loops |	Conceivable set of circumstance
EDL	00:01:45,984	00:01:47,008	| radiolab_podcast19loops |	Led to you
EDL	00:01:47,520	00:01:48,288	| radiolab_podcast19loops |	Doing
EDL	00:01:48,288	00:01:48,800	| radiolab_podcast19loops |	What you did
EDL	00:01:49,312	00:01:51,872	| radiolab_podcast19loops |	I just thought it would be a weird thing to do
EDL	00:01:51,872	00:01:55,456	| radiolab_podcast19loops |	Yeah I was like well that would be weird we don't know if it's funny but
EDL	00:01:55,456	00:01:59,552	| radiolab_podcast19loops |	We try it out so is it going to be weird will do it
EDL	00:01:59,552	00:02:05,952	| radiolab_podcast19loops |	Is it going to alienate half the audience
EDL	00:02:05,952	00:02:12,352	| radiolab_podcast19loops |	Thank you so much images to send things up a do better
EDL	00:02:12,352	00:02:18,752	| radiolab_podcast19loops |	Confess to people that you just heard they are
EDL	00:02:18,752	00:02:19,520	| radiolab_podcast19loops |	Medians
EDL	00:02:19,520	00:02:20,288	| radiolab_podcast19loops |	That's it
EDL	00:02:20,288	00:02:24,384	| radiolab_podcast19loops |	We first heard about the bet you're about to hear from Jesse thorn
EDL	00:02:24,384	00:02:29,504	| radiolab_podcast19loops |	Host of The Sound of Young America
EDL	00:02:30,272	00:02:32,320	| radiolab_podcast19loops |	Okay check my phone okay yeah
EDL	00:02:33,600	00:02:40,000	| radiolab_podcast19loops |	So much so you sit up when curtain Kristen walk onstage what happened well there's a couple of jokes
