EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:02,048	00:00:02,816	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Ouat
EDL	00:00:07,168	00:00:10,496	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Northern listening to Radiolab
EDL	00:00:11,520	00:00:15,616	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Radiolab WNYC
EDL	00:00:21,504	00:00:22,272	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Hate this is
EDL	00:00:22,272	00:00:23,040	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Pat Walters
EDL	00:00:23,040	00:00:28,672	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Coming at you today with the final episode of R-rated mini-series on intelligence
EDL	00:00:29,184	00:00:29,696	| radiolab_podcast19worldssmartestanimal_intelligence-series |	G
EDL	00:00:30,720	00:00:32,000	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Answer for this last
EDL	00:00:32,000	00:00:34,048	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Episode we wanted to check the mood
EDL	00:00:34,816	00:00:36,864	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Because everybody in the series together
EDL	00:00:36,864	00:00:37,632	| radiolab_podcast19worldssmartestanimal_intelligence-series |	We did
EDL	00:00:37,632	00:00:39,168	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Lots of Stories on human
EDL	00:00:39,168	00:00:39,936	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Intelligence
EDL	00:00:39,936	00:00:43,520	| radiolab_podcast19worldssmartestanimal_intelligence-series |	But we also found ourselves thinking about intelligence in other end
EDL	00:00:44,544	00:00:47,104	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Enter to get into that we decided to host an event
EDL	00:00:47,104	00:00:48,384	| radiolab_podcast19worldssmartestanimal_intelligence-series |	All about animals
EDL	00:00:49,152	00:00:51,456	| radiolab_podcast19worldssmartestanimal_intelligence-series |	And today we're going to share that event with you
EDL	00:00:51,968	00:00:54,016	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Just a quick warning at there are
EDL	00:00:54,016	00:00:54,528	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Some curse words
EDL	00:00:55,040	00:00:56,064	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I and Joe
EDL	00:00:56,064	00:00:57,088	| radiolab_podcast19worldssmartestanimal_intelligence-series |	So say that mine
EDL	00:00:58,112	00:01:01,696	| radiolab_podcast19worldssmartestanimal_intelligence-series |	And the reason that we're doing this is because a couple of months ago
EDL	00:01:01,696	00:01:05,792	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I ended up on the phone with the science writer I really love named an amber
EDL	00:01:06,560	00:01:08,096	| radiolab_podcast19worldssmartestanimal_intelligence-series |	And then went on a rant
EDL	00:01:08,096	00:01:10,144	| radiolab_podcast19worldssmartestanimal_intelligence-series |	About how messed up is that
EDL	00:01:10,144	00:01:13,728	| radiolab_podcast19worldssmartestanimal_intelligence-series |	We only seem able to talk about animal intelligence in terms of our own until
EDL	00:01:15,264	00:01:15,776	| radiolab_podcast19worldssmartestanimal_intelligence-series |	He said
EDL	00:01:16,288	00:01:18,080	| radiolab_podcast19worldssmartestanimal_intelligence-series |	So much of animal intelligence research
EDL	00:01:18,592	00:01:21,408	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I is built on making animals do stuff
EDL	00:01:21,408	00:01:22,944	| radiolab_podcast19worldssmartestanimal_intelligence-series |	That we feel like
EDL	00:01:22,944	00:01:23,712	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Humans would be good at
EDL	00:01:24,480	00:01:26,528	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Instead of considering their Intelligence on their own
EDL	00:01:27,552	00:01:31,648	| radiolab_podcast19worldssmartestanimal_intelligence-series |	And tonight we decided we're doing episode about animal intelligence
EDL	00:01:31,648	00:01:32,928	| radiolab_podcast19worldssmartestanimal_intelligence-series |	That shifts the focus from
EDL	00:01:32,928	00:01:33,696	| radiolab_podcast19worldssmartestanimal_intelligence-series |	From us
EDL	00:01:33,696	00:01:34,720	| radiolab_podcast19worldssmartestanimal_intelligence-series |	To them
EDL	00:01:34,720	00:01:36,768	| radiolab_podcast19worldssmartestanimal_intelligence-series |	That considers their unique abilities
EDL	00:01:36,768	00:01:37,792	| radiolab_podcast19worldssmartestanimal_intelligence-series |	On their own terms
EDL	00:01:38,304	00:01:39,584	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I enjoy doing so
EDL	00:01:39,584	00:01:42,656	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I hopefully might help us redefine a little bit what we think about
EDL	00:01:42,656	00:01:43,168	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Intelligence
EDL	00:01:43,680	00:01:44,448	| radiolab_podcast19worldssmartestanimal_intelligence-series |	A general for Olive
EDL	00:01:46,496	00:01:48,032	| radiolab_podcast19worldssmartestanimal_intelligence-series |	And because we're humans and
EDL	00:01:48,032	00:01:48,800	| radiolab_podcast19worldssmartestanimal_intelligence-series |	We like
EDL	00:01:48,800	00:01:50,080	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Contest we decide to make a competition
EDL	00:01:52,640	00:01:53,408	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Here's how to work
EDL	00:01:54,432	00:01:55,712	| radiolab_podcast19worldssmartestanimal_intelligence-series |	We have four contestants
EDL	00:01:56,224	00:01:58,528	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Who engages series of head-to-head bounce
EDL	00:01:59,040	00:02:00,832	| radiolab_podcast19worldssmartestanimal_intelligence-series |	To convince a panel of judges
EDL	00:02:00,832	00:02:01,856	| radiolab_podcast19worldssmartestanimal_intelligence-series |	That their animal is the
EDL	00:02:04,160	00:02:07,232	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I'm going to bring up our first pair of contestants in a moment
EDL	00:02:07,232	00:02:08,256	| radiolab_podcast19worldssmartestanimal_intelligence-series |	But I
EDL	00:02:08,768	00:02:09,536	| radiolab_podcast19worldssmartestanimal_intelligence-series |	First
EDL	00:02:09,536	00:02:10,304	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Let's meet our judges
EDL	00:02:12,352	00:02:14,144	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Oh well music
EDL	00:02:14,144	00:02:14,912	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Okay
EDL	00:02:14,912	00:02:17,216	| radiolab_podcast19worldssmartestanimal_intelligence-series |	How's your first please welcome
EDL	00:02:17,216	00:02:18,496	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Did you guys have done
EDL	00:02:18,496	00:02:21,312	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Hundreds of stories about all kinds of smart animals
EDL	00:02:21,312	00:02:24,384	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I please welcome the colors to Radiolab Jad abumrad and Rubber products
EDL	00:02:24,896	00:02:26,432	| radiolab_podcast19worldssmartestanimal_intelligence-series |	I kind of had to use the guys
EDL	00:02:26,432	00:02:27,456	| radiolab_podcast19worldssmartestanimal_intelligence-series |	The obvious choices
EDL	00:02:27,968	00:02:30,528	| radiolab_podcast19worldssmartestanimal_intelligence-series |	But we also invited one more
EDL	00:02:30,528	00:02:31,040	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Surprised
EDL	00:02:31,808	00:02:35,392	| radiolab_podcast19worldssmartestanimal_intelligence-series |	The real star of our judging panel
EDL	00:02:35,392	00:02:39,232	| radiolab_podcast19worldssmartestanimal_intelligence-series |	From humble beginnings in a shelter in Oklahoma City
EDL	00:02:39,232	00:02:43,584	| radiolab_podcast19worldssmartestanimal_intelligence-series |	She's risen to the highest levels of success in Show Business in New York
EDL	00:02:44,608	00:02:47,168	| radiolab_podcast19worldssmartestanimal_intelligence-series |	Her television credits include high maintenance
EDL	00:02:47,168	00:02:48,192	| radiolab_podcast19worldssmartestanimal_intelligence-series |	In the leftovers
