EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:05,376	00:00:06,144	| serial-s01-day02 |	Hello
EDL	00:00:06,144	00:00:07,424	| serial-s01-day02 |	Are you back in your boudoir
EDL	00:00:09,728	00:00:12,288	| serial-s01-day02 |	I am I really like it in here now
EDL	00:00:12,288	00:00:14,592	| serial-s01-day02 |	I might just stay in here is all night
EDL	00:00:15,872	00:00:20,480	| serial-s01-day02 |	Alright so today was the second day of the hearing
EDL	00:00:21,248	00:00:22,016	| serial-s01-day02 |	Yes
EDL	00:00:22,016	00:00:23,808	| serial-s01-day02 |	How to how did it go for Egypt
EDL	00:00:26,368	00:00:30,464	| serial-s01-day02 |	They really went after her you know today was mostly the states
EDL	00:00:30,464	00:00:32,000	| serial-s01-day02 |	Cross-examining her and they really
EDL	00:00:32,512	00:00:33,792	| serial-s01-day02 |	Attacked her testimony
EDL	00:00:33,792	00:00:34,560	| serial-s01-day02 |	In a bunch of ways
EDL	00:00:36,864	00:00:39,936	| serial-s01-day02 |	One of the things I brought up was this whole snow issue
EDL	00:00:40,448	00:00:42,752	| serial-s01-day02 |	Because remember when I
EDL	00:00:42,752	00:00:45,312	| serial-s01-day02 |	Talk to her on the phone that time you know when I
EDL	00:00:45,312	00:00:46,592	| serial-s01-day02 |	Was reporting the store and she called me
EDL	00:00:47,616	00:00:51,456	| serial-s01-day02 |	She said she remembered that day specifically January 13
EDL	00:00:51,456	00:00:57,856	| serial-s01-day02 |	1999 the day he goes missing the day he goes missing she remembered seeing and not in the library and she said to me be
EDL	00:00:57,856	00:01:02,208	| serial-s01-day02 |	Because of the snow remember that yeah yeah right yeah she was like I remember cuz it was this
EDL	00:01:02,720	00:01:05,280	| serial-s01-day02 |	The first snow of the year and there was all the snow
EDL	00:01:05,792	00:01:06,304	| serial-s01-day02 |	And
EDL	00:01:07,072	00:01:08,608	| serial-s01-day02 |	The state today
EDL	00:01:08,608	00:01:09,888	| serial-s01-day02 |	The prosecutor
EDL	00:01:10,656	00:01:11,168	| serial-s01-day02 |	Chi
EDL	00:01:11,936	00:01:12,960	| serial-s01-day02 |	Was like
EDL	00:01:12,960	00:01:19,360	| serial-s01-day02 |	Are you sure you have the right day because there wasn't snow that day was there like he should have reference what she had said
EDL	00:01:19,360	00:01:19,872	| serial-s01-day02 |	Said to me
EDL	00:01:20,384	00:01:21,920	| serial-s01-day02 |	And that was
EDL	00:01:21,920	00:01:26,016	| serial-s01-day02 |	That was something we had a question about 2 cuz she was very clear with you she got
EDL	00:01:26,016	00:01:28,064	| serial-s01-day02 |	Snowed in at her boyfriend's house
EDL	00:01:28,576	00:01:30,624	| serial-s01-day02 |	And then the next two days were snow days
EDL	00:01:30,624	00:01:32,928	| serial-s01-day02 |	So she's very clear that she ties his memory
EDL	00:01:32,928	00:01:33,440	| serial-s01-day02 |	I2
EDL	00:01:33,952	00:01:34,976	| serial-s01-day02 |	To the snow right
EDL	00:01:35,488	00:01:36,512	| serial-s01-day02 |	Oh yeah yeah
EDL	00:01:36,512	00:01:38,560	| serial-s01-day02 |	Shireen wondered about that
EDL	00:01:38,560	00:01:41,376	| serial-s01-day02 |	Yeah because we looked up the weather right and it hadn't snow
EDL	00:01:41,888	00:01:45,216	| serial-s01-day02 |	It hasn't snowed there was a horrible ice storm that had started
EDL	00:01:45,216	00:01:50,848	| serial-s01-day02 |	Like in the wee hours of the next morning but there wasn't snow it was it was it was terrible weather and it was like a
EDL	00:01:50,848	00:01:52,384	| serial-s01-day02 |	Big emergency in Baltimore
EDL	00:01:52,384	00:01:54,432	| serial-s01-day02 |	But it was an ice storm
EDL	00:01:55,200	00:01:57,504	| serial-s01-day02 |	And so she kind of
EDL	00:01:57,504	00:01:58,272	| serial-s01-day02 |	I mean
EDL	00:01:59,552	00:02:00,832	| serial-s01-day02 |	Cheat
EDL	00:02:00,832	00:02:03,392	| serial-s01-day02 |	She did a fairly good job with it I mean she just said like
EDL	00:02:03,392	00:02:09,280	| serial-s01-day02 |	Yeah I don't know I know it was bad weather I'm not sure if it was snow or ice or whatever I just remember it was like
EDL	00:02:09,280	00:02:10,816	| serial-s01-day02 |	Hazardous bad weather
EDL	00:02:10,816	00:02:14,400	| serial-s01-day02 |	School was canceled after after that Jews like and I remember
EDL	00:02:14,400	00:02:20,800	| serial-s01-day02 |	I was happy about it because I had used the excuse of bad weather as a reason to stay later
EDL	00:02:20,800	00:02:22,080	| serial-s01-day02 |	At my boyfriend Derek's house
EDL	00:02:22,592	00:02:23,872	| serial-s01-day02 |	And my mom bought it
EDL	00:02:24,384	00:02:28,224	| serial-s01-day02 |	And then she was like and I remember it because I stayed out later I was happy that
EDL	00:02:28,224	00:02:28,736	| serial-s01-day02 |	Dance school is can
EDL	00:02:29,504	00:02:30,272	| serial-s01-day02 |	Today's
EDL	00:02:30,272	00:02:32,064	| serial-s01-day02 |	So it sounded pretty specific
EDL	00:02:32,832	00:02:34,880	| serial-s01-day02 |	.
EDL	00:02:34,880	00:02:39,488	| serial-s01-day02 |	I don't know but I have to say she was very cool and collected about it it wasn't
EDL	00:02:39,488	00:02:45,632	| serial-s01-day02 |	She didn't seem frazzled or freaked out or she was just like I don't know about it was snow ice I don't know it was bad weather huh
EDL	00:02:46,656	00:02:52,544	| serial-s01-day02 |	Yeah she seemed totally she seemed completely confident in her memories even when I was thinking like
EDL	00:02:53,056	00:02:54,592	| serial-s01-day02 |	But even when I was thinking like
EDL	00:02:54,592	00:02:55,616	| serial-s01-day02 |	Wait a minute
EDL	00:02:58,176	00:03:00,480	| serial-s01-day02 |	What happened
EDL	00:03:01,248	00:03:03,808	| serial-s01-day02 |	Yeah well so the other the main thing
EDL	00:03:04,576	00:03:10,720	| serial-s01-day02 |	That happened that least was new to me as a theory about Asia's alibi
EDL	00:03:10,720	00:03:15,840	| serial-s01-day02 |	And that made me think like wait a minute let me rethink this and in fact I
EDL	00:03:15,840	00:03:18,144	| serial-s01-day02 |	Asked you guys to go scrambling back to the records
EDL	00:03:18,656	00:03:21,472	| serial-s01-day02 |	That we have our detectives heldens this is the stuff
EDL	00:03:21,984	00:03:23,008	| serial-s01-day02 |	Yes that you want stuff
EDL	00:03:23,520	00:03:27,872	| serial-s01-day02 |	Because the prosecutor of Inuyasha went after her
EDL	00:03:27,872	00:03:29,920	| serial-s01-day02 |	For a long time about the second
EDL	00:03:29,920	00:03:30,688	| serial-s01-day02 |	Letter
EDL	00:03:30,688	00:03:33,504	| serial-s01-day02 |	That she wrote to Adnan right after he got so wasted
EDL	00:03:34,016	00:03:37,600	| serial-s01-day02 |	So we should just take a step back and explain what these letters are they that your
EDL	00:03:37,600	00:03:38,880	| serial-s01-day02 |	Talking about so the
EDL	00:03:39,392	00:03:43,232	| serial-s01-day02 |	So Asian Road Adnan to letter she wrote in the first letter
EDL	00:03:43,744	00:03:47,584	| serial-s01-day02 |	The day after he was arrested I think March 1st 1999
EDL	00:03:47,584	00:03:49,632	| serial-s01-day02 |	And Analysis
EDL	00:03:49,632	00:03:52,192	| serial-s01-day02 |	Does handwritten note where she started saying to him
EDL	00:03:52,192	00:03:54,496	| serial-s01-day02 |	I've just been to your house I'm at your parents
EDL	00:03:55,008	00:03:56,544	| serial-s01-day02 |	And I want to tell you that
EDL	00:03:56,544	00:04:00,640	| serial-s01-day02 |	I remember talking to you that day January 13th 1999
EDL	00:04:00,640	00:04:02,176	| serial-s01-day02 |	I remember seeing you in the library
EDL	00:04:02,944	00:04:09,344	| serial-s01-day02 |	So then the next day she she writes him another letter and this one is a little bit different it's a little bit longer it's
EDL	00:04:09,344	00:04:10,368	| serial-s01-day02 |	Typed up
EDL	00:04:10,368	00:04:11,904	| serial-s01-day02 |	She seems to be writing it in
EDL	00:04:11,904	00:04:13,184	| serial-s01-day02 |	Like from one of her
EDL	00:04:13,184	00:04:14,720	| serial-s01-day02 |	Classes at school
EDL	00:04:14,720	00:04:16,768	| serial-s01-day02 |	And in that one
EDL	00:04:17,280	00:04:22,911	| serial-s01-day02 |	She started reiterate again like I remember seeing you in the library that day so let me know
EDL	00:04:22,911	00:04:24,191	| serial-s01-day02 |	If you need me to
EDL	00:04:24,191	00:04:25,215	| serial-s01-day02 |	To speak up about that
EDL	00:04:25,727	00:04:26,239	| serial-s01-day02 |	All right
EDL	00:04:26,751	00:04:28,287	| serial-s01-day02 |	So today
EDL	00:04:28,287	00:04:34,687	| serial-s01-day02 |	The 2nd letter the type one was was the issue today so the state is really pressing her over and
EDL	00:04:34,687	00:04:35,711	| serial-s01-day02 |	Over to say
EDL	00:04:35,711	00:04:39,295	| serial-s01-day02 |	Are you sure you really wrote this letter on March 2nd
EDL	00:04:39,807	00:04:40,575	| serial-s01-day02 |	Because it's dated March
EDL	00:04:41,599	00:04:46,975	| serial-s01-day02 |	And infected stated on every page letter and at the bottom of each page it says March 2nd
EDL	00:04:47,487	00:04:49,279	| serial-s01-day02 |	And she keeps saying yes
EDL	00:04:49,279	00:04:50,303	| serial-s01-day02 |	Yes I am yep
EDL	00:04:50,815	00:04:55,167	| serial-s01-day02 |	And he's pointing to things in the letter that suggests It Was Written later maybe
EDL	00:04:56,191	00:04:59,519	| serial-s01-day02 |	That suggests It Was Written later because she's got all of this
EDL	00:04:59,519	00:05:01,055	| serial-s01-day02 |	Fairly specific
EDL	00:05:01,055	00:05:04,383	| serial-s01-day02 |	Information about anons case in about the
EDL	00:05:04,383	00:05:06,687	| serial-s01-day02 |	The crime in the way the crime unfolded
EDL	00:05:07,199	00:05:08,991	| serial-s01-day02 |	And he's suggesting like
EDL	00:05:08,991	00:05:10,783	| serial-s01-day02 |	How would you have known all this stuff
EDL	00:05:11,295	00:05:16,415	| serial-s01-day02 |	What were some of the things the prosecutor was pointing to the letter as like how would you know this or that
EDL	00:05:17,183	00:05:23,071	| serial-s01-day02 |	There were several things one was she notes that hey was found in a shallow grave
EDL	00:05:23,839	00:05:26,911	| serial-s01-day02 |	Another was that
EDL	00:05:27,679	00:05:30,751	| serial-s01-day02 |	She talks about someone else referencing
EDL	00:05:30,751	00:05:33,567	| serial-s01-day02 |	Fibers from Adnan on his body
EDL	00:05:34,079	00:05:39,199	| serial-s01-day02 |	So the prosecutor is saying like it's too soon for any of those details to have been out in
EDL	00:05:39,199	00:05:41,759	| serial-s01-day02 |	Republic 2 days after Adnan has been
EDL	00:05:42,527	00:05:44,319	| serial-s01-day02 |	Arrest right that what he's going to say
EDL	00:05:44,831	00:05:46,367	| serial-s01-day02 |	That's what he's
EDL	00:05:46,367	00:05:47,647	| serial-s01-day02 |	Suggesting
EDL	00:05:47,647	00:05:50,719	| serial-s01-day02 |	In fact he's not really correct about that because then
EDL	00:05:50,719	00:05:52,767	| serial-s01-day02 |	Justin Brown Adnan defense attorney
EDL	00:05:53,279	00:05:57,631	| serial-s01-day02 |	Stood up after that and showed exhibits of Baltimore Sun stories dated
EDL	00:05:58,399	00:05:59,935	| serial-s01-day02 |	Prior to
EDL	00:05:59,935	00:06:00,959	| serial-s01-day02 |	Asia's letter
