EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:02,816	| serial-s03-e01 |	Serial season 3 is presented by ZipRecruiter
EDL	00:00:02,816	00:00:03,840	| serial-s03-e01 |	The smartest way to hire
EDL	00:00:04,352	00:00:07,680	| serial-s03-e01 |	Leader in the brake you hear from someone who runs a growing coffee company
EDL	00:00:07,680	00:00:11,264	| serial-s03-e01 |	ZipRecruiter is rated number one by Employers in the US
EDL	00:00:11,264	00:00:14,336	| serial-s03-e01 |	Based on hiring sites with over 1000 reviews on trustpilot
EDL	00:00:14,848	00:00:16,128	| serial-s03-e01 |	ZipRecruiter for free
EDL	00:00:16,128	00:00:18,432	| serial-s03-e01 |	A different router. Com serial
EDL	00:00:18,944	00:00:20,992	| serial-s03-e01 |	Support for serial comes from Squarespace
EDL	00:00:21,760	00:00:24,576	| serial-s03-e01 |	Make your business official with Google in Squarespace
EDL	00:00:25,344	00:00:28,672	| serial-s03-e01 |	When you create a custom domain and a Business website with Squarespace
EDL	00:00:29,184	00:00:33,536	| serial-s03-e01 |	You'll receive a free year of business email and professional tools from Google
EDL	00:00:33,536	00:00:36,096	| serial-s03-e01 |	It's the simplest way to look professional online
EDL	00:00:36,864	00:00:39,936	| serial-s03-e01 |	Visit squarespace.com Google
EDL	00:00:39,936	00:00:40,960	| serial-s03-e01 |	To start your free trial
EDL	00:00:41,472	00:00:45,056	| serial-s03-e01 |	And use offer code professional for a discount on your first purchase
EDL	00:00:45,824	00:00:47,104	| serial-s03-e01 |	Google and Squarespace
EDL	00:00:47,616	00:00:49,664	| serial-s03-e01 |	Make it professional make it beautiful
EDL	00:00:51,200	00:00:54,784	| serial-s03-e01 |	The Justice Center in Cleveland Ohio takes up a whole city block downtown
EDL	00:00:55,552	00:00:58,112	| serial-s03-e01 |	It's a cluster of concrete towers built in the 1970
EDL	00:00:59,136	00:01:00,928	| serial-s03-e01 |	I can head here but I'm just going to say it
