EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:06,656	00:00:12,800	| IOT061a |	Hey everyone welcome back to the Internet of Things podcast either host Stacey Higginbotham
EDL	00:00:13,312	00:00:14,592	| IOT061a |	If this is your co-host
EDL	00:00:14,592	00:00:15,616	| IOT061a |	Kevin tofel
EDL	00:00:15,616	00:00:21,248	| IOT061a |	And today we have a great show for you today we're going to talk about Google home Atari and iot
EDL	00:00:21,248	00:00:23,808	| IOT061a |	Possibly some new Wi-Fi low-power effort
EDL	00:00:25,344	00:00:26,368	| IOT061a |	A bit about
EDL	00:00:26,368	00:00:27,648	| IOT061a |	Smart home hubs
EDL	00:00:27,648	00:00:28,416	| IOT061a |	Plus
EDL	00:00:28,416	00:00:32,256	| IOT061a |	I have a great guest for you it's Chris Herbert who is the CEO of tracker
EDL	00:00:32,256	00:00:35,072	| IOT061a |	Who's going to talk about a brand new indoor positioning system
EDL	00:00:35,072	00:00:35,840	| IOT061a |	Which
EDL	00:00:35,840	00:00:36,352	| IOT061a |	I love
EDL	00:00:36,864	00:00:38,144	| IOT061a |	We love presents
EDL	00:00:40,960	00:00:45,824	| IOT061a |	Alright so let's get started with the Google home the information
EDL	00:00:45,824	00:00:48,896	| IOT061a |	Which man are they just like rocking it hard or what
EDL	00:00:49,920	00:00:54,784	| IOT061a |	They typically do they they have really good sources and they get some good scoops
EDL	00:00:54,784	00:00:55,808	| IOT061a |	They do so
EDL	00:00:55,808	00:00:57,344	| IOT061a |	They are reporting that
EDL	00:00:57,856	00:00:59,648	| IOT061a |	The chip inside
EDL	00:00:59,648	00:01:03,232	| IOT061a |	Google home and Google home is the Amazon Echo
EDL	00:01:03,232	00:01:04,256	| IOT061a |	Like product
EDL	00:01:04,256	00:01:06,048	| IOT061a |	That is not actually at the market
EDL	00:01:07,328	00:01:08,096	| IOT061a |	People are calling it
EDL	00:01:08,864	00:01:09,632	| IOT061a |	Air freshener
EDL	00:01:09,632	00:01:12,192	| IOT061a |	That you can look like an air freshener
EDL	00:01:12,704	00:01:15,776	| IOT061a |	So this has the same chip inside
EDL	00:01:15,776	00:01:16,800	| IOT061a |	As the
EDL	00:01:18,336	00:01:19,104	| IOT061a |	Kevin
EDL	00:01:19,104	00:01:23,968	| IOT061a |	Chromecast is what the information says they have a dispute with a person with direct knowledge of the plan
EDL	00:01:24,480	00:01:27,552	| IOT061a |	Notes I work for Google I have no direct knowledge of the plan
EDL	00:01:27,552	00:01:31,392	| IOT061a |	But this is what they were told that the guts of Home in the same as the Chromecast
EDL	00:01:31,392	00:01:34,464	| IOT061a |	I can't say that I'm surprised because
