EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:09,216	00:00:14,592	| IOT122 |	Hey everyone welcome to the Internet of Things podcast this is your house Stacy Higginbotham at this is your co-host
EDL	00:00:15,104	00:00:17,408	| IOT122 |	Kevin tofel
EDL	00:00:17,408	00:00:20,224	| IOT122 |	Is chock-full of great news for you today we've got
EDL	00:00:20,224	00:00:23,040	| IOT122 |	Roomba and the map gate we're going to call at Mapco
EDL	00:00:23,808	00:00:28,160	| IOT122 |	Elon Musk news embedded RFID tags in employees
EDL	00:00:28,160	00:00:29,696	| IOT122 |	I'm going to talk about the Amazon wand
EDL	00:00:30,208	00:00:33,536	| IOT122 |	We got a dead company we've got an acquisition and we've got a funding
EDL	00:00:34,048	00:00:35,840	| IOT122 |	Plus Kevin has a book
EDL	00:00:35,840	00:00:36,864	| IOT122 |	Recommendation for you
EDL	00:00:37,376	00:00:37,888	| IOT122 |	All of this
EDL	00:00:38,400	00:00:39,168	| IOT122 |	Followed
EDL	00:00:39,168	00:00:40,448	| IOT122 |	Buy an interview
EDL	00:00:40,448	00:00:41,216	| IOT122 |	With
EDL	00:00:41,216	00:00:43,776	| IOT122 |	Alex khurram who is in charge of
EDL	00:00:43,776	00:00:44,288	| IOT122 |	Comcast
EDL	00:00:44,800	00:00:45,824	| IOT122 |	Corwin efforts
EDL	00:00:45,824	00:00:48,384	| IOT122 |	It's called machineq so we can learn a lot about that
EDL	00:00:48,384	00:00:49,920	| IOT122 |	After we hear from
EDL	00:00:49,920	00:00:51,456	| IOT122 |	Our sponsor this week
EDL	00:00:51,456	00:00:51,968	| IOT122 |	Schlage
EDL	00:00:52,480	00:00:52,992	| IOT122 |	Now
EDL	00:00:53,504	00:00:56,064	| IOT122 |	Let's get the show started with a message from another one of our sponsor
EDL	00:00:57,600	00:01:04,000	| IOT122 |	Smart Kitchen Summit is the only event of his kind to tackle the future of food cookie
EDL	00:01:04,000	00:01:08,352	| IOT122 |	And the kitchen with decision-makers and disruptors across the food
EDL	00:01:08,352	00:01:11,680	| IOT122 |	Cooking appliance retail and Technology Industries
EDL	00:01:11,680	00:01:18,080	| IOT122 |	With two full days of content discussions networking and product showcases the 2017 Smart Kitchen Summit
EDL	00:01:18,080	00:01:20,640	| IOT122 |	Will be held at Benaroya Hall in Seattle
EDL	00:01:20,640	00:01:22,432	| IOT122 |	On October 10th at 11
EDL	00:01:22,432	00:01:26,272	| IOT122 |	My listeners get to take 25% off of any ticket type with the code
EDL	00:01:26,784	00:01:29,600	| IOT122 |	Stacey Stacey
EDL	00:01:29,600	00:01:30,368	| IOT122 |	Don't wait
EDL	00:01:30,368	00:01:34,208	| IOT122 |	Because early bird ticket pricing ends July 31st
EDL	00:01:35,232	00:01:36,512	| IOT122 |	An added bonus
EDL	00:01:36,512	00:01:37,792	| IOT122 |	Or not I don't know
EDL	00:01:37,792	00:01:38,816	| IOT122 |	I'll be there
EDL	00:01:38,816	00:01:39,840	| IOT122 |	All right
EDL	00:01:39,840	00:01:40,864	| IOT122 |	Is it a bonus
EDL	00:01:40,864	00:01:41,888	| IOT122 |	That's a bonus
EDL	00:01:41,888	00:01:43,168	| IOT122 |	Kevin's hang out with me in person
EDL	00:01:43,936	00:01:45,216	| IOT122 |	It's a bonus people trust me
EDL	00:01:45,728	00:01:47,008	| IOT122 |	So okay
EDL	00:01:47,008	00:01:48,800	| IOT122 |	I am actually in Seattle this week
EDL	00:01:48,800	00:01:49,312	| IOT122 |	So
EDL	00:01:49,824	00:01:50,336	| IOT122 |	It's nice up here
EDL	00:01:50,848	00:01:51,872	| IOT122 |	Maybe one day the show
EDL	00:01:52,640	00:01:53,152	| IOT122 |	All the time
EDL	00:01:55,968	00:01:57,248	| IOT122 |	So let's get started with
EDL	00:01:58,016	00:02:00,064	| IOT122 |	Embedded RFID tags because I don't know
EDL	00:02:01,600	00:02:08,000	| IOT122 |	Kevin yes or no yes or no so so that the news isn't that a company is
EDL	00:02:08,000	00:02:08,768	| IOT122 |	Implanting
EDL	00:02:08,768	00:02:12,608	| IOT122 |	Microchips and some of its employees little RFID tags
EDL	00:02:12,608	00:02:13,632	| IOT122 |	They're certainly not the first
EDL	00:02:14,144	00:02:16,704	| IOT122 |	People to have these I've seen for a couple years now people
EDL	00:02:17,216	00:02:22,336	| IOT122 |	Actually putting a little RFID chips in the webbing between their thumb and their
EDL	00:02:22,336	00:02:24,128	| IOT122 |	A palm in their hand
EDL	00:02:24,128	00:02:25,664	| IOT122 |	These are just they're doing in cells
EDL	00:02:26,176	00:02:31,296	| IOT122 |	Albert is actually employee a three Square Market is the name of the company in Wisconsin
EDL	00:02:31,296	00:02:32,832	| IOT122 |	About 50 employees are
EDL	00:02:33,600	00:02:36,416	| IOT122 |	Can you get implanted with RFID tags and why are they doing that
EDL	00:02:36,416	00:02:41,536	| IOT122 |	So it's easier to buy snacks and things from kiosks there at the
EDL	00:02:42,048	00:02:44,864	| IOT122 |	Office without using a credit card cash or smartphone
EDL	00:02:45,376	00:02:45,888	| IOT122 |	So
EDL	00:02:46,656	00:02:51,520	| IOT122 |	A lot of people read this and say exactly what you did say say it's creepy because it's so they're going to know everything
EDL	00:02:52,032	00:02:56,640	| IOT122 |	There's no tracking your GPS or like that so I don't know how creepy it really is
EDL	00:02:56,640	00:02:57,920	| IOT122 |	Why do you say it's creepy
EDL	00:02:58,688	00:03:00,992	| IOT122 |	Pékin planting things in your body to buy
EDL	00:03:01,504	00:03:02,784	| IOT122 |	Snickers bars is
EDL	00:03:02,784	00:03:05,088	| IOT122 |	A step too far now we should clarify this
EDL	00:03:05,088	00:03:05,600	| IOT122 |	Voluntary
EDL	00:03:06,112	00:03:07,904	| IOT122 |	We should also clarify that
EDL	00:03:09,696	00:03:14,560	| IOT122 |	For the most part you have to actually get pretty close to it a reader that reads RR
EDL	00:03:18,144	00:03:19,680	| IOT122 |	Yes you have this thing in your body
EDL	00:03:20,192	00:03:21,472	| IOT122 |	But you have to get
EDL	00:03:21,472	00:03:21,984	| IOT122 |	Usually within a
EDL	00:03:24,032	00:03:25,568	| IOT122 |	Oh my God
EDL	00:03:25,568	00:03:29,664	| IOT122 |	A couple inches
EDL	00:03:29,664	00:03:31,712	| IOT122 |	There's passive and active
EDL	00:03:31,712	00:03:32,736	| IOT122 |	Enticing
EDL	00:03:32,736	00:03:33,504	| IOT122 |	The Pacifier
EDL	00:03:34,272	00:03:39,136	| IOT122 |	I would imagine that they are everything to keep them as small as possible I would never agree with you
EDL	00:03:39,136	00:03:39,648	| IOT122 |	So
EDL	00:03:40,416	00:03:41,440	| IOT122 |	If you don't eat just
EDL	00:03:41,440	00:03:45,536	| IOT122 |	But I've been to it so Facebook you know that they've had these for a while you can
EDL	00:03:45,536	00:03:47,328	| IOT122 |	They have vending machines full of like
EDL	00:03:47,328	00:03:49,888	| IOT122 |	All kinds of stuff and you just input your employer code
EDL	00:03:51,168	00:03:51,936	| IOT122 |	You get your thing
EDL	00:03:51,936	00:03:53,216	| IOT122 |	So that's also cashless
