EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:05,888	| episode5 |	Hey everybody this is the Internet of Things podcast in this is Stacey Higginbotham and my co-host
EDL	00:00:06,400	00:00:07,424	| episode5 |	Kevin tofel
EDL	00:00:07,424	00:00:11,008	| episode5 |	And we have a wonderful issue for you today
EDL	00:00:11,008	00:00:12,544	| episode5 |	I am going to talk about lights
EDL	00:00:12,544	00:00:14,336	| episode5 |	We're going to talk about the Amazon Echo
EDL	00:00:14,848	00:00:18,176	| episode5 |	We're going to talk about mysterious FCC filings
EDL	00:00:19,456	00:00:21,248	| episode5 |	Dunt Dunt
EDL	00:00:21,248	00:00:22,016	| episode5 |	Yeah
EDL	00:00:22,016	00:00:25,344	| episode5 |	Oh I guess I should have got a spooky music like
EDL	00:00:26,368	00:00:28,928	| episode5 |	Still working on sound effects for the show
EDL	00:00:28,928	00:00:32,512	| episode5 |	No no that's it that's that's all we have
EDL	00:00:32,512	00:00:33,280	| episode5 |	Okay then
EDL	00:00:33,792	00:00:35,584	| episode5 |	Or maybe that was probably more like a
EDL	00:00:35,584	00:00:36,096	| episode5 |	Wentworth
EDL	00:00:36,608	00:00:37,632	| episode5 |	Sad trombone
EDL	00:00:37,632	00:00:39,168	| episode5 |	Okay so
EDL	00:00:39,168	00:00:40,704	| episode5 |	Let's get a started with
EDL	00:00:40,704	00:00:42,496	| episode5 |	Oh I don't know what's more exciting
EDL	00:00:42,496	00:00:45,312	| episode5 |	Mysterious SEC filings are brand new Bluetooth lighting
EDL	00:00:46,080	00:00:49,152	| episode5 |	We talked about letting a lot was talking about the FCC for a minute
EDL	00:00:49,152	00:00:49,664	| episode5 |	All right
EDL	00:00:50,176	00:00:51,200	| episode5 |	So
EDL	00:00:51,200	00:00:52,224	| episode5 |	Kevin you want to kick ass off
EDL	00:00:52,736	00:00:59,136	| episode5 |	I would love to sew first and foremost we don't know exactly what the FCC has tested
EDL	00:00:59,136	00:01:00,416	| episode5 |	But they have tested something
EDL	00:01:00,416	00:01:03,232	| episode5 |	That would be related to internet of things we think
EDL	00:01:03,744	00:01:07,328	| episode5 |	Thanks to your Dave's that's over that's not funny he noticed
EDL	00:01:07,328	00:01:11,680	| episode5 |	A Google filing with the SEC where a device was tested a smart device
EDL	00:01:12,192	00:01:16,800	| episode5 |	We're not sure exactly what it is what do we know we know it has Bluetooth
EDL	00:01:16,800	00:01:19,104	| episode5 |	And that's it that's all we kind of know
EDL	00:01:19,104	00:01:23,968	| episode5 |	In terms of the internal radios and such they seen I spent some time looking at the filing
EDL	00:01:23,968	00:01:24,992	| episode5 |	Really couldn't
EDL	00:01:24,992	00:01:27,040	| episode5 |	Make too much heads or tails of
EDL	00:01:27,040	00:01:28,064	| episode5 |	What does Maybe
EDL	00:01:28,576	00:01:32,928	| episode5 |	Some people are saying it has to do with Google Glass I don't think so at all but
