EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:11,264	00:00:16,128	| Episode 06 The Insectophile |	Dell Technologies the internet
EDL	00:00:16,128	00:00:17,664	| Episode 06 The Insectophile |	Autonomous operation
EDL	00:00:18,688	00:00:20,224	| Episode 06 The Insectophile |	Technology is a driver of our time
EDL	00:00:20,992	00:00:22,528	| Episode 06 The Insectophile |	Since its founding in 19
EDL	00:00:22,528	00:00:24,064	| Episode 06 The Insectophile |	58 in the midst of the Cold War
EDL	00:00:24,064	00:00:24,832	| Episode 06 The Insectophile |	DARPA
EDL	00:00:24,832	00:00:25,600	| Episode 06 The Insectophile |	The defense
EDL	00:00:25,600	00:00:27,648	| Episode 06 The Insectophile |	Advanced research projects agency
EDL	00:00:27,648	00:00:28,672	| Episode 06 The Insectophile |	Has been a driver
EDL	00:00:28,672	00:00:29,184	| Episode 06 The Insectophile |	Technology
EDL	00:00:29,952	00:00:30,976	| Episode 06 The Insectophile |	Welcome to
EDL	00:00:30,976	00:00:32,000	| Episode 06 The Insectophile |	Voices from DARPA
EDL	00:00:32,512	00:00:33,792	| Episode 06 The Insectophile |	A window Into Darkness
EDL	00:00:33,792	00:00:34,816	| Episode 06 The Insectophile |	Core of programming
EDL	00:00:35,840	00:00:36,352	| Episode 06 The Insectophile |	Their job
EDL	00:00:37,120	00:00:38,144	| Episode 06 The Insectophile |	Redefined what
EDL	00:00:38,144	00:00:38,656	| Episode 06 The Insectophile |	What is possible
EDL	00:00:39,168	00:00:41,472	| Episode 06 The Insectophile |	My name is Ivan Amato and I'm your dork
EDL	00:00:41,472	00:00:42,240	| Episode 06 The Insectophile |	Host
EDL	00:00:42,240	00:00:45,568	| Episode 06 The Insectophile |	And today I'm pleased to have with me in the studio Blake bextine
EDL	00:00:45,568	00:00:48,384	| Episode 06 The Insectophile |	A new program manager in DARPA's biological
EDL	00:00:48,384	00:00:48,896	| Episode 06 The Insectophile |	Technologies offer
EDL	00:00:49,920	00:00:53,504	| Episode 06 The Insectophile |	He arrived in March of 2016 from the University of
EDL	00:00:53,504	00:00:54,528	| Episode 06 The Insectophile |	Texas at Tyler
EDL	00:00:55,296	00:00:59,392	| Episode 06 The Insectophile |	And he brings into DARPA particular love for the entomological kind Among Us
EDL	00:00:59,904	00:01:01,184	| Episode 06 The Insectophile |	Insects that is
EDL	00:01:01,184	00:01:04,256	| Episode 06 The Insectophile |	And he is betting that a combination of insects and genetics
EDL	00:01:04,256	00:01:05,024	| Episode 06 The Insectophile |	Techniques
EDL	00:01:05,024	00:01:08,608	| Episode 06 The Insectophile |	Can open new Pathways to protecting the crops we depend on
EDL	00:01:08,608	00:01:11,168	| Episode 06 The Insectophile |	From both natural and human perpetrated
EDL	00:01:11,168	00:01:11,936	| Episode 06 The Insectophile |	Threats
EDL	00:01:11,936	00:01:16,800	| Episode 06 The Insectophile |	These are things like droughts and storms unintentional introduction of invasive species
EDL	00:01:17,312	00:01:18,336	| Episode 06 The Insectophile |	Unintentional
EDL	00:01:18,336	00:01:20,640	| Episode 06 The Insectophile |	Release of plant harming biological warfare agent
EDL	00:01:21,920	00:01:23,968	| Episode 06 The Insectophile |	He just rolled out his first project
EDL	00:01:23,968	00:01:24,992	| Episode 06 The Insectophile |	I called insect allies
EDL	00:01:25,504	00:01:28,064	| Episode 06 The Insectophile |	Which is challenging the research Community to develop
EDL	00:01:28,064	00:01:29,856	| Episode 06 The Insectophile |	Plant protective viruses that insects
EDL	00:01:30,624	00:01:32,416	| Episode 06 The Insectophile |	Working at allies with us
EDL	00:01:32,416	00:01:37,792	| Episode 06 The Insectophile |	Can deliver efficiently to threaten plants and bestow protection on them in a single season time frame
EDL	00:01:38,304	00:01:39,072	| Episode 06 The Insectophile |	That can Stave off the
EDL	00:01:39,840	00:01:40,864	| Episode 06 The Insectophile |	The thanks Blake
EDL	00:01:40,864	00:01:42,400	| Episode 06 The Insectophile |	We're coming to the studio and spending some time with
EDL	00:01:42,912	00:01:44,192	| Episode 06 The Insectophile |	That's great to be here thanks for having me
EDL	00:01:45,472	00:01:50,592	| Episode 06 The Insectophile |	Before we talk about the insect allies program let's talk about you your background
EDL	00:01:50,592	00:01:51,360	| Episode 06 The Insectophile |	And the
EDL	00:01:51,360	00:01:52,384	| Episode 06 The Insectophile |	What brings you to
EDL	00:01:53,664	00:01:58,016	| Episode 06 The Insectophile |	I came to DARPA because I saw a fantastic opportunity for my research
EDL	00:01:58,016	00:01:58,528	| Episode 06 The Insectophile |	Community
EDL	00:01:59,040	00:02:00,576	| Episode 06 The Insectophile |	The DARPA mission is
EDL	00:02:01,088	00:02:02,112	| Episode 06 The Insectophile |	Unlike things
EDL	00:02:02,880	00:02:04,672	| Episode 06 The Insectophile |	That I have done in the past
EDL	00:02:04,672	00:02:06,464	| Episode 06 The Insectophile |	Because the DARPA mission is to look at
EDL	00:02:06,464	00:02:08,256	| Episode 06 The Insectophile |	High-risk high-reward
EDL	00:02:08,768	00:02:10,560	| Episode 06 The Insectophile |	Projects that could benefit
EDL	00:02:11,072	00:02:12,608	| Episode 06 The Insectophile |	Humanity in
EDL	00:02:13,120	00:02:15,168	| Episode 06 The Insectophile |	Acer that 2250 year time frame
EDL	00:02:15,936	00:02:18,496	| Episode 06 The Insectophile |	And it also gives an opportunity to do D risk
EDL	00:02:19,264	00:02:20,032	| Episode 06 The Insectophile |	Some
EDL	00:02:20,032	00:02:21,312	| Episode 06 The Insectophile |	Programs and some projects
EDL	00:02:22,080	00:02:23,872	| Episode 06 The Insectophile |	So that they can act
EDL	00:02:23,872	00:02:24,896	| Episode 06 The Insectophile |	Play come to widen and
EDL	00:02:25,408	00:02:25,920	| Episode 06 The Insectophile |	Sia
EDL	00:02:26,432	00:02:26,944	| Episode 06 The Insectophile |	See you soon
EDL	00:02:27,456	00:02:30,016	| Episode 06 The Insectophile |	So when the opportunity to come DARPA
EDL	00:02:30,016	00:02:31,040	| Episode 06 The Insectophile |	Presented itself
EDL	00:02:31,040	00:02:31,552	| Episode 06 The Insectophile |	I thought it was just
EDL	00:02:32,064	00:02:33,088	| Episode 06 The Insectophile |	Awesome chants
EDL	00:02:33,600	00:02:35,904	| Episode 06 The Insectophile |	Do some really great science and
EDL	00:02:35,904	00:02:38,976	| Episode 06 The Insectophile |	I was encouraged because I was asked to think about things that
EDL	00:02:38,976	00:02:41,536	| Episode 06 The Insectophile |	Traditionally weren't funded very well
EDL	00:02:41,536	00:02:46,400	| Episode 06 The Insectophile |	That I think the women just suck you for a second cuz you said went when the opportunity presented itself
EDL	00:02:46,400	00:02:48,448	| Episode 06 The Insectophile |	Of course it didn't present itself somehow that
EDL	00:02:48,448	00:02:49,472	| Episode 06 The Insectophile |	That happened
EDL	00:02:49,472	00:02:54,592	| Episode 06 The Insectophile |	I knew somebody or you you heard about an opportunity in opening so how how did you
EDL	00:02:54,592	00:03:00,992	| Episode 06 The Insectophile |	Actually yes sure so I was at a meeting and I had moved into an administrative role at the universe
EDL	00:03:00,992	00:03:02,784	| Episode 06 The Insectophile |	First day of Texas at Tyler until we have an event
EDL	00:03:03,296	00:03:08,160	| Episode 06 The Insectophile |	Every year we come to DC and we get to meet program managers and I actually talked
EDL	00:03:08,160	00:03:09,440	| Episode 06 The Insectophile |	Call Jeff Lang Who is the
EDL	00:03:09,952	00:03:11,232	| Episode 06 The Insectophile |	Director of biologic
EDL	00:03:11,232	00:03:12,000	| Episode 06 The Insectophile |	Call Technologies
EDL	00:03:12,000	00:03:12,768	| Episode 06 The Insectophile |	Set the time
EDL	00:03:12,768	00:03:16,096	| Episode 06 The Insectophile |	And I wasn't sure that darker really had any interest in agriculture
EDL	00:03:16,608	00:03:17,376	| Episode 06 The Insectophile |	So
EDL	00:03:17,376	00:03:18,656	| Episode 06 The Insectophile |	But he was such an interest
EDL	00:03:18,656	00:03:20,192	| Episode 06 The Insectophile |	The person I wanted meet talk to
EDL	00:03:20,192	00:03:24,032	| Episode 06 The Insectophile |	So I talked to him after he gave his presentation
EDL	00:03:24,032	00:03:26,336	| Episode 06 The Insectophile |	I said I don't know if we have any overlap and what were interest
EDL	00:03:27,360	00:03:31,200	| Episode 06 The Insectophile |	And but I would love to work with you at some point you said well actually
EDL	00:03:31,712	00:03:33,248	| Episode 06 The Insectophile |	We're looking to get into
EDL	00:03:33,760	00:03:34,528	| Episode 06 The Insectophile |	You know
EDL	00:03:34,528	00:03:37,344	| Episode 06 The Insectophile |	And that sort of started this journey of
EDL	00:03:37,344	00:03:40,416	| Episode 06 The Insectophile |	Seeing if I fit with the kind of mindset that
EDL	00:03:40,416	00:03:41,440	| Episode 06 The Insectophile |	We have a DARPA
EDL	00:03:41,440	00:03:42,464	| Episode 06 The Insectophile |	Which is
EDL	00:03:42,464	00:03:45,792	| Episode 06 The Insectophile |	You know these kind of difficult technologies that need to be developed
EDL	00:03:46,304	00:03:47,584	| Episode 06 The Insectophile |	How that could benefit Humana
EDL	00:03:47,584	00:03:48,608	| Episode 06 The Insectophile |	And so it was
EDL	00:03:48,608	00:03:53,728	| Episode 06 The Insectophile |	It was good for Tyler you were a professor biology but you also need another hat on
EDL	00:03:53,728	00:03:55,776	| Episode 06 The Insectophile |	Which was the assistant vice president for research
EDL	00:03:56,544	00:03:57,568	| Episode 06 The Insectophile |	Technology transfer
EDL	00:03:57,568	00:03:58,336	| Episode 06 The Insectophile |	Right so
EDL	00:03:58,336	00:04:00,896	| Episode 06 The Insectophile |	So those are the two things that that also go on a DARPA
EDL	00:04:00,896	00:04:02,176	| Episode 06 The Insectophile |	There are similarities there's
EDL	00:04:02,688	00:04:03,968	| Episode 06 The Insectophile |	You know the people that you work with
EDL	00:04:03,968	00:04:05,760	| Episode 06 The Insectophile |	And you're directing a team to try to
EDL	00:04:07,040	00:04:08,064	| Episode 06 The Insectophile |	Achieve an objective
EDL	00:04:08,064	00:04:11,648	| Episode 06 The Insectophile |	And so we're definitely doing that and working in agriculture
EDL	00:04:11,648	00:04:12,672	| Episode 06 The Insectophile |	It has a
EDL	00:04:12,672	00:04:13,184	| Episode 06 The Insectophile |	The professor
EDL	00:04:13,696	00:04:18,047	| Episode 06 The Insectophile |	You spend a lot of time where you go out and you think about the technologies that are out there in the
EDL	00:04:18,559	00:04:21,631	| Episode 06 The Insectophile |	You know genetic-based molecular base things that are happening
EDL	00:04:22,143	00:04:23,679	| Episode 06 The Insectophile |	But you'll have to marry that with
EDL	00:04:23,679	00:04:25,215	| Episode 06 The Insectophile |	The reality of situation
EDL	00:04:25,215	00:04:28,799	| Episode 06 The Insectophile |	That's when you go to Central America and you walk in a potato field
EDL	00:04:29,311	00:04:31,103	| Episode 06 The Insectophile |	How you start to realize that
EDL	00:04:31,103	00:04:32,383	| Episode 06 The Insectophile |	Technology is great
EDL	00:04:32,895	00:04:35,199	| Episode 06 The Insectophile |	But how do you get that technology to the field
EDL	00:04:35,199	00:04:35,967	| Episode 06 The Insectophile |	That's actually get it too
EDL	00:04:35,967	00:04:36,735	| Episode 06 The Insectophile |	To the finish line
EDL	00:04:36,735	00:04:41,599	| Episode 06 The Insectophile |	So we'll talk about that with the insect allies program in just a month but there's one more thing I have to ask
EDL	00:04:41,599	00:04:42,367	| Episode 06 The Insectophile |	That's because
EDL	00:04:42,367	00:04:47,487	| Episode 06 The Insectophile |	When you read your bio on on the dark web site Mill
EDL	00:04:47,487	00:04:51,839	| Episode 06 The Insectophile |	The last line is very intriguing it says that you were
EDL	00:04:51,839	00:04:54,655	| Episode 06 The Insectophile |	On the Discovery
EDL	00:04:54,655	00:04:57,471	| Episode 06 The Insectophile |	Channel reality TV show called tethered in
EDL	00:04:57,983	00:05:00,031	| Episode 06 The Insectophile |	2014 so I just I just have to hear this
