EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:08,704	00:00:15,104	| Episode 12 The Neobiologist |	Dell Technologies the internet
EDL	00:00:15,104	00:00:18,432	| Episode 12 The Neobiologist |	Palm of your hand operation
EDL	00:00:20,736	00:00:22,528	| Episode 12 The Neobiologist |	Technology is a driver of our time
EDL	00:00:23,296	00:00:26,112	| Episode 12 The Neobiologist |	Since its founding in 1958 in the midst of the
EDL	00:00:26,112	00:00:26,880	| Episode 12 The Neobiologist |	The Cold War
EDL	00:00:26,880	00:00:27,648	| Episode 12 The Neobiologist |	DARPA
EDL	00:00:27,648	00:00:30,464	| Episode 12 The Neobiologist |	The defense Advanced research projects agency
EDL	00:00:30,464	00:00:31,488	| Episode 12 The Neobiologist |	Has been a driver
EDL	00:00:31,488	00:00:32,000	| Episode 12 The Neobiologist |	Technology
EDL	00:00:32,768	00:00:35,072	| Episode 12 The Neobiologist |	Welcome to Voices from DARPA
EDL	00:00:35,072	00:00:37,632	| Episode 12 The Neobiologist |	A window at the DARPA score of program manager
EDL	00:00:38,400	00:00:39,424	| Episode 12 The Neobiologist |	Their job
EDL	00:00:39,424	00:00:40,448	| Episode 12 The Neobiologist |	To redefine
EDL	00:00:40,448	00:00:41,216	| Episode 12 The Neobiologist |	What is possible
EDL	00:00:42,240	00:00:44,544	| Episode 12 The Neobiologist |	My name is Ivan Amato and I'm your door post
EDL	00:00:45,056	00:00:47,360	| Episode 12 The Neobiologist |	Today I am pleased to have with me in the studio
EDL	00:00:47,872	00:00:48,384	| Episode 12 The Neobiologist |	Justin gallo
EDL	00:00:49,152	00:00:52,992	| Episode 12 The Neobiologist |	A program manager since 2014 and DARPA's biological technology
EDL	00:00:54,016	00:00:59,136	| Episode 12 The Neobiologist |	Justin earned a Bachelor of Science degree in chemistry at the University of Illinois Urbana-Champaign
EDL	00:00:59,136	00:01:01,184	| Episode 12 The Neobiologist |	And received his PhD in chemistry from
EDL	00:01:01,184	00:01:01,696	| Episode 12 The Neobiologist |	Caltech
EDL	00:01:02,464	00:01:06,304	| Episode 12 The Neobiologist |	For 14 years prior to arriving at DARPA he was a professor
EDL	00:01:06,304	00:01:07,584	| Episode 12 The Neobiologist |	In the chemistry Department
EDL	00:01:07,584	00:01:09,888	| Episode 12 The Neobiologist |	Is Emory University in Atlanta Georgia
EDL	00:01:09,888	00:01:13,472	| Episode 12 The Neobiologist |	There he led a research program in synthetic biology
EDL	00:01:13,472	00:01:17,824	| Episode 12 The Neobiologist |	We just all about uncovering the rules and genetic programs by which cells
EDL	00:01:17,824	00:01:18,848	| Episode 12 The Neobiologist |	Behaving operate
EDL	00:01:18,848	00:01:21,920	| Episode 12 The Neobiologist |	And then to learn how to manipulate those rules and programs
EDL	00:01:21,920	00:01:23,968	| Episode 12 The Neobiologist |	Tibet bacterial fungal
EDL	00:01:23,968	00:01:29,088	| Episode 12 The Neobiologist |	Plant and animal cells can make drugs fuels coding and other useful molecules in materials
EDL	00:01:29,600	00:01:35,744	| Episode 12 The Neobiologist |	Adura Gallivan continues to be driven by some of Nature's Own most audacious biological feats
