EDL	Record In	Record Out	Clipname	Subtitle
* Test {{{

EDL	00:00:20,224	00:00:21,760	| Episode 16 The Spinmaster |	Technology is a driver of
EDL	00:00:21,760	00:00:22,528	| Episode 16 The Spinmaster |	Our times
EDL	00:00:22,528	00:00:25,088	| Episode 16 The Spinmaster |	Since its founding in 1958 in the middle
EDL	00:00:25,600	00:00:26,368	| Episode 16 The Spinmaster |	The Cold War
EDL	00:00:26,368	00:00:27,136	| Episode 16 The Spinmaster |	DARPA
EDL	00:00:27,136	00:00:28,160	| Episode 16 The Spinmaster |	The defense advanced
EDL	00:00:28,160	00:00:29,184	| Episode 16 The Spinmaster |	Research project
EDL	00:00:29,184	00:00:29,952	| Episode 16 The Spinmaster |	Agency
EDL	00:00:29,952	00:00:30,976	| Episode 16 The Spinmaster |	Has been a driver
EDL	00:00:32,512	00:00:34,560	| Episode 16 The Spinmaster |	Welcome to Voices from DARPA
EDL	00:00:34,560	00:00:35,584	| Episode 16 The Spinmaster |	A window onto dark
EDL	00:00:36,608	00:00:37,120	| Episode 16 The Spinmaster |	Program manager
EDL	00:00:37,632	00:00:38,144	| Episode 16 The Spinmaster |	Their job
EDL	00:00:38,912	00:00:40,192	| Episode 16 The Spinmaster |	To redefine what
EDL	00:00:40,192	00:00:40,704	| Episode 16 The Spinmaster |	What is possible
}}}
EDL	00:00:41,216	00:00:43,008	| Episode 16 The Spinmaster |	My name is Ivan Amato and
EDL	00:00:43,008	00:00:44,288	| Episode 16 The Spinmaster |	And I am your host
EDL	00:00:44,288	00:00:46,848	| Episode 16 The Spinmaster |	Today I am pleased to have with me in the studio
EDL	00:00:46,848	00:00:48,384	| Episode 16 The Spinmaster |	Rosa Alejandra
EDL	00:00:48,384	00:00:49,152	| Episode 16 The Spinmaster |	Lucas Chevy
EDL	00:00:49,152	00:00:50,688	| Episode 16 The Spinmaster |	Known as a Lie by her
EDL	00:00:50,688	00:00:51,200	| Episode 16 The Spinmaster |	Her friends in college
EDL	00:00:51,712	00:00:55,040	| Episode 16 The Spinmaster |	All has been a program manager since early 2017 in darkness
EDL	00:00:55,040	00:00:56,064	| Episode 16 The Spinmaster |	Defense scientist
EDL	00:00:56,576	00:00:58,880	| Episode 16 The Spinmaster |	What program managers take some of the deepest dive
EDL	00:00:58,880	00:00:59,648	| Episode 16 The Spinmaster |	In the fundamental science
EDL	00:01:00,160	00:01:01,696	| Episode 16 The Spinmaster |	In search of New Foundations
EDL	00:01:01,696	00:01:02,720	| Episode 16 The Spinmaster |	Four novel technology
EDL	00:01:03,232	00:01:03,744	| Episode 16 The Spinmaster |	Relevant
EDL	00:01:06,048	00:01:08,608	| Episode 16 The Spinmaster |	Deep dive into fundamental science goes all the way to elect
EDL	00:01:09,120	00:01:10,656	| Episode 16 The Spinmaster |	Unusual ways
EDL	00:01:11,168	00:01:12,192	| Episode 16 The Spinmaster |	They can organized
EDL	00:01:12,192	00:01:14,496	| Episode 16 The Spinmaster |	Behave in certain materials and how it might be used
EDL	00:01:15,008	00:01:15,776	| Episode 16 The Spinmaster |	Engineer those
EDL	00:01:16,288	00:01:17,056	| Episode 16 The Spinmaster |	Electronic organization
EDL	00:01:17,568	00:01:19,360	| Episode 16 The Spinmaster |	Into new microelectronic
EDL	00:01:19,360	00:01:20,640	| Episode 16 The Spinmaster |	And micro magnetic.
EDL	00:01:21,408	00:01:23,200	| Episode 16 The Spinmaster |	Free applications in memory
EDL	00:01:23,200	00:01:23,712	| Episode 16 The Spinmaster |	Logic
EDL	00:01:24,224	00:01:25,248	| Episode 16 The Spinmaster |	Energy conversion
EDL	00:01:25,248	00:01:25,760	| Episode 16 The Spinmaster |	And sensors
EDL	00:01:26,272	00:01:28,064	| Episode 16 The Spinmaster |	Prior to arriving at our Bollywood
EDL	00:01:28,064	00:01:30,880	| Episode 16 The Spinmaster |	The professor of physics at the College of William and Mary in Williamsburg
EDL	00:01:30,880	00:01:31,392	| Episode 16 The Spinmaster |	Burke Virginia
