EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Support for this podcast
EDL	00:00:01,536	00:00:02,304	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	In the following message
EDL	00:00:02,304	00:00:03,584	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Come from Duckhorn
EDL	00:00:03,584	00:00:04,352	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Napa California
EDL	00:00:04,864	00:00:06,144	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Duckhorn Vineyards has been
EDL	00:00:06,144	00:00:08,192	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Crafting classic Napa Valley Wine
EDL	00:00:08,192	00:00:09,472	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Ants with a sense of place
EDL	00:00:09,472	00:00:10,240	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	For more than 40 years
EDL	00:00:10,752	00:00:11,520	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Learn more
EDL	00:00:11,520	00:00:13,568	| 20190302_waitwait_wwdtmpodcast190302-133e5545-b77b-4fdd-ac62-df172a41bb31-5bbe59b9-de09-4bd0-a6b0-93a680d8905e.mp3_1a3b2 |	Or at Duckhorn. Com
