EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,536	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Support for this podcast
EDL	00:00:01,536	00:00:02,304	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Send the following message
EDL	00:00:02,304	00:00:02,816	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Did come from
EDL	00:00:03,328	00:00:04,864	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Struggling to find a purpose
EDL	00:00:04,864	00:00:05,632	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Vacation home
EDL	00:00:05,632	00:00:07,168	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	VRBO does the hard work for
EDL	00:00:07,936	00:00:09,984	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Matching you to the perfect place to stay
EDL	00:00:09,984	00:00:10,496	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Every time
EDL	00:00:11,008	00:00:12,544	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Download VRBO
EDL	00:00:13,568	00:00:15,360	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Let Virgo find a home
EDL	00:00:15,360	00:00:15,872	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	That matches
EDL	00:00:19,200	00:00:22,272	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	From NPR
EDL	00:00:23,040	00:00:25,600	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Easy Chicago
EDL	00:00:25,600	00:00:26,624	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	BMV R news
EDL	00:00:26,624	00:00:27,136	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	News quiz
EDL	00:00:27,648	00:00:28,160	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Hey
EDL	00:00:29,184	00:00:30,976	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Forget the Infinity Stones
EDL	00:00:31,744	00:00:33,536	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Listen to my Infinity tongue
EDL	00:00:38,912	00:00:43,264	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	And here's your host at the Chase Bank Auditorium in downtown Chicago Peter
EDL	00:00:43,264	00:00:49,408	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Psycho
EDL	00:00:51,712	00:00:57,856	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Later on we'll be talking to Laird Hamilton legendary Surfer fitness model lifestyle and exercise guru
EDL	00:00:57,856	00:00:59,648	| 20190427_waitwait_wwdtmpodcast190427-e93b3642-fd64-4c14-ac39-0960f6d95953.mp3_31764b5bed5790ad121d78f3079d8eb4_48017020 |	Basically his job
