EDL	Record In	Record Out	Clipname	Subtitle
EDL	00:00:00,256	00:00:01,792	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Support for this podcast
EDL	00:00:01,792	00:00:04,096	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	And the following message come from Tito's Handmade Vodka
EDL	00:00:04,608	00:00:05,632	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Do you know how many
EDL	00:00:05,632	00:00:07,680	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Flavors Tito's Handmade Vodka makes
EDL	00:00:07,680	00:00:08,704	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	The answer is
EDL	00:00:08,704	00:00:09,472	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Suggest one
EDL	00:00:09,472	00:00:11,008	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Vodka flavored vodka
EDL	00:00:11,008	00:00:11,776	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	80 proof
EDL	00:00:11,776	00:00:12,800	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Tito's Handmade Vodka
EDL	00:00:13,312	00:00:14,592	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Fifth generation Incorporated
EDL	00:00:15,104	00:00:17,152	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Distilled and bottled in Austin Texas
EDL	00:00:18,432	00:00:24,832	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	From NPR and WBEZ Chicago
EDL	00:00:24,832	00:00:25,600	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Oh this is
EDL	00:00:25,600	00:00:26,624	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Does wait wait don't tell me
EDL	00:00:27,392	00:00:28,416	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	The NPR news quiz
EDL	00:00:29,440	00:00:30,208	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Forget about
EDL	00:00:30,208	00:00:30,720	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	LeBron
EDL	00:00:31,488	00:00:33,024	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	You've got trouble
EDL	00:00:39,936	00:00:44,800	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	I'm so sad
EDL	00:00:44,800	00:00:46,848	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	In Cuyahoga Valley National Park
EDL	00:00:46,848	00:00:53,248	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Peter's everybody
EDL	00:00:53,248	00:00:59,392	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	It is wonderful to be here at Blossom a music venue founded back in 90
EDL	00:00:59,904	00:01:03,488	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	68 by the Beloved Mayim Bialik sitcom for which it is named
EDL	00:01:04,512	00:01:09,376	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Later on we're going to be talking to Piper Kerman the author of Orange Is the New Black was now
EDL	00:01:09,888	00:01:11,168	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Teaching writing in prison
EDL	00:01:11,168	00:01:12,192	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	I'm here in Ohio
EDL	00:01:13,216	00:01:17,568	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	But first the New York Times published an amazing expose this way
EDL	00:01:17,568	00:01:18,336	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	We close to a heart
EDL	00:01:18,848	00:01:21,152	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	With a shocking conclusion we have reach
EDL	00:01:21,664	00:01:22,432	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Quote
EDL	00:01:22,432	00:01:23,200	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Peak
EDL	00:01:23,200	00:01:23,968	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Podcast
EDL	00:01:24,992	00:01:26,272	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	That's right
EDL	00:01:26,272	00:01:28,320	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Single person in America
EDL	00:01:28,320	00:01:29,088	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Now
EDL	00:01:29,088	00:01:30,112	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Has a podcast
EDL	00:01:30,624	00:01:33,696	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	So from here on podcast
EDL	00:01:33,696	00:01:34,976	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Will slowly decline
EDL	00:01:35,744	00:01:36,768	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Until there are none left
EDL	00:01:37,536	00:01:41,376	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	And people will stop committing unsolved murders out of a lack of inch
EDL	00:01:44,192	00:01:48,032	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Didn't want to bother starting a podcast but still want to hear your voice on one give us
EDL	00:01:48,032	00:01:48,800	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Call
EDL	00:01:48,800	00:01:50,848	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	The number is 1 AAA wait wait
EDL	00:01:50,848	00:01:52,128	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	That's 18892
EDL	00:01:52,128	00:01:52,640	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	24892
EDL	00:01:53,408	00:01:55,200	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Now that's welcome my first listener.
EDL	00:01:55,200	00:01:56,736	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Contested how you run wait wait don't tell me
EDL	00:01:57,248	00:01:59,808	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Hey this is David David where you calling from
EDL	00:01:59,808	00:02:00,832	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Little Falls
EDL	00:02:00,832	00:02:05,696	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Minnesota Little Falls Minnesota now I lived in Minnesota but he never came across Little Falls
EDL	00:02:06,464	00:02:09,024	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Smack dab in the hearts of Minnesota right in the middle
EDL	00:02:09,024	00:02:10,816	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	What do you do there in the middle of
EDL	00:02:11,584	00:02:13,376	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	My wife and I want to bite you
EDL	00:02:13,376	00:02:14,400	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Will you do
EDL	00:02:15,936	00:02:17,984	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Thought that if I truly wanted to give up everything else
EDL	00:02:18,496	00:02:19,264	| 20190720_waitwait_wwdtmpodcast190720.mp3_1ff4ad25bcf587d6086f0125362f5cb6_48358914 |	Happy happy
